forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	4	3	sí	small	d'anticossos cèlíacs a veure què surt. I aleshores si és que sí, què tindré?	Jo diria que et feixen els marcadors de anticossos a l'Ix, a veure què surt.	0.2571	0.7725	0.3090	0.7029	lead-yt-047__02__a-veure.wav	201600	207520	ASR textual; atribució i audició pendents
aleshores	discurs	6	0	no	small	Aleshores la meva pregunta és, et van fer les proves de salar aquí, eh?		0.2352	0.7920			lead-yt-047__03__aleshores.wav	131000	133960	ASR textual; atribució i audició pendents
aviam	discurs	0	2	no	base		Aviam, no és una cosa superfàcil de digest, no és una patata, per a d'algo.			0.0923	0.7255	lead-yt-047__04__aviam.wav	895240	898480	ASR textual; atribució i audició pendents
bueno	discurs	15	25	sí	small	també és positiva, perquè bueno, hi ha poques possibilitats però el millor	Perquè, bueno, hi ha poc posibilitats, però el millor podia tenir alguna altra cosa.	0.2402	0.8237	0.1343	0.6692	lead-yt-047__05__bueno.wav	212720	217400	ASR textual; atribució i audició pendents
bé	discurs	14	12	sí	small	És correcte, Núria, que t'haurà dit que bé.	Bé, imagina que comença a equivocar-me, no m'ha passat mai, ja tinc un edat, no m'ha passat mai.	0.1005	0.6682	0.1687	0.8095	lead-yt-047__06__b.wav	5360	7520	ASR textual; atribució i audició pendents
clar	discurs	31	27	sí	small	"Clar, és una malaltia que ara tothom diu ""ui sí, jo conec molt Celiax""."	-Clar, és una malaltia que ara tot em diu, i sí, jo conec molt celiax.	0.1953	0.8240	0.2153	0.6562	lead-yt-047__07__clar.wav	96160	100160	ASR textual; atribució i audició pendents
de fet	discurs	5	6	sí	small	De fet, no sé on aniré, m'ho he de pensar.	De fet, no sé, on anirem, ho he de pensar.	0.3337	0.8788	0.1887	0.7354	lead-yt-047__08__de-fet.wav	440860	442860	ASR textual; atribució i audició pendents
diguem	discurs	0	0	no											ASR textual; atribució i audició pendents
doncs	discurs	15	13	sí	small	I doncs aquest any hem volgut fer una campanya de sensibilització	I, doncs, aquest any, hem volgut fer una campanya de sensibilització	0.3606	0.9113	0.4027	0.8738	lead-yt-047__10__doncs.wav	50400	54400	ASR textual; atribució i audició pendents
