forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	1	1	sí	small	i recomani l'editor a veure si creu que allò val la pena de publicar-se o no.	a veure si creu que llò va la pena de publicar-se o no.	0.4605	0.8871	0.1713	0.8090	lead-yt-044__02__a-veure.wav	1097520	1102560	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	8	4	sí	small	Bueno, que sàpigues que demà tinc un examen.	Bueno, que sàpigues que demà tinc un examen.	0.4879	0.8772	0.4802	0.8184	lead-yt-044__05__bueno.wav	65600	67080	ASR textual; atribució i audició pendents
bé	discurs	26	23	sí	small	-Que li va anar molt bé per cert. -Sí.	Que li van a molt bé, per ser. Sí, va triunfa, va triunfa.	0.3719	0.7402	0.2694	0.7387	lead-yt-044__06__b.wav	57040	58680	ASR textual; atribució i audició pendents
clar	discurs	16	17	sí	small	-El Marcos. -El Marcos, clar, fa poques setmanes.	Al marcos, clar. Sí, sí, sí, sí, sí, al marcos urban.	0.1735	0.8158	0.3457	0.7086	lead-yt-044__07__clar.wav	48800	52240	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	Perquè clar, jo treballo i de fet el escenari principal de les estrelles de l'Elite és aquí, és en Camp.	Perquè clar, jo altre ballo i de fet, a l'escenari principal de les estrelles de l'Elites aquí, és en Cam.	0.3459	0.8122	0.1662	0.6463	lead-yt-044__08__de-fet.wav	1193240	1199360	ASR textual; atribució i audició pendents
diguem	discurs	1	0	no	small	Sí, una és una novel·la, és un conte llarg, diguem, que es va publicar perquè va guanyar un premi,		0.1185	0.8329			lead-yt-044__09__diguem.wav	413400	418360	ASR textual; atribució i audició pendents
doncs	discurs	10	9	sí	small	Sí, sí, doncs jo...	Sí, sí, doncs jo.	0.8428	0.9414	0.4453	0.8873	lead-yt-044__10__doncs.wav	320680	322040	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
llavors	discurs	27	11	sí	small	"Llavors, un premi que es diu ""Foment de la lectura"", per mi és un somni."	"I llavors, un prèmic, es diu ""foment de la lectura"", és per mi, és un somni."	0.3290	0.8776	0.3006	0.7161	lead-yt-044__12__llavors.wav	214120	218560	ASR textual; atribució i audició pendents
