forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	8	3	sí	small	A veure, jo dic una cosa, i el Sant Beret,	A veure, jo tenia la idea de ajudar.	0.0463	0.5835	0.1144	0.6797	lead-rtva-031__02__a-veure.wav	558880	564560	ASR textual; atribució i audició pendents
aleshores	discurs	12	3	sí	small	i aleshores doncs em va preguntar això.	I aleshores, quan diuen, hi ha capellars de reu,	0.4843	0.9024	0.0658	0.5874	lead-rtva-031__03__aleshores.wav	132160	135520	ASR textual; atribució i audició pendents
aviam	discurs	0	2	no	base		-No conec la meva nena. -Sí, aviam canviat totalment.			0.1879	0.7100	lead-rtva-031__04__aviam.wav	2585520	2588480	ASR textual; atribució i audició pendents
bueno	discurs	1	5	sí	small	Bueno, amb els romàntics, amb els platònics, eh, però no.	Bueno, la vida és un cabí.	0.2541	0.7212	0.3461	0.8130	lead-rtva-031__05__bueno.wav	1781160	1786280	ASR textual; atribució i audició pendents
bé	discurs	11	20	sí	small	Molt bé, escolti vostès, fill de Bellcaire d'Urgell,	Molt bé, és que el tibú estés fill de bellcaïra d'urgell,	0.1292	0.7321	0.0816	0.5838	lead-rtva-031__06__b.wav	61360	64680	ASR textual; atribució i audició pendents
clar	discurs	3	2	sí	small	Clar, de gent que li parla un moment de l'església,	Bé, això ho tenim clar.	0.4284	0.8764	0.0620	0.5725	lead-rtva-031__07__clar.wav	1492240	1494640	ASR textual; atribució i audició pendents
de fet	discurs	2	1	sí	small	De fet, s'ha dedicat a les dues coses, vostè?	Hem de viure allò. De fet, s'ha dedicat a les dues coses, vostè.	0.5626	0.9375	0.0207	0.7388	lead-rtva-031__08__de-fet.wav	1278360	1280520	ASR textual; atribució i audició pendents
diguem	discurs	1	4	sí	small	Aquest pot ser una mica el seu llagat, diguem-ne?	Diguem, sí o no?	0.3453	0.8040	0.4361	0.6399	lead-rtva-031__09__diguem.wav	3071280	3073480	ASR textual; atribució i audició pendents
doncs	discurs	37	53	sí	small	i aleshores doncs em va preguntar això.	i el pel que era fa molta calor a estiu, i els hores, doncs,	0.4843	0.9024	0.1235	0.5702	lead-rtva-031__10__doncs.wav	132160	135520	ASR textual; atribució i audició pendents
evidentment	discurs	1	1	sí	small	Si el vís va donar un canvi, evidentment, no?	Si el vis va donar un canvi, evidentment, no?	0.1512	0.8103	0.2753	0.7840	lead-rtva-031__11__evidentment.wav	550880	552880	ASR textual; atribució i audició pendents
