candidat_a	candidat_b	n_formes_compartides	formes	estat
lead-rtva-009-isidre-bartumeu	lead-rtva-010-lurdes-riba	13	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-011-josep-dalleres	12	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-012-marc-forne	11	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-013-pere-vilanova	11	a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-014-joan-burgues	11	a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-015-isidre-baro	10	a nivell;bé;clar;doncs;evidentment;llavors;no?;o sigui;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-016-josep-areny	13	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-017-simo-duro	14	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-018-ricard-fiter	11	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-019-lisa-cruz	10	a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-020-monica-bonell	11	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-021-bonaventura-riberaygua	14	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-022-josep-marsal	12	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-023-josep-maria-cases	11	a nivell;a veure;bé;clar;doncs;llavors;no?;o sigui;per tant;perquè;vull dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-024-denisa-font	13	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-025-albert-gelabert	13	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-026-rosa-maria-mandico	12	a nivell;a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-027-jordi-guillamet	13	a nivell;a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-028-pere-besoli	13	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-029-angelina-mas	11	a veure;bé;clar;de fet;doncs;llavors;no?;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-030-casimir-arajol	8	a veure;bé;clar;doncs;llavors;no?;per tant;perquè	semblança textual exploratòria; pendent d'audició
lead-rtva-009-isidre-bartumeu	lead-rtva-031-ramon-rossell	13	a veure;bé;clar;de fet;doncs;evidentment;llavors;no?;o sigui;per tant;perquè;vull dir;és a dir	semblança textual exploratòria; pendent d'audició
