id_persona	forma	recompte_small	recompte_base	consens_dos_asr	observacio
pa-004	bé	4	9	sí	coincidència textual entre dos passades
pa-004	de fet	2	2	sí	coincidència textual entre dos passades
pa-004	és a dir	0	0	no	revisar contra àudio
pa-004	aleshores	0	0	no	revisar contra àudio
pa-004	evidentment	1	1	sí	coincidència textual entre dos passades
pa-004	diguem	0	0	no	revisar contra àudio
pa-004	crec	0	0	no	revisar contra àudio
pa-004	bueno	0	0	no	revisar contra àudio
pa-004	clar	0	0	no	revisar contra àudio
pa-004	vull dir	1	1	sí	coincidència textual entre dos passades
pa-004	o sigui	0	0	no	revisar contra àudio
pa-004	llavors	0	0	no	revisar contra àudio
pa-004	a veure	0	0	no	revisar contra àudio
pa-004	aviam	0	0	no	revisar contra àudio
pa-004	doncs	9	28	sí	coincidència textual entre dos passades
pa-004	perquè	6	6	sí	coincidència textual entre dos passades
pa-004	a nivell	0	0	no	revisar contra àudio
pa-004	tirar endavant	0	0	no	revisar contra àudio
pa-004	ensenyança	0	0	no	revisar contra àudio
pa-004	reformeta	0	0	no	revisar contra àudio
pa-005	bé	3	5	sí	coincidència textual entre dos passades
pa-005	de fet	0	0	no	revisar contra àudio
pa-005	és a dir	0	1	no	revisar contra àudio
pa-005	aleshores	0	0	no	revisar contra àudio
pa-005	evidentment	0	0	no	revisar contra àudio
pa-005	diguem	0	0	no	revisar contra àudio
pa-005	crec	0	0	no	revisar contra àudio
pa-005	bueno	0	0	no	revisar contra àudio
pa-005	clar	3	3	sí	coincidència textual entre dos passades
pa-005	vull dir	0	0	no	revisar contra àudio
pa-005	o sigui	1	1	sí	coincidència textual entre dos passades
pa-005	llavors	1	0	no	revisar contra àudio
pa-005	a veure	0	0	no	revisar contra àudio
pa-005	aviam	0	0	no	revisar contra àudio
pa-005	doncs	4	9	sí	coincidència textual entre dos passades
pa-005	perquè	0	0	no	revisar contra àudio
pa-005	a nivell	0	0	no	revisar contra àudio
pa-005	tirar endavant	0	0	no	revisar contra àudio
pa-005	ensenyança	0	0	no	revisar contra àudio
pa-005	reformeta	0	0	no	revisar contra àudio
pa-006	bé	3	2	sí	coincidència textual entre dos passades
pa-006	de fet	2	2	sí	coincidència textual entre dos passades
pa-006	és a dir	0	0	no	revisar contra àudio
pa-006	aleshores	1	1	sí	coincidència textual entre dos passades
pa-006	evidentment	2	2	sí	coincidència textual entre dos passades
pa-006	diguem	1	0	no	revisar contra àudio
pa-006	crec	0	0	no	revisar contra àudio
pa-006	bueno	0	0	no	revisar contra àudio
pa-006	clar	1	0	no	revisar contra àudio
pa-006	vull dir	0	0	no	revisar contra àudio
pa-006	o sigui	4	4	sí	coincidència textual entre dos passades
pa-006	llavors	3	0	no	revisar contra àudio
pa-006	a veure	0	0	no	revisar contra àudio
pa-006	aviam	0	0	no	revisar contra àudio
pa-006	doncs	3	3	sí	coincidència textual entre dos passades
pa-006	perquè	6	5	sí	coincidència textual entre dos passades
pa-006	a nivell	0	0	no	revisar contra àudio
pa-006	tirar endavant	0	0	no	revisar contra àudio
pa-006	ensenyança	0	0	no	revisar contra àudio
pa-006	reformeta	0	0	no	revisar contra àudio
pa-007	bé	1	3	sí	coincidència textual entre dos passades
pa-007	de fet	0	0	no	revisar contra àudio
pa-007	és a dir	2	2	sí	coincidència textual entre dos passades
pa-007	aleshores	0	0	no	revisar contra àudio
pa-007	evidentment	1	1	sí	coincidència textual entre dos passades
pa-007	diguem	1	1	sí	coincidència textual entre dos passades
pa-007	crec	0	0	no	revisar contra àudio
pa-007	bueno	1	0	no	revisar contra àudio
pa-007	clar	1	1	sí	coincidència textual entre dos passades
pa-007	vull dir	0	0	no	revisar contra àudio
pa-007	o sigui	0	2	no	revisar contra àudio
pa-007	llavors	1	1	sí	coincidència textual entre dos passades
pa-007	a veure	1	1	sí	coincidència textual entre dos passades
pa-007	aviam	0	0	no	revisar contra àudio
pa-007	doncs	6	5	sí	coincidència textual entre dos passades
pa-007	perquè	6	7	sí	coincidència textual entre dos passades
pa-007	a nivell	0	0	no	revisar contra àudio
pa-007	tirar endavant	0	0	no	revisar contra àudio
pa-007	ensenyança	0	0	no	revisar contra àudio
pa-007	reformeta	0	0	no	revisar contra àudio
pa-008	bé	3	3	sí	coincidència textual entre dos passades
pa-008	de fet	1	1	sí	coincidència textual entre dos passades
pa-008	és a dir	2	2	sí	coincidència textual entre dos passades
pa-008	aleshores	1	0	no	revisar contra àudio
pa-008	evidentment	0	0	no	revisar contra àudio
