forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	1	no	base		Però s'ha deixat utilitzar a nivell.			0.1367	0.6453	lead-yt-047__01__a-nivell.wav	1357080	1358880	ASR textual; atribució i audició pendents
a veure	discurs	7	5	sí	small	A veure, normal. La meva vida no és normal, no? Perquè me'n vaig de viatge,	A veure, normal, la meva vida no és normal,	0.3877	0.8734	0.4237	0.8197	lead-yt-047__02__a-veure.wav	98300	103680	ASR textual; atribució i audició pendents
aleshores	discurs	2	0	no	small	I aleshores, amb què recomanes pagar sigui Andorra, sigui Espanya, sigui França?		0.2367	0.7859			lead-yt-047__03__aleshores.wav	1276820	1281380	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	20	16	sí	small	15 anys, bueno, bueno.	Bueno, vingut aquest demàtica perquè hi ha cap andorra.	0.2458	0.5338	0.0996	0.6362	lead-yt-047__05__bueno.wav	32000	34000	ASR textual; atribució i audició pendents
bé	discurs	22	27	sí	small	Bona nit, molt bé.	Molt bé. És un país que t'encanta i t'agrada, eh?	0.0720	0.7451	0.4512	0.8294	lead-yt-047__06__b.wav	2000	4000	ASR textual; atribució i audició pendents
clar	discurs	41	38	sí	small	Clar, però tu no has entrat al Casino, no pots entrar?	Clar, potser no ha sentrat el casino, no pot centrar?	0.5519	0.8539	0.1780	0.7222	lead-yt-047__07__clar.wav	49500	51500	ASR textual; atribució i audició pendents
de fet	discurs	6	4	sí	small	Aquest any ho he decidit deixar, de fet.	De fet, amb alguns països, ja passa això de la huella.	0.5017	0.8714	0.4861	0.8411	lead-yt-047__08__de-fet.wav	549340	551340	ASR textual; atribució i audició pendents
diguem	discurs	7	4	sí	small	o sigui, no treballo al mercat d'aquí, diguem, europeus, o sigui, que treballo però molt poc,	Sí, i tant. Sí. Diguem la web, si la vols dir.	0.2970	0.8590	0.2924	0.7530	lead-yt-047__09__diguem.wav	243920	247920	ASR textual; atribució i audició pendents
doncs	discurs	3	4	sí	small	no tinc la teva capacitat ni el teu cervell, doncs que ho tinguis en compte.	doncs que ho tingués en compte.	0.6163	0.8972	0.3795	0.7328	lead-yt-047__10__doncs.wav	82300	87240	ASR textual; atribució i audició pendents
