ordre	forma	categoria	rang	id_persona	interval_vtt	clip	text_asr	sha256	decisio_humana	observacio
1	Massana	territorial	1	pa-002	1126.000-1134.000	clips-formes-escasses/massana__pa-002__1.wav	La Massana potser era la parròquia més vinculada al Cindi,	363a08715889100314eaf6532a8911bae94d445ac5237de355dccfb4cc31727d	pendent	cua de revisió per cobertura escassa; ASR no confirmat
1	Massana	territorial	2	pa-007	188.000-193.000	clips-formes-escasses/massana__pa-007__2.wav	Seguida de la Massana, en Camp, Escaldes, en Gordany, endora la vella Canillo	baf5c41b226d542b01d0d949a9fc548e4f3364c897e79053fdcde8661a1b0760	pendent	cua de revisió per cobertura escassa; ASR no confirmat
1	Massana	territorial	3	pa-020	23.440-25.440	clips-formes-escasses/massana__pa-020__3.wav	amb un altre grup de la Massana,	df76d1ec4661b45180caf344b7d3564c4ac406382462ec105fae9c9d8cfa3842	pendent	cua de revisió per cobertura escassa; ASR no confirmat
2	aiguats	territorial	1	pa-004	385.280-388.680	clips-formes-escasses/aiguats__pa-004__1.wav	que els Aiguats, que ja hem dit els forts Aiguats que van haver-hi,	120b74206463eb72f67e7a3fb75d558aa1a87d2bc0b55a863e6af86b68107950	pendent	cua de revisió per cobertura escassa; ASR no confirmat
2	aiguats	territorial	2	pa-049	177.520-184.160	clips-formes-escasses/aiguats__pa-049__2.wav	l'otel Oroz i va ser posteriorment dels Aiguats, que el meu pare no tenia res més, em va tornar	a21c3f7a2123e635c33d6e91a76d0ee09d7b9dff407db94332207cb8c8887d69	pendent	cua de revisió per cobertura escassa; ASR no confirmat
2	aiguats	territorial	3	pa-066	40.160-45.120	clips-formes-escasses/aiguats__pa-066__3.wav	L'afectació dels aiguats del banc va ser especialment en aquest edifici,	0e76620d44ba3995f18764a0f432f7543dde89442f06e3e2b556c32896adc95d	pendent	cua de revisió per cobertura escassa; ASR no confirmat
3	andorrana	territorial	1	pa-001	62.640-66.680	clips-formes-escasses/andorrana__pa-001__1.wav	a un alt percentatge de la població d'Andorrana	205fb3d7e58e3a016aa2c36e63773032f54c94c96b6428886733b17c54deb2b7	pendent	cua de revisió per cobertura escassa; ASR no confirmat
3	andorrana	territorial	2	pa-003	133.520-144.200	clips-formes-escasses/andorrana__pa-003__2.wav	és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana	ccade0fa9a8713a8d2f3e5f359819d2060cb79fadbf5d5d30c9371d6fddfbcce	pendent	cua de revisió per cobertura escassa; ASR no confirmat
3	andorrana	territorial	3	pa-007	498.000-502.000	clips-formes-escasses/andorrana__pa-007__3.wav	i l'Ibna a la bandera Andorrana, amb lletra de Joan Doró.	28b66b5c2c5fb89b60cdec704a6379fe842d443fe8021e8c862c2ca4dc2d1ae5	pendent	cua de revisió per cobertura escassa; ASR no confirmat
4	aviam	discurs	1	pa-003	180.920-188.040	clips-formes-escasses/aviam__pa-003__1.wav	Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal,	dac67cbb394b5e360bd84a5e737e9c421c4c7339c663d63a0f1e9abea81427c9	pendent	cua de revisió per cobertura escassa; ASR no confirmat
4	aviam	discurs	2	pa-014	876.200-883.200	clips-formes-escasses/aviam__pa-014__2.wav	i vam dir, escuteu, aviam, imagineu-vos que l'esbat desapareix, què passa amb el contrapàs?	c3ac3d379fcb610ae433bfe3e65f2477e670cece198db8ce5f3c7b0f35bd64f6	pendent	cua de revisió per cobertura escassa; ASR no confirmat
4	aviam	discurs	3	pa-016	730.400-740.440	clips-formes-escasses/aviam__pa-016__3.wav	aviam des de venir un estat democràtic, modern, un estat de dret, i calia fer una Constitució, per mi jo tenia clar que calia fer una Constitució,	41ef4dba3ab1d8d1a1f95657c344ba5e19064e205c056b1ba92bae5b57b1fb68	pendent	cua de revisió per cobertura escassa; ASR no confirmat
5	comunal	territorial	1	pa-004	321.920-325.240	clips-formes-escasses/comunal__pa-004__1.wav	I després tenim també el molí comunal de Sant Julià de Lòria,	a5437f44689f866250bf131c8f5df36b7078f5033f341598930463e9572e3b4e	pendent	cua de revisió per cobertura escassa; ASR no confirmat
5	comunal	territorial	2	pa-005	60.680-63.960	clips-formes-escasses/comunal__pa-005__2.wav	la primera referència a un hostal comunal.	596e52760e16d4d96883a64d63d611e3a1ffa5a149b5ecc0126ec800b685d38f	pendent	cua de revisió per cobertura escassa; ASR no confirmat
5	comunal	territorial	3	pa-020	410.120-413.680	clips-formes-escasses/comunal__pa-020__3.wav	I que precisament també porta que, a nivell comunal,	f757187f74bc938f1ebcecea93813a717de6c3084a5ad5e1f0f4292fb1c1305a	pendent	cua de revisió per cobertura escassa; ASR no confirmat
6	comunals	territorial	1	pa-005	71.880-76.360	clips-formes-escasses/comunals__pa-005__1.wav	Doncs veu demanar què és això dels hostals comunals.	3897ce7d22f018910aad19549e9886257071e5b25cdb36f4d37ec1cf7715d52c	pendent	cua de revisió per cobertura escassa; ASR no confirmat
6	comunals	territorial	2	pa-016	4.960-7.280	clips-formes-escasses/comunals__pa-016__2.wav	Recordo que hi havia unes eleccions comunals,	112f5b0141dc047539281a5fc524e2f461a85e1a4964cfa3a80d892525acad9b	pendent	cua de revisió per cobertura escassa; ASR no confirmat
6	comunals	territorial	3	pa-020	536.160-540.520	clips-formes-escasses/comunals__pa-020__3.wav	Però almenys a les comunals, i inclús a les nacionales em diuen,	e295af8f2eede20b29e9075c0357a1708681c057b759724e49617b372418778f	pendent	cua de revisió per cobertura escassa; ASR no confirmat
7	coprínceps	territorial	1	pa-017	564.000-569.000	clips-formes-escasses/coprinceps__pa-017__1.wav	Clar, evidentment. I nosaltres no estallem aquí per matar els coprínceps.	7a448f350489cf02b21c8cafca41ce623a73092d47732b0c06736fd095b574db	pendent	cua de revisió per cobertura escassa; ASR no confirmat
7	coprínceps	territorial	2	pa-025	23.320-26.440	clips-formes-escasses/coprinceps__pa-025__2.wav	com el paternalisme autoritari dels coprínceps.	2a56fad09d42d6e2fc68615a6b28f7f4786da61c8e0bec0f74b5388985eefa7d	pendent	cua de revisió per cobertura escassa; ASR no confirmat
7	coprínceps	territorial	3	pa-027	483.400-487.560	clips-formes-escasses/coprinceps__pa-027__3.wav	I el paper dels coprínceps també ens va costar.	ab188dfe76eb46ce1b21ced544708482370898e7e655f38566e015a219b2539a	pendent	cua de revisió per cobertura escassa; ASR no confirmat
8	padrí	territorial	1	pa-009	810.000-812.000	clips-formes-escasses/padri__pa-009__1.wav	qui era el desvegat d'esquena, el seu padrí,	a80e812990c8729c13baf174c02e28bbcb9bee86417245fa7f13ae5fca7d23f3	pendent	cua de revisió per cobertura escassa; ASR no confirmat
8	padrí	territorial	2	pa-014	800.200-814.200	clips-formes-escasses/padri__pa-014__2.wav	Detalls que voldria dir, el Cap d'Anseire, per la Festa Major, el Padrí Major li entregava la vara del consell,	091ef48e95f97137d4ca35cd2833d5a2ac093febd99e585f6e763a9603f79695	pendent	cua de revisió per cobertura escassa; ASR no confirmat
8	padrí	territorial	3	pa-050	170.120-175.080	clips-formes-escasses/padri__pa-050__3.wav	el teu padri, tenia una biblioteca tinguantesa extraordinària.	c4d5a2845ba08b710182af31232347d51a50ddc699b8d1e49951e240f73933c5	pendent	cua de revisió per cobertura escassa; ASR no confirmat
9	santuari	territorial	1	pa-009	322.000-327.000	clips-formes-escasses/santuari__pa-009__1.wav	Sent aquests, els més antics, les dues campanes del antic santuari de Melitxei,	8798ff01e17a9794fae79193a80e2774c446d806057d940d19d8930e07f56a72	pendent	cua de revisió per cobertura escassa; ASR no confirmat
9	santuari	territorial	2	pa-045	319.640-322.240	clips-formes-escasses/santuari__pa-045__2.wav	perquè és un santuari que es va descobrir intacte.	e60dee47d69be31e35db855f303431af83ad59002ca037a96b6c2b95827d5eaa	pendent	cua de revisió per cobertura escassa; ASR no confirmat
9	santuari	territorial	3	pa-048	848.360-852.440	clips-formes-escasses/santuari__pa-048__3.wav	que no és catedral ni santuari,	c9212d3d72d2e3878e352608ec6808b776c911a8dab856b257f7281f7147864a	pendent	cua de revisió per cobertura escassa; ASR no confirmat
10	veguer	territorial	1	pa-001	216.960-220.400	clips-formes-escasses/veguer__pa-001__1.wav	Hi havia una part que a mi em va manifestar el veguer francès	33bbdb87e337b26832aeefd7258c8dd7a4b2dac311ff4aadcbcc5a696d68217b	pendent	cua de revisió per cobertura escassa; ASR no confirmat
10	veguer	territorial	2	pa-002	880.000-884.000	clips-formes-escasses/veguer__pa-002__2.wav	i, amb un segon ordre, a la figura del veguer.	ae546f208f30cd6b5ec9f1aef278a877f352d9c79dec9e1ac29dae5d96694d1a	pendent	cua de revisió per cobertura escassa; ASR no confirmat
10	veguer	territorial	3	pa-025	1034.360-1039.080	clips-formes-escasses/veguer__pa-025__3.wav	i no li agraït prou l'últim veguer,	6b357494ea7fdabb73ab720457e3e4c47be3956ef93f928f2200922cfb0e8dab	pendent	cua de revisió per cobertura escassa; ASR no confirmat
