categoria	candidat	referencia	n_persones	n_amb_evidencia	n_sense_evidencia	estats_evidencia	indicadors	estat_global
vocalisme	distinció a/e àtones	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
vocalisme	manteniment de o àtona	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
vocalisme	alternança o/u àtona	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
vocalisme	obertura de e tònica	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
morfologia	incoatius en -ix-	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
morfologia	morfologia nominal i adjectival	Rabassa	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
fonosintaxi	contacte entre mots	Rabassa	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
fonètica	palatalització i velarització	ALDC; Veny	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
fonètica	realització de r i consonants finals	Rabassa; ALDC	66	0	66	sense evidència específica=66	requereix escolta=66	pendent d'audició
lèxic	variants occidentals	ALDC; Veny	66	0	66	sense evidència específica=66	candidat lèxic; validar àudio=66	pendent d'audició
lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	66	0	66	sense evidència específica=66	candidat lèxic; validar àudio=66	pendent d'audició
lèxic	terminologia d'esports d'hivern	Govern d'Andorra	66	0	66	sense evidència específica=66	candidat lèxic; validar àudio=66	pendent d'audició
sintaxi	perífrasis i règim verbal	Rull	66	0	66	sense evidència específica=66	indicador textual; validar àudio=66	pendent d'audició
pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	66	61	5	marcadors textuals consensuals; forma global pendent=61; sense evidència específica=5	indicador textual; validar àudio=66	pendent d'audició
prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	66	62	4	descriptor acústic normalitzat=62; sense evidència específica=4	descriptor acústic; no és tret confirmat=66	pendent d'audició
variació	localitat i generació	Rabassa; ALDC	66	0	66	sense evidència específica=66	contextual; no prova varietat=66	pendent d'audició
variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	66	0	66	sense evidència específica=66	requereix escolta i context=66	pendent d'audició
