model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	doncs	2	6.840	8.520	0.0000	Doncs ho deiem en general al somari.	candidat ASR; pendent d'audició
small	discurs	bé	16	39.600	41.400	0.0000	-Com estàs? -Molt bé, gràcies.	candidat ASR; pendent d'audició
small	discurs	bé	17	41.480	43.160	0.0000	Sí, bé, aquí n'ha aguantant.	candidat ASR; pendent d'audició
small	discurs	a veure	21	48.840	51.360	0.0000	A veure, d'entratat he de preguntar...	candidat ASR; pendent d'audició
small	discurs	doncs	22	51.440	53.640	0.0000	Doncs una miqueta el que he preguntat a tota la gent	candidat ASR; pendent d'audició
small	discurs	a veure	26	61.560	64.280	0.0000	A veure, principalment, el que he fet és treballar,	candidat ASR; pendent d'audició
small	discurs	perquè	27	64.360	68.600	0.0000	perquè he viscut amb una posició que el que havia de fer...	candidat ASR; pendent d'audició
small	discurs	és a dir	29	72.720	76.360	0.0000	és a dir, al servei de policia,	candidat ASR; pendent d'audició
small	discurs	bueno	31	78.840	82.360	0.0000	i, bueno, hem hagut de continuar treballant	candidat ASR; pendent d'audició
small	discurs	perquè	34	89.200	91.200	0.0000	perquè la situació que he viscut jo és bastant similar,	candidat ASR; pendent d'audició
small	discurs	a veure	39	102.120	104.120	0.0000	A veure, no acabava bé potser d'entendre la situació,	candidat ASR; pendent d'audició
small	discurs	bé	39	102.120	104.120	0.0000	A veure, no acabava bé potser d'entendre la situació,	candidat ASR; pendent d'audició
small	discurs	no?	40	104.200	106.200	0.0000	no sé seguir massa les normes, després s'ha anat calmant, no?	candidat ASR; pendent d'audició
small	discurs	bé	47	123.600	126.640	0.0000	o sigui, que ha sortit bastant bé.	candidat ASR; pendent d'audició
small	discurs	o sigui	47	123.600	126.640	0.0000	o sigui, que ha sortit bastant bé.	candidat ASR; pendent d'audició
small	discurs	doncs	48	126.720	129.760	0.0000	Doncs tot això pel que fa a la part de la feina,	candidat ASR; pendent d'audició
small	discurs	evidentment	50	131.920	133.520	0.0000	fa molt temps i, evidentment,	candidat ASR; pendent d'audició
small	discurs	perquè	55	143.160	145.160	0.0000	perquè han escut la branca en Dorrana	candidat ASR; pendent d'audició
small	discurs	a veure	64	167.040	171.800	0.0000	Des del... Conta que, a veure, jo tinc un recorregut bastant...	candidat ASR; pendent d'audició
small	discurs	perquè	66	174.120	177.120	0.0000	perquè em vaig aficionar, realment,	candidat ASR; pendent d'audició
small	territorial	comú	73	194.080	197.240	0.0000	i per anar tots amb unes idees en comú	candidat ASR; pendent d'audició
small	discurs	evidentment	90	247.400	250.400	0.0000	Que a vegades, Robert, hi ha una cosa que s'obte, evidentment,	candidat ASR; pendent d'audició
small	discurs	no?	97	264.960	266.960	0.0000	És força curiós, no?	candidat ASR; pendent d'audició
small	discurs	perquè	105	288.600	291.600	0.0000	perquè es diu l'aeroport en Dorrani a l'Aceu,	candidat ASR; pendent d'audició
small	discurs	diguem	109	301.320	305.320	0.0000	És a dir, necessitem, diguem, que van a aquest projecte.	candidat ASR; pendent d'audició
small	discurs	és a dir	109	301.320	305.320	0.0000	És a dir, necessitem, diguem, que van a aquest projecte.	candidat ASR; pendent d'audició
small	discurs	bueno	118	324.040	328.040	0.0000	Bueno, de fet, la meva afició és més endavant.	candidat ASR; pendent d'audició
small	discurs	de fet	118	324.040	328.040	0.0000	Bueno, de fet, la meva afició és més endavant.	candidat ASR; pendent d'audició
small	discurs	perquè	120	331.200	335.200	0.0000	Tu ho saps més que ningú perquè vam estudiar junts.	candidat ASR; pendent d'audició
small	discurs	doncs	121	335.280	339.280	0.0000	I el que sigui voler, doncs, entrar al món de l'aviació,	candidat ASR; pendent d'audició
small	discurs	evidentment	133	377.040	380.040	0.0000	Evidentment, si vols fer com a privat,	candidat ASR; pendent d'audició
small	discurs	a nivell	135	383.200	386.200	0.0000	A nivell de... a nivell de batida, de vacilitat.	candidat ASR; pendent d'audició
small	discurs	perquè	144	411.920	416.920	0.0000	"""Ultra-iogès"", perquè estan per sota d'un pes anteriorment de 600 quilos,"	candidat ASR; pendent d'audició
small	discurs	és a dir	152	437.560	440.560	0.0000	És a dir, amb automotor pots fer la turbina,	candidat ASR; pendent d'audició
small	discurs	doncs	154	443.720	446.720	0.0000	En fi, doncs la gent que s'hi volia aficionar ja ho sap.	candidat ASR; pendent d'audició
small	discurs	perquè	167	484.360	487.360	0.0000	perquè fèiem algunes reunions que no es podien fer físicament,	candidat ASR; pendent d'audició
base	discurs	doncs	2	7.080	9.400	0.0000	Doncs d'això en el somari, vull ens fa molta il·lusió,	candidat ASR; pendent d'audició
base	discurs	doncs	6	16.520	19.400	0.0000	Jo crec que a bo que ja he conegut, doncs, un adat en primer enca.	candidat ASR; pendent d'audició
base	discurs	doncs	10	24.320	27.800	0.0000	Amb una trajectòria dins al món policial, doncs espectacular,	candidat ASR; pendent d'audició
base	discurs	doncs	13	34.840	36.000	0.0000	doncs el que deia molta il·lusió,	candidat ASR; pendent d'audició
base	discurs	bé	17	40.440	42.480	0.0000	-Molt bé, gràcies, tu. -Bé, bé, aquí.	candidat ASR; pendent d'audició
base	discurs	a veure	20	49.000	52.440	0.0000	A veure, d'entrada, té a preguntar una miqueta,	candidat ASR; pendent d'audició
base	discurs	a veure	23	61.440	64.120	0.0000	A veure, a principi del moment el que he fet és fer vallar,	candidat ASR; pendent d'audició
base	discurs	perquè	24	64.240	68.720	0.0000	perquè és de forma una posició que li hauria de fer,	candidat ASR; pendent d'audició
base	discurs	bueno	26	72.760	79.920	0.0000	és a dir, al servei policia i ens hem anat tornant entre nosaltres i, bueno,	candidat ASR; pendent d'audició
base	discurs	és a dir	26	72.760	79.920	0.0000	és a dir, al servei policia i ens hem anat tornant entre nosaltres i, bueno,	candidat ASR; pendent d'audició
base	discurs	doncs	33	100.440	103.000	0.0000	potser, doncs, heu tingut més feina de la prevista,	candidat ASR; pendent d'audició
base	discurs	a veure	34	103.120	107.000	0.0000	en un principi, sembla que la gent, a veure, no acaba haver potser d'entendre la situació,	candidat ASR; pendent d'audició
base	discurs	o sigui	38	122.320	126.400	0.0000	a un mestre de mal·lència, o sigui que ha sortit bastable.	candidat ASR; pendent d'audició
base	discurs	doncs	39	126.520	131.800	0.0000	-Doncs tot això pel que fa la part de la feina, que no és la que ens toca massa avui,	candidat ASR; pendent d'audició
base	discurs	evidentment	40	131.920	135.200	0.0000	fa molt temps, i evidentment tot a la gent que et segueix una mica de les xarxes,	candidat ASR; pendent d'audició
base	discurs	perquè	43	143.280	147.880	0.0000	perquè ha nascut la Branca Endorrana de la Sociació Internacional de Pilots i Prietàries de aeronauts,	candidat ASR; pendent d'audició
base	discurs	doncs	44	148.000	151.440	0.0000	i el que preteneu, doncs, és reunir tots els amants de l'aviació del país,	candidat ASR; pendent d'audició
base	discurs	a veure	48	165.080	171.600	0.0000	Sí, efectivament, des del compte que, a veure, jo tinc un recorregut bastant,	candidat ASR; pendent d'audició
base	discurs	perquè	50	173.840	179.280	0.0000	perquè em vaig aficionar, realment, quan vaig tornar a l'eferir a l'any 2009.	candidat ASR; pendent d'audició
base	territorial	comú	53	190.440	197.080	0.0000	aquesta, per parlar amb nosaltres i relacionar-nos, imper anar a tots amb unes idees en comú	candidat ASR; pendent d'audició
base	discurs	doncs	65	250.160	252.840	0.0000	evidentment per les condicions del nostre país, doncs,	candidat ASR; pendent d'audició
base	discurs	evidentment	65	250.160	252.840	0.0000	evidentment per les condicions del nostre país, doncs,	candidat ASR; pendent d'audició
base	discurs	evidentment	66	252.960	255.360	0.0000	evidentment, s'hi parlen d'esquí o de comers.	candidat ASR; pendent d'audició
base	discurs	no?	69	262.680	266.040	0.0000	sembla que són coses que no van massa amb nosaltres, és força curios, no?	candidat ASR; pendent d'audició
base	discurs	perquè	76	288.480	292.960	0.0000	perquè es diu aeroport en Dorra la seu, porque no esteu.	candidat ASR; pendent d'audició
base	discurs	és a dir	79	301.720	305.920	0.0000	És a dir, necessitat d'entendre amb aquest projecte.	candidat ASR; pendent d'audició
base	discurs	de fet	87	323.040	327.920	0.0000	De fet, la meva afició és més endavant.	candidat ASR; pendent d'audició
base	discurs	perquè	89	331.480	334.920	0.0000	Tu saps més que ningú, perquè quan estigués l'unç,	candidat ASR; pendent d'audició
base	discurs	aleshores	97	363.680	370.280	0.0000	Aleshores, jo recomano les persones que és de l'agrada i acatmòmio,	candidat ASR; pendent d'audició
base	discurs	és a dir	99	373.480	375.600	0.0000	és a dir, si vols que com a hobby,	candidat ASR; pendent d'audició
base	discurs	evidentment	100	375.720	378.400	0.0000	evidentment, si vols que com a privata els hi recomano,	candidat ASR; pendent d'audició
base	discurs	a nivell	101	378.520	383.080	0.0000	no hi hagi impulsible a nivell, a partir de l'alcalgat,	candidat ASR; pendent d'audició
base	discurs	bé	107	406.440	409.800	0.0000	Bé, després he spotatendre a pilotar bioletes,	candidat ASR; pendent d'audició
base	discurs	perquè	109	411.520	414.520	0.0000	l'hotra i ho fer perquè estan persotes a l'Espanyola.	candidat ASR; pendent d'audició
base	discurs	doncs	112	420.600	424.560	0.0000	doncs avui és de treure una lliçència que viviu en PP,	candidat ASR; pendent d'audició
base	discurs	doncs	118	442.920	446.400	0.0000	En fi, doncs la gent que si volgui aficionar ja ho sap,	candidat ASR; pendent d'audició
base	discurs	perquè	121	451.160	452.800	0.0000	perquè teniu un futur dins d'aquest món.	candidat ASR; pendent d'audició
base	discurs	no?	130	475.440	477.720	0.0000	però per causes que no us tocaven directament, no?	candidat ASR; pendent d'audició
base	discurs	perquè	138	503.040	505.440	0.0000	perquè feia malgrans reunions que no es puguin fer,	candidat ASR; pendent d'audició
base	discurs	a nivell	140	510.720	515.240	0.0000	Però a nivell de transnistat, els meus noven, tenia l'autorització,	candidat ASR; pendent d'audició
base	discurs	no?	147	534.160	536.560	0.0000	pràcticament us deieu conèixer tots o no?	candidat ASR; pendent d'audició
base	discurs	perquè	149	540.320	543.160	0.0000	perquè inclús ens conèixem les veus,	candidat ASR; pendent d'audició
base	discurs	doncs	168	602.440	606.280	0.0000	doncs trobar els avantatges per els pilotes,	candidat ASR; pendent d'audició
base	discurs	clar	173	624.320	627.640	0.0000	Clar, suposo rever que és molt més fàcil anar en grup,	candidat ASR; pendent d'audició
base	discurs	no?	180	642.920	644.920	0.0000	i hi ha molta més gent, no?	candidat ASR; pendent d'audició
base	discurs	clar	186	665.480	670.720	0.0000	i ja va quedar ben clar que hi ha per promoure i per clagenir un desit realment,	candidat ASR; pendent d'audició
base	discurs	doncs	189	677.840	681.560	0.0000	I després més tard, doncs ja anem de tenir una cuota,	candidat ASR; pendent d'audició
base	discurs	perquè	191	688.440	691.120	0.0000	Perquè normalment dedicar-se-la això o tenir això,	candidat ASR; pendent d'audició
base	discurs	evidentment	195	702.000	706.560	0.0000	Tu penses que evidentment i vas a l'obateix anar amb un fiat panda,	candidat ASR; pendent d'audició
base	discurs	és a dir	197	708.360	711.680	0.0000	És a dir, tu pots anar amb un avió, amb un aeronaut,	candidat ASR; pendent d'audició
base	discurs	evidentment	200	720.160	723.680	0.0000	I després sí, evidentment, sí, entres a mulletet,	candidat ASR; pendent d'audició
base	discurs	clar	202	727.240	729.280	0.0000	Clar, tot depèn per què ho vulguis fer?	candidat ASR; pendent d'audició
base	discurs	evidentment	203	729.400	733.320	0.0000	I tu, si tu necessites per la feina, evidentment,	candidat ASR; pendent d'audició
base	discurs	doncs	208	750.560	754.800	0.0000	doncs t'ha de ser-ho i tens una mariscana aquí a la platja,	candidat ASR; pendent d'audició
base	discurs	perquè	212	763.040	766.440	0.0000	Perquè he vist que teniu intenció també,	candidat ASR; pendent d'audició
base	discurs	clar	221	793.520	797.600	0.0000	El que passa és que, clar, no tenim una identitat	candidat ASR; pendent d'audició
base	discurs	és a dir	228	814.920	817.640	0.0000	És a dir, que poden comptar amb tota la nostra logísquia,	candidat ASR; pendent d'audició
base	discurs	doncs	235	836.520	841.200	0.0000	Doncs nosaltres, el que volem fer és posar disposició	candidat ASR; pendent d'audició
base	discurs	perquè	237	846.640	850.640	0.0000	perquè amb qualsevol tipus de mercència puguin comptar amb els nostres.	candidat ASR; pendent d'audició
base	discurs	perquè	240	855.720	858.080	0.0000	perquè això està sent massa plàstida com a entrevista,	candidat ASR; pendent d'audició
