id	candidat	forma	categoria	small	base	clip	estat
lead-rtva-009-isidre-bartumeu::a nivell	lead-rtva-009-isidre-bartumeu	a nivell	discurs	1	1	lead-rtva-009__01__a-nivell.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::a veure	lead-rtva-009-isidre-bartumeu	a veure	discurs	4	3	lead-rtva-009__02__a-veure.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::bé	lead-rtva-009-isidre-bartumeu	bé	discurs	9	10	lead-rtva-009__06__b.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::clar	lead-rtva-009-isidre-bartumeu	clar	discurs	1	3	lead-rtva-009__07__clar.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::de fet	lead-rtva-009-isidre-bartumeu	de fet	discurs	2	1	lead-rtva-009__08__de-fet.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::doncs	lead-rtva-009-isidre-bartumeu	doncs	discurs	31	43	lead-rtva-009__10__doncs.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::evidentment	lead-rtva-009-isidre-bartumeu	evidentment	discurs	5	4	lead-rtva-009__11__evidentment.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::llavors	lead-rtva-009-isidre-bartumeu	llavors	discurs	6	3	lead-rtva-009__12__llavors.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::no?	lead-rtva-009-isidre-bartumeu	no?	discurs	31	24	lead-rtva-009__13__no.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::o sigui	lead-rtva-009-isidre-bartumeu	o sigui	discurs	8	5	lead-rtva-009__14__o-sigui.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::per tant	lead-rtva-009-isidre-bartumeu	per tant	discurs	9	9	lead-rtva-009__15__per-tant.wav	consens textual; pendent d'audició
lead-rtva-009-isidre-bartumeu::perquè	lead-rtva-009-isidre-bartumeu	perquè	discurs	21	18	lead-rtva-009__16__perqu.wav	consens textual; pendent d'audició
