segment	inici_s	final_s	speaker_hipotesi	confiança_regla	evidencia_regla	text_asr	estat
1	0.000	2.320	entrevistador-probable	0.78	interrogació o fórmula de pregunta	-Què tal, Joan? Bona tarda, com estàs? -Bona tarda.	hipòtesi; pendent d’audició
2	2.400	4.440	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Suposo que content de tornar a casa.	hipòtesi; pendent d’audició
3	4.520	6.640	indeterminat	0.30	cap indici textual suficient	Te'l dic que deus anar molt atrafagat.	hipòtesi; pendent d’audició
4	6.720	10.160	indeterminat	0.30	cap indici textual suficient	Molts mitjans, imagino, que per això t'agraïm especialment,	hipòtesi; pendent d’audició
5	10.240	11.960	joan-probable	0.60	primera persona o resposta declarativa	que estiguis aquí amb nosaltres.	hipòtesi; pendent d’audició
6	12.040	14.840	joan-probable	0.60	primera persona o resposta declarativa	Ja sé, amb vosaltres sempre és un plaer cansat.	hipòtesi; pendent d’audició
7	14.920	19.480	joan-probable	0.60	primera persona o resposta declarativa	Ara vaig arribar fa dos dies, una mica tot revolucionar,	hipòtesi; pendent d’audició
8	19.560	22.920	indeterminat	0.30	cap indici textual suficient	de tests físics avui, però ara ja més tranquil,	hipòtesi; pendent d’audició
9	23.000	25.720	indeterminat	0.30	cap indici textual suficient	ara uns dies de més calma, compartíem família,	hipòtesi; pendent d’audició
10	25.800	28.160	indeterminat	0.30	cap indici textual suficient	i ràpidament tornem a marxar al dia 1,	hipòtesi; pendent d’audició
11	28.240	32.280	entrevistador-probable	0.78	interrogació o fórmula de pregunta	perquè la pròxima carrera és el set i no tenim massa temps per badar.	hipòtesi; pendent d’audició
12	32.360	35.560	joan-probable	0.60	primera persona o resposta declarativa	Sabem que aquests tres mesos són megaintensos i estem preparats.	hipòtesi; pendent d’audició
13	35.640	39.160	indeterminat	0.30	cap indici textual suficient	Ho deia a l'introducció, segurament el millor cap de setmana	hipòtesi; pendent d’audició
14	39.240	43.840	joan-probable	0.60	primera persona o resposta declarativa	de la història de la Federació, fa quatre dies, no em faig dir,	hipòtesi; pendent d’audició
15	43.920	47.720	indeterminat	0.30	cap indici textual suficient	5, 10 anys batallàvem i de quina manera	hipòtesi; pendent d’audició
16	47.800	50.080	indeterminat	0.30	cap indici textual suficient	per rescar algun punt en Copa d'Europa.	hipòtesi; pendent d’audició
17	50.160	54.360	joan-probable	0.60	primera persona o resposta declarativa	En quatre dies hem aconseguit 54 punts a la Copa del Món.	hipòtesi; pendent d’audició
18	54.440	56.440	mixt-indeterminat	0.35	pregunta i primera persona en el mateix segment	Ens hem de passegar, eh?	hipòtesi; pendent d’audició
19	56.520	58.280	indeterminat	0.30	cap indici textual suficient	Sí, sí, sí.	hipòtesi; pendent d’audició
20	58.360	63.080	indeterminat	0.30	cap indici textual suficient	Ha estat un camí complicat i adverts en molts moments,	hipòtesi; pendent d’audició
21	63.160	65.880	indeterminat	0.30	cap indici textual suficient	creuant les jocs importants,	hipòtesi; pendent d’audició
22	65.960	70.000	indeterminat	0.30	cap indici textual suficient	però que ara surti en els fruits, doncs és genial,	hipòtesi; pendent d’audició
23	70.080	71.960	joan-probable	0.60	primera persona o resposta declarativa	estem esquiant molt fort,	hipòtesi; pendent d’audició
24	72.040	74.360	indeterminat	0.30	cap indici textual suficient	s'està fent un gran treball al meu voltant,	hipòtesi; pendent d’audició
25	74.440	77.120	indeterminat	0.30	cap indici textual suficient	al voltant de la ferració, des de la base,	hipòtesi; pendent d’audició
26	77.200	79.000	indeterminat	0.30	cap indici textual suficient	i bueno, s'està notant molt.	hipòtesi; pendent d’audició
27	79.080	83.000	indeterminat	0.30	cap indici textual suficient	Bé, fes 44 punts en aquestes dues dutgens places	hipòtesi; pendent d’audició
