forma	parlants	comptatge_total	veredicte
a nivell	pa-002,pa-003,pa-016,pa-017,pa-018,pa-019,pa-020,pa-023,pa-024,pa-026,pa-029,pa-034,pa-036,pa-038,pa-045,pa-048,pa-055,pa-057,pa-058,pa-059,pa-060,pa-061,pa-063,pa-065,pa-066	25	candidat textual quarta passada; revisió auditiva pendent
a veure	pa-002,pa-007,pa-008,pa-011,pa-014,pa-016,pa-021,pa-022,pa-023,pa-025,pa-026,pa-030,pa-031,pa-034,pa-036,pa-041,pa-045,pa-048,pa-049,pa-054,pa-055,pa-056,pa-060,pa-061,pa-063,pa-064	26	candidat textual quarta passada; revisió auditiva pendent
aleshores	pa-006,pa-008,pa-012,pa-025,pa-030,pa-031,pa-032,pa-046,pa-049,pa-056,pa-065	11	candidat textual quarta passada; revisió auditiva pendent
bueno	pa-003,pa-019,pa-021,pa-023,pa-030,pa-032,pa-037,pa-038,pa-041,pa-043,pa-049,pa-052,pa-054,pa-059,pa-061,pa-062,pa-065,pa-066	18	candidat textual quarta passada; revisió auditiva pendent
bé	pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-019,pa-020,pa-021,pa-022,pa-023,pa-026,pa-028,pa-030,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-039,pa-041,pa-045,pa-046,pa-048,pa-049,pa-056,pa-057,pa-061,pa-063,pa-064,pa-065,pa-066	41	candidat textual quarta passada; revisió auditiva pendent
clar	pa-002,pa-003,pa-006,pa-007,pa-008,pa-009,pa-010,pa-014,pa-016,pa-017,pa-019,pa-020,pa-022,pa-024,pa-025,pa-027,pa-028,pa-031,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-045,pa-049,pa-051,pa-052,pa-056,pa-059,pa-063,pa-064,pa-065	33	candidat textual quarta passada; revisió auditiva pendent
crec	pa-001,pa-002,pa-003,pa-010,pa-014,pa-016,pa-018,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-031,pa-034,pa-035,pa-037,pa-038,pa-039,pa-040,pa-041,pa-043,pa-048,pa-049,pa-051,pa-056,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	34	candidat textual quarta passada; revisió auditiva pendent
de fet	pa-001,pa-002,pa-003,pa-004,pa-006,pa-008,pa-010,pa-011,pa-016,pa-023,pa-024,pa-025,pa-027,pa-028,pa-031,pa-033,pa-040,pa-060,pa-066	19	candidat textual quarta passada; revisió auditiva pendent
diguem	pa-006,pa-007,pa-018,pa-019,pa-020,pa-025,pa-027,pa-029,pa-033,pa-034,pa-037,pa-046,pa-049,pa-057,pa-058,pa-062	16	candidat textual quarta passada; revisió auditiva pendent
doncs	pa-005,pa-006,pa-007,pa-009,pa-010,pa-011,pa-013,pa-015,pa-016,pa-017,pa-020,pa-021,pa-028,pa-030,pa-031,pa-032,pa-035,pa-036,pa-037,pa-038,pa-045,pa-046,pa-048,pa-056,pa-060,pa-063,pa-065	27	candidat textual quarta passada; revisió auditiva pendent
evidentment	pa-001,pa-002,pa-003,pa-004,pa-007,pa-009,pa-011,pa-014,pa-016,pa-017,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-036,pa-039,pa-040,pa-041,pa-045,pa-049,pa-055,pa-056,pa-059,pa-061,pa-066	28	candidat textual quarta passada; revisió auditiva pendent
llavors	pa-001,pa-002,pa-005,pa-007,pa-010,pa-015,pa-016,pa-017,pa-018,pa-019,pa-023,pa-028,pa-030,pa-033,pa-037,pa-038,pa-045,pa-046,pa-048,pa-049,pa-053,pa-054,pa-056,pa-057,pa-060,pa-061,pa-063,pa-066	28	candidat textual quarta passada; revisió auditiva pendent
o sigui	pa-005,pa-006,pa-009,pa-014,pa-016,pa-022,pa-025,pa-026,pa-029,pa-030,pa-038,pa-045,pa-048,pa-049,pa-055,pa-057,pa-061,pa-062,pa-063,pa-064,pa-065	21	candidat textual quarta passada; revisió auditiva pendent
perquè	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-031,pa-032,pa-033,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-062,pa-063,pa-064,pa-065,pa-066	54	candidat textual quarta passada; revisió auditiva pendent
reformeta	pa-002,pa-022,pa-025,pa-026,pa-034,pa-038,pa-055	7	candidat textual quarta passada; revisió auditiva pendent
tirar endavant	pa-003,pa-017,pa-029,pa-030,pa-031,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059	11	candidat textual quarta passada; revisió auditiva pendent
vull dir	pa-004,pa-014,pa-016,pa-017,pa-021,pa-022,pa-023,pa-026,pa-030,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-048,pa-049,pa-055,pa-056,pa-058,pa-059,pa-060,pa-061,pa-063	24	candidat textual quarta passada; revisió auditiva pendent
és a dir	pa-003,pa-007,pa-008,pa-010,pa-011,pa-013,pa-016,pa-017,pa-021,pa-022,pa-023,pa-027,pa-030,pa-033,pa-034,pa-035,pa-043,pa-046,pa-048,pa-058,pa-059,pa-060,pa-062,pa-064,pa-065	25	candidat textual quarta passada; revisió auditiva pendent
