id_persona	forma	relacio	pes
pa-002	a nivell	consens-ASR-small-base	1
pa-003	a nivell	consens-ASR-small-base	1
pa-016	a nivell	consens-ASR-small-base	1
pa-017	a nivell	consens-ASR-small-base	1
pa-018	a nivell	consens-ASR-small-base	1
pa-019	a nivell	consens-ASR-small-base	1
pa-024	a nivell	consens-ASR-small-base	1
pa-034	a nivell	consens-ASR-small-base	1
pa-036	a nivell	consens-ASR-small-base	1
pa-038	a nivell	consens-ASR-small-base	1
pa-045	a nivell	consens-ASR-small-base	1
pa-048	a nivell	consens-ASR-small-base	1
pa-058	a nivell	consens-ASR-small-base	1
pa-059	a nivell	consens-ASR-small-base	1
pa-061	a nivell	consens-ASR-small-base	1
pa-063	a nivell	consens-ASR-small-base	1
pa-065	a nivell	consens-ASR-small-base	1
pa-066	a nivell	consens-ASR-small-base	1
pa-002	a veure	consens-ASR-small-base	1
pa-007	a veure	consens-ASR-small-base	1
pa-008	a veure	consens-ASR-small-base	1
pa-011	a veure	consens-ASR-small-base	1
pa-022	a veure	consens-ASR-small-base	1
pa-023	a veure	consens-ASR-small-base	1
pa-025	a veure	consens-ASR-small-base	1
pa-030	a veure	consens-ASR-small-base	1
pa-031	a veure	consens-ASR-small-base	1
pa-034	a veure	consens-ASR-small-base	1
pa-036	a veure	consens-ASR-small-base	1
pa-045	a veure	consens-ASR-small-base	1
pa-048	a veure	consens-ASR-small-base	1
pa-049	a veure	consens-ASR-small-base	1
pa-056	a veure	consens-ASR-small-base	1
pa-061	a veure	consens-ASR-small-base	1
pa-064	a veure	consens-ASR-small-base	1
pa-006	aleshores	consens-ASR-small-base	1
pa-008	aleshores	consens-ASR-small-base	1
pa-030	aleshores	consens-ASR-small-base	1
pa-032	aleshores	consens-ASR-small-base	1
pa-021	bueno	consens-ASR-small-base	1
pa-030	bueno	consens-ASR-small-base	1
pa-032	bueno	consens-ASR-small-base	1
pa-038	bueno	consens-ASR-small-base	1
pa-043	bueno	consens-ASR-small-base	1
pa-054	bueno	consens-ASR-small-base	1
pa-062	bueno	consens-ASR-small-base	1
pa-066	bueno	consens-ASR-small-base	1
pa-002	bé	consens-ASR-small-base	1
pa-004	bé	consens-ASR-small-base	1
pa-005	bé	consens-ASR-small-base	1
pa-007	bé	consens-ASR-small-base	1
pa-009	bé	consens-ASR-small-base	1
pa-011	bé	consens-ASR-small-base	1
pa-013	bé	consens-ASR-small-base	1
pa-014	bé	consens-ASR-small-base	1
pa-019	bé	consens-ASR-small-base	1
pa-020	bé	consens-ASR-small-base	1
pa-021	bé	consens-ASR-small-base	1
pa-022	bé	consens-ASR-small-base	1
pa-023	bé	consens-ASR-small-base	1
pa-026	bé	consens-ASR-small-base	1
pa-028	bé	consens-ASR-small-base	1
pa-032	bé	consens-ASR-small-base	1
pa-033	bé	consens-ASR-small-base	1
pa-036	bé	consens-ASR-small-base	1
pa-038	bé	consens-ASR-small-base	1
pa-041	bé	consens-ASR-small-base	1
pa-048	bé	consens-ASR-small-base	1
pa-056	bé	consens-ASR-small-base	1
pa-063	bé	consens-ASR-small-base	1
pa-064	bé	consens-ASR-small-base	1
pa-065	bé	consens-ASR-small-base	1
pa-066	bé	consens-ASR-small-base	1
pa-007	clar	consens-ASR-small-base	1
pa-008	clar	consens-ASR-small-base	1
pa-009	clar	consens-ASR-small-base	1
pa-010	clar	consens-ASR-small-base	1
pa-016	clar	consens-ASR-small-base	1
pa-017	clar	consens-ASR-small-base	1
pa-020	clar	consens-ASR-small-base	1
pa-022	clar	consens-ASR-small-base	1
pa-024	clar	consens-ASR-small-base	1
pa-025	clar	consens-ASR-small-base	1
pa-028	clar	consens-ASR-small-base	1
pa-036	clar	consens-ASR-small-base	1
pa-038	clar	consens-ASR-small-base	1
pa-041	clar	consens-ASR-small-base	1
pa-051	clar	consens-ASR-small-base	1
pa-052	clar	consens-ASR-small-base	1
pa-056	clar	consens-ASR-small-base	1
pa-059	clar	consens-ASR-small-base	1
pa-063	clar	consens-ASR-small-base	1
