expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-009-isidre-bartumeu	small	6522	1671	0.2562	0.1066	bé=9;bueno=1;clar=1;doncs=31;llavors=6;de fet=2;és a dir=4;o sigui=8;vull dir=1;a veure=4;evidentment=5;per tant=9;a nivell=1;no?=31	Constitució=1	espanyol=1;espanyola=1	789	70	35	191	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-009-isidre-bartumeu	base	6391	1681	0.2630	0.1107	bé=10;clar=3;doncs=43;llavors=3;de fet=1;és a dir=3;o sigui=5;vull dir=2;a veure=3;evidentment=4;per tant=9;a nivell=1;no?=24	Constitució=1	castellà=1;espanyol=1	781	55	36	131	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-010-lurdes-riba	small	6518	1435	0.2202	0.0593	bé=25;bueno=15;clar=3;doncs=10;llavors=4;de fet=1;o sigui=4;vull dir=5;a veure=5;diguem=2;evidentment=14;per tant=2;a nivell=1;no?=36	andorrana=1;parròquia=2;comú=1;comunals=1;pagesia=2;Ordino=19;Escaldes=1;Sant Julià=4;principat=1	castellà=8;espanyol=1;espanyola=5;francès=2;francesa=3;anglès=2;barbarismes=2	737	130	66	169	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-010-lurdes-riba	base	6590	1489	0.2259	0.0700	bé=27;bueno=14;clar=3;doncs=9;llavors=1;de fet=1;o sigui=3;vull dir=5;a veure=7;diguem=2;evidentment=12;per tant=3;a nivell=1;no?=24	parròquia=2;comú=1;comunals=1;Ordino=10;Sant Julià=3	castellà=6;espanyol=1;espanyola=5;francesa=3;anglès=2;barbarismes=2	756	133	57	185	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-011-josep-dalleres	small	7881	1571	0.1993	0.1958	bé=18;bueno=3;clar=6;doncs=18;llavors=4;de fet=10;és a dir=3;o sigui=11;vull dir=1;a veure=16;diguem=1;evidentment=1;per tant=9;a nivell=3;no?=23	andorrana=1;comú=2;Escaldes=1;Constitució=4;coprincipat=1;principat=1	castellà=7;espanyol=6;espanyola=1;francès=13;francesa=6;anglès=2	962	137	62	239	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-011-josep-dalleres	base	7797	1724	0.2211	0.1243	bé=27;bueno=2;clar=8;doncs=25;llavors=1;de fet=8;o sigui=9;a veure=6;diguem=2;evidentment=2;per tant=9;a nivell=3;no?=26	andorrana=1;comú=1;Constitució=6	castellà=4;espanyol=3;espanyola=1;francès=5;francesa=7;anglès=2	983	126	56	327	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-012-marc-forne	small	8840	1681	0.1902	0.2167	bé=16;bueno=2;clar=15;doncs=5;llavors=14;de fet=15;és a dir=3;o sigui=1;vull dir=1;a veure=5;diguem=2;evidentment=1;per tant=10;no?=27	comuns=1;copríncep=1;comunals=1;padrí=2;Canillo=1;Ordino=1;Escaldes=1;Massana=1;Constitució=5	espanyol=26;espanyola=3;francès=6;francesa=2;anglès=2	1034	292	53	235	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-012-marc-forne	base	9523	1869	0.1963	0.1961	bé=19;bueno=3;clar=21;doncs=6;llavors=13;de fet=20;vull dir=5;a veure=7;evidentment=1;per tant=11;no?=34	comú=1;comuns=1;comunals=1;padrí=2;Ordino=1;Escaldes=1;Massana=3;Constitució=6	espanyol=4;espanyola=2;francès=4;anglès=2	1221	240	58	269	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-013-pere-vilanova	small	8594	1746	0.2032	0.2714	bé=17;bueno=6;clar=3;doncs=3;llavors=4;de fet=1;és a dir=5;o sigui=3;a veure=19;per tant=8;no?=10	parròquia=2;Constitució=17	castellà=2;espanyol=8;espanyola=2;francès=4;anglès=1	1037	175	64	321	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-013-pere-vilanova	base	8866	2040	0.2301	0.1299	bé=17;bueno=6;clar=3;doncs=5;llavors=6;aleshores=1;de fet=1;és a dir=1;o sigui=1;vull dir=2;a veure=2;diguem=1;per tant=9;no?=11	parròquia=1;Constitució=13	castellà=3;espanyol=1;espanyola=1;francès=1	1068	134	72	314	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
