origen	desti	relacio	pes	formes_compartides	evidencia
pa-001	pa-002	semblança textual provisional	5	crec,de fet,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-003	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-004	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-007	semblança textual provisional	3	evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-010	semblança textual provisional	4	crec,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-011	semblança textual provisional	3	de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-014	semblança textual provisional	3	crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-016	semblança textual provisional	5	crec,de fet,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-017	semblança textual provisional	3	evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-018	semblança textual provisional	3	crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-019	semblança textual provisional	4	crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-021	semblança textual provisional	3	crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-022	semblança textual provisional	3	crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-023	semblança textual provisional	3	de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-024	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-025	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-027	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-030	semblança textual provisional	3	crec,evidentment,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-031	semblança textual provisional	3	crec,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-033	semblança textual provisional	3	de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-037	semblança textual provisional	3	crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-038	semblança textual provisional	3	crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-039	semblança textual provisional	3	crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-040	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-041	semblança textual provisional	3	crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-045	semblança textual provisional	3	evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-049	semblança textual provisional	4	crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-056	semblança textual provisional	4	crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-060	semblança textual provisional	4	crec,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-061	semblança textual provisional	3	crec,evidentment,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-063	semblança textual provisional	3	crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-001	pa-066	semblança textual provisional	5	crec,de fet,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-003	semblança textual provisional	7	a nivell,bé,clar,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-004	semblança textual provisional	4	bé,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-006	semblança textual provisional	4	bé,clar,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-007	semblança textual provisional	6	a veure,bé,clar,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-008	semblança textual provisional	5	a veure,bé,clar,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-009	semblança textual provisional	4	bé,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-010	semblança textual provisional	5	clar,crec,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-011	semblança textual provisional	5	a veure,bé,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-014	semblança textual provisional	6	a veure,bé,clar,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-015	semblança textual provisional	3	bé,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-016	semblança textual provisional	9	a nivell,a veure,bé,clar,crec,de fet,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-017	semblança textual provisional	5	a nivell,clar,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-018	semblança textual provisional	4	a nivell,crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-019	semblança textual provisional	7	a nivell,bé,clar,crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-020	semblança textual provisional	4	a nivell,bé,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-021	semblança textual provisional	5	a veure,bé,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-022	semblança textual provisional	7	a veure,bé,clar,crec,evidentment,perquè,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-023	semblança textual provisional	6	a nivell,a veure,bé,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-024	semblança textual provisional	6	a nivell,clar,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-025	semblança textual provisional	7	a veure,clar,crec,de fet,evidentment,perquè,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-026	semblança textual provisional	5	a nivell,a veure,bé,perquè,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-027	semblança textual provisional	5	clar,crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-028	semblança textual provisional	4	bé,clar,de fet,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-030	semblança textual provisional	5	a veure,bé,crec,evidentment,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-031	semblança textual provisional	5	a veure,clar,crec,de fet,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-032	semblança textual provisional	3	bé,clar,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-033	semblança textual provisional	5	bé,clar,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-034	semblança textual provisional	5	a nivell,a veure,bé,crec,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-036	semblança textual provisional	6	a nivell,a veure,bé,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-037	semblança textual provisional	5	bé,clar,crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-038	semblança textual provisional	7	a nivell,bé,clar,crec,llavors,perquè,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-039	semblança textual provisional	4	bé,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-040	semblança textual provisional	4	crec,de fet,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-041	semblança textual provisional	6	a veure,bé,clar,crec,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-045	semblança textual provisional	7	a nivell,a veure,bé,clar,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-048	semblança textual provisional	5	a nivell,a veure,bé,crec,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-049	semblança textual provisional	7	a veure,bé,clar,crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-051	semblança textual provisional	3	clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-054	semblança textual provisional	3	a veure,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-055	semblança textual provisional	5	a nivell,a veure,evidentment,perquè,reformeta	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-056	semblança textual provisional	7	a veure,bé,clar,crec,evidentment,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-057	semblança textual provisional	4	a nivell,bé,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-059	semblança textual provisional	4	a nivell,clar,evidentment,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-060	semblança textual provisional	6	a nivell,a veure,crec,de fet,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-061	semblança textual provisional	6	a nivell,a veure,bé,crec,evidentment,llavors	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-063	semblança textual provisional	7	a nivell,a veure,bé,clar,crec,llavors,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
pa-002	pa-064	semblança textual provisional	5	a veure,bé,clar,crec,perquè	coincidència en clips de la quarta passada; revisió auditiva pendent
