forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	7	5	sí	small	No tenia res a veure amb el que jo havia viscut en Dorre,	va anar a veure l'entrenament del barça a la tarda.	0.4479	0.8427	0.1150	0.6748	lead-rtva-028__02__a-veure.wav	832720	835920	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	20	18	sí	small	Bueno, era molt pobre.	Bueno, era completamente diferent.	0.4315	0.6555	0.6146	0.8176	lead-rtva-028__05__bueno.wav	200240	201880	ASR textual; atribució i audició pendents
bé	discurs	25	27	sí	small	haurien de ser que serveixin més bé al públic.	haurien de ser que ser viguiessin més bé el públic.	0.5958	0.8704	0.1534	0.6724	lead-rtva-028__06__b.wav	285920	291040	ASR textual; atribució i audició pendents
clar	discurs	10	11	sí	small	Clar, havíem de comprar mils de dutzenes de cada model.	I vií clar, pagaven, quan havien venut un vídeo, jove, una vaca,	0.3127	0.8577	0.0600	0.5794	lead-rtva-028__07__clar.wav	988880	992120	ASR textual; atribució i audició pendents
de fet	discurs	1	3	sí	small	i, de fet, em vaig ser el número 1 de muntar autorradios a...	I de fet, em vaig ser...	0.2384	0.7768	0.5275	0.7800	lead-rtva-028__08__de-fet.wav	1218080	1224160	ASR textual; atribució i audició pendents
diguem	discurs	2	1	sí	small	diguem si s'hi reconeix.	Diguem que hem de preocupar.	0.2185	0.7421	0.1487	0.5319	lead-rtva-028__09__diguem.wav	1586880	1588400	ASR textual; atribució i audició pendents
doncs	discurs	10	5	sí	small	M'atisi, m'atisi, doncs.	Allà, doncs mai de...	0.2612	0.7807	0.1571	0.5413	lead-rtva-028__10__doncs.wav	1660760	1662920	ASR textual; atribució i audició pendents
evidentment	discurs	5	5	sí	small	Evidentment, no de quan va néixer,	Evidentment, no de quan va néixer,	0.4874	0.8782	0.3515	0.7643	lead-rtva-028__11__evidentment.wav	191360	192880	ASR textual; atribució i audició pendents
llavors	discurs	73	36	sí	small	Llavors mai de...	Llavors, vam ser primers de fer-ho.	0.5466	0.8144	0.2034	0.6887	lead-rtva-028__12__llavors.wav	80240	81880	ASR textual; atribució i audició pendents
no?	discurs	26	23	sí	small	Sempre hi n'hi ha un que tira del carro i molts segueixen, no?	que la primera de la singular, no?	0.4913	0.9012	0.2546	0.7026	lead-rtva-028__13__no.wav	113680	116840	ASR textual; atribució i audició pendents
