forma	tipus	n_parlants	parlants
a nivell	consens-ASR-small-base	18	pa-002,pa-003,pa-016,pa-017,pa-018,pa-019,pa-024,pa-034,pa-036,pa-038,pa-045,pa-048,pa-058,pa-059,pa-061,pa-063,pa-065,pa-066
a veure	consens-ASR-small-base	17	pa-002,pa-007,pa-008,pa-011,pa-022,pa-023,pa-025,pa-030,pa-031,pa-034,pa-036,pa-045,pa-048,pa-049,pa-056,pa-061,pa-064
aleshores	consens-ASR-small-base	4	pa-006,pa-008,pa-030,pa-032
bueno	consens-ASR-small-base	8	pa-021,pa-030,pa-032,pa-038,pa-043,pa-054,pa-062,pa-066
bé	consens-ASR-small-base	26	pa-002,pa-004,pa-005,pa-007,pa-009,pa-011,pa-013,pa-014,pa-019,pa-020,pa-021,pa-022,pa-023,pa-026,pa-028,pa-032,pa-033,pa-036,pa-038,pa-041,pa-048,pa-056,pa-063,pa-064,pa-065,pa-066
clar	consens-ASR-small-base	21	pa-007,pa-008,pa-009,pa-010,pa-016,pa-017,pa-020,pa-022,pa-024,pa-025,pa-028,pa-036,pa-038,pa-041,pa-051,pa-052,pa-056,pa-059,pa-063,pa-064,pa-065
crec	consens-ASR-small-base	28	pa-001,pa-002,pa-003,pa-014,pa-018,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-031,pa-035,pa-038,pa-039,pa-040,pa-041,pa-043,pa-048,pa-049,pa-051,pa-056,pa-061,pa-062,pa-063,pa-064,pa-066
de fet	consens-ASR-small-base	12	pa-003,pa-004,pa-006,pa-010,pa-011,pa-024,pa-027,pa-028,pa-031,pa-033,pa-040,pa-060
diguem	consens-ASR-small-base	10	pa-007,pa-018,pa-019,pa-025,pa-034,pa-037,pa-046,pa-057,pa-058,pa-062
doncs	consens-ASR-small-base	13	pa-005,pa-009,pa-010,pa-015,pa-016,pa-017,pa-021,pa-028,pa-030,pa-032,pa-046,pa-048,pa-065
evidentment	consens-ASR-small-base	19	pa-001,pa-002,pa-003,pa-004,pa-007,pa-009,pa-014,pa-016,pa-022,pa-025,pa-027,pa-030,pa-036,pa-040,pa-041,pa-045,pa-055,pa-056,pa-061
llavors	consens-ASR-small-base	4	pa-007,pa-010,pa-037,pa-063
o sigui	consens-ASR-small-base	8	pa-009,pa-014,pa-022,pa-045,pa-048,pa-049,pa-063,pa-065
perquè	consens-ASR-small-base	37	pa-001,pa-002,pa-003,pa-004,pa-007,pa-009,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-025,pa-026,pa-027,pa-032,pa-035,pa-036,pa-037,pa-038,pa-040,pa-041,pa-042,pa-045,pa-049,pa-051,pa-053,pa-054,pa-055,pa-056,pa-058,pa-059,pa-062,pa-064,pa-065,pa-066
reformeta	consens-ASR-small-base	6	pa-022,pa-025,pa-026,pa-034,pa-038,pa-055
tirar endavant	consens-ASR-small-base	9	pa-003,pa-029,pa-030,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059
vull dir	consens-ASR-small-base	12	pa-004,pa-014,pa-017,pa-021,pa-030,pa-037,pa-038,pa-041,pa-048,pa-056,pa-058,pa-059
és a dir	consens-ASR-small-base	9	pa-003,pa-008,pa-010,pa-011,pa-017,pa-027,pa-033,pa-059,pa-062
