forma	small	base	consens_presencia	estat
a nivell	0	0	no	divergència o absència ASR; pendent d'audició
a veure	4	3	sí	consens ASR; pendent d'audició
aleshores	0	0	no	divergència o absència ASR; pendent d'audició
aviam	0	0	no	divergència o absència ASR; pendent d'audició
bé	14	11	sí	consens ASR; pendent d'audició
bueno	6	10	sí	consens ASR; pendent d'audició
clar	5	2	sí	consens ASR; pendent d'audició
crec	0	1	no	divergència o absència ASR; pendent d'audició
de fet	1	1	sí	consens ASR; pendent d'audició
diguem	0	0	no	divergència o absència ASR; pendent d'audició
doncs	8	12	sí	consens ASR; pendent d'audició
evidentment	3	3	sí	consens ASR; pendent d'audició
és a dir	0	0	no	divergència o absència ASR; pendent d'audició
llavors	4	1	sí	consens ASR; pendent d'audició
no?	10	6	sí	consens ASR; pendent d'audició
o sigui	1	0	no	divergència o absència ASR; pendent d'audició
per tant	3	3	sí	consens ASR; pendent d'audició
perquè	15	7	sí	consens ASR; pendent d'audició
tirar endavant	0	0	no	divergència o absència ASR; pendent d'audició
vull dir	1	0	no	divergència o absència ASR; pendent d'audició
ensenyança	0	0	no	divergència o absència ASR; pendent d'audició
