forma	n_parlants	n_ocurrencies	parlants	estat
a nivell	11	12	spk-010,spk-011,spk-018,spk-026,spk-028,spk-037,spk-043,spk-044,spk-046,spk-053,spk-054	triple ASR; pendent d’audició; no és tret dialectal
a veure	10	11	spk-003,spk-005,spk-008,spk-010,spk-014,spk-016,spk-024,spk-028,spk-040,spk-051	triple ASR; pendent d’audició; no és tret dialectal
aleshores	4	4	spk-001,spk-003,spk-006,spk-016	triple ASR; pendent d’audició; no és tret dialectal
bueno	4	4	spk-006,spk-011,spk-037,spk-058	triple ASR; pendent d’audició; no és tret dialectal
bé	17	17	spk-005,spk-009,spk-010,spk-014,spk-017,spk-019,spk-022,spk-026,spk-028,spk-036,spk-037,spk-038,spk-046,spk-050,spk-054,spk-055,spk-057	triple ASR; pendent d’audició; no és tret dialectal
clar	11	12	spk-003,spk-005,spk-016,spk-035,spk-038,spk-040,spk-042,spk-043,spk-044,spk-052,spk-059	triple ASR; pendent d’audició; no és tret dialectal
crec	26	27	spk-002,spk-007,spk-010,spk-011,spk-014,spk-015,spk-016,spk-023,spk-024,spk-025,spk-026,spk-027,spk-029,spk-031,spk-032,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-046,spk-053,spk-054,spk-057	triple ASR; pendent d’audició; no és tret dialectal
de fet	11	11	spk-001,spk-008,spk-009,spk-015,spk-017,spk-019,spk-029,spk-033,spk-035,spk-053,spk-059	triple ASR; pendent d’audició; no és tret dialectal
diguem	8	8	spk-005,spk-024,spk-027,spk-030,spk-039,spk-041,spk-046,spk-051	triple ASR; pendent d’audició; no és tret dialectal
doncs	10	10	spk-010,spk-016,spk-036,spk-042,spk-043,spk-044,spk-049,spk-050,spk-056,spk-059	triple ASR; pendent d’audició; no és tret dialectal
ensenyança	1	1	spk-038	triple ASR; pendent d’audició; no és tret dialectal
evidentment	13	14	spk-005,spk-015,spk-016,spk-018,spk-019,spk-028,spk-038,spk-040,spk-044,spk-045,spk-048,spk-050,spk-053	triple ASR; pendent d’audició; no és tret dialectal
llavors	4	4	spk-005,spk-041,spk-054,spk-059	triple ASR; pendent d’audició; no és tret dialectal
o sigui	7	7	spk-007,spk-010,spk-018,spk-040,spk-042,spk-050,spk-057	triple ASR; pendent d’audició; no és tret dialectal
perquè	31	34	spk-002,spk-005,spk-006,spk-007,spk-011,spk-014,spk-015,spk-016,spk-018,spk-019,spk-022,spk-024,spk-026,spk-027,spk-028,spk-029,spk-032,spk-034,spk-037,spk-038,spk-039,spk-041,spk-042,spk-043,spk-044,spk-048,spk-050,spk-053,spk-056,spk-057,spk-058	triple ASR; pendent d’audició; no és tret dialectal
reformeta	4	5	spk-024,spk-037,spk-040,spk-048	triple ASR; pendent d’audició; no és tret dialectal
tirar endavant	5	7	spk-016,spk-020,spk-043,spk-051,spk-053	triple ASR; pendent d’audició; no és tret dialectal
vull dir	9	10	spk-010,spk-016,spk-031,spk-037,spk-038,spk-039,spk-041,spk-043,spk-057	triple ASR; pendent d’audició; no és tret dialectal
és a dir	8	8	spk-003,spk-009,spk-015,spk-017,spk-027,spk-043,spk-053,spk-059	triple ASR; pendent d’audició; no és tret dialectal
