ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
1	A-triple-consens	9	pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	qa-clips/pa-007__be__59_25_66_75.txt	qa-clips-json/pa-007__b__59_25.json	sí	59.920-60.180	0.6477	0.6477	bé	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	sí	sí	sí	0.688	0.042	0.6604	-30.12	263.45	124.55	1236.76	0.060	pendent					
2	A-triple-consens	9	pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	qa-clips/pa-007__llavors__657_25_663_75.txt	qa-clips-json/pa-007__llavors__657_25.json	sí	657.250-657.670	0.0183	0.4596	llavors	llavors això lògicament li va mereixer un nom al carrer nacional i es caldes	sí	sí	sí	0.592	0.088	0.5432	-34.19	247.73	156.79	1522.58	0.080	pendent					
3	A-triple-consens	9	pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	qa-clips/pa-010__crec__1033_25_1036_75.txt	qa-clips-json/pa-010__crec__1033_25.json	sí	1033.640-1034.010	0.8283	0.8283	crec	i que crec que és prou encertada.	sí	sí	sí	0.695	0.070	0.4138	-37.84	189.30	180.68	777.86	0.100	pendent					
4	A-triple-consens	9	pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	qa-clips/pa-041__vull-dir__264_25_271_75.txt	qa-clips-json/pa-041__vull-dir__264_25.json	sí	265.460-266.250	0.9947	0.9948	vull dir	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	sí	sí	sí	0.742	0.118	0.6310	-30.14	204.48	53.92	913.51	0.080	pendent					
5	A-triple-consens	9	pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	qa-clips/pa-004__be__319_61_322_59.txt	qa-clips-json/pa-004__b__319_61.json	sí	320.890-321.150	0.9828	0.9828	bé	més o menys està bé allà i després...	sí	sí	sí	0.082	0.601	0.1284	-44.46	288.82	185.63	1351.78	0.530	pendent					
6	A-triple-consens	9	pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	qa-clips/pa-004__de-fet__601_17_607_35.txt	qa-clips-json/pa-004__de-fet__601_17.json	sí	603.920-604.170	0.6882	0.8381	de fet	molt complicat i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.	sí	sí	sí	0.068	0.121	0.2468	-38.64	310.31	177.78	1308.97	0.100	pendent					
7	A-triple-consens	9	pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	qa-clips/pa-004__evidentment__522_93_528_15.txt	qa-clips-json/pa-004__evidentment__522_93.json	sí	526.850-526.900	0.9676	0.9793	evidentment	i provaria aigua suficient, evidentment, i el...	sí	sí	sí	0.082	0.077	0.1615	-40.11	242.56	182.81	1370.58	0.340	pendent					
8	A-triple-consens	9	pa-004	perquè	464.09-471.39	clips/pa-004__perqu__464.09.wav	qa-clips/pa-004__perque__464_09_471_39.txt	qa-clips-json/pa-004__perqu__464_09.json	sí	468.080-468.800	0.6217	0.6217	perquè	I calia estar-hi molt a sobre perquè per no quedar-se sense molt l'incarre que algú n'és més.	sí	sí	sí	0.038	0.116	0.1593	-39.75	309.55	181.60	1075.94	0.160	pendent					
9	A-triple-consens	9	pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	qa-clips/pa-004__vull-dir__143_45_150_59.txt	qa-clips-json/pa-004__vull-dir__143_45.json	sí	145.160-145.680	0.5771	0.7862	vull dir	d'en Valirà, vull dir que eren llocs molt elevats, i també es podia conregar.	sí	sí	sí	0.051	0.086	0.0815	-44.35	138.43	7.55	1149.70	0.120	pendent					
10	A-triple-consens	9	pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	qa-clips/pa-005__be__51_09_56_07.txt	qa-clips-json/pa-005__b__51_09.json	sí	52.610-53.090	0.9921	0.9921	bé	Si us sembla bé, farem un viatge en el temps, més precisament.	sí	sí	sí	0.121	0.114	0.0645	-45.51	241.53	27.99	1690.47	0.150	pendent					
11	A-triple-consens	9	pa-005	doncs	71.13-77.11	clips/pa-005__doncs__71.13.wav	qa-clips/pa-005__doncs__71_13_77_11.txt	qa-clips-json/pa-005__doncs__71_13.json	sí	71.130-71.620;72.090-72.580	0.6435;0.3084	0.6435;0.6541	Doncs;doncs	Doncs bé, doncs deveu demanar què és això dels hostals comunals.	sí	sí	sí	0.052	0.086	0.0638	-47.50	225.40	16.41	1678.86	0.280	pendent					
12	A-triple-consens	9	pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	qa-clips/pa-005__o-sigui__373_33_379_95.txt	qa-clips-json/pa-005__o-sigui__373_33.json	sí	376.930-377.390	0.8872	0.9370	O sigui	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	sí	sí	sí	0.057	0.073	0.0182	-46.93	229.95	10.02	1530.35	1.880	pendent					
13	A-triple-consens	9	pa-006	aleshores	513.25-518.75	clips/pa-006__aleshores__513.25.wav	qa-clips/pa-006__aleshores__513_25_518_75.txt	qa-clips-json/pa-006__aleshores__513_25.json	sí	513.280-513.990	0.5916	0.8525	Aleshores	Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.	sí	sí	sí	0.527	0.238	0.3577	-37.97	108.91	36.05	784.05	0.100	pendent					
14	A-triple-consens	9	pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	qa-clips/pa-006__be__151_25_159_75.txt	qa-clips-json/pa-006__b__151_25.json	sí	154.600-154.850	0.8041	0.8041	bé	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	sí	sí	sí	0.193	0.238	0.6108	-32.68	184.28	145.18	726.69	0.080	pendent					
15	A-triple-consens	9	pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	qa-clips/pa-006__de-fet__285_25_291_75.txt	qa-clips-json/pa-006__de-fet__285_25.json	sí	286.520-287.320	0.8407	0.9182	de fet	és que, de fet, només hi ha una sola peça al muiment.	sí	sí	sí	0.416	0.301	0.5772	-33.09	117.01	83.36	741.78	0.070	pendent					
16	A-triple-consens	9	pa-006	doncs	180.25-187.75	clips/pa-006__doncs__180.25.wav	qa-clips/pa-006__doncs__180_25_187_75.txt	qa-clips-json/pa-006__doncs__180_25.json	sí	181.230-181.790	0.5306	0.7648	doncs	i la rota, doncs, passava per sobreborda i era accionada per l'aigua que circulava.	sí	sí	sí	0.212	0.077	0.2701	-43.88	111.37	91.19	968.67	0.120	pendent					
17	A-triple-consens	9	pa-006	o sigui	136.25-143.75	clips/pa-006__o-sigui__136.25.wav	qa-clips/pa-006__o-sigui__136_25_143_75.txt	qa-clips-json/pa-006__o-sigui__136_25.json	sí	136.250-136.740	0.0187	0.4989	o sigui	o sigui, rius de la plana.  No els rius que tenim aquí en les altres.  Surti i gata.	sí	sí	sí	0.212	0.142	0.3369	-44.34	142.32	88.63	1329.21	0.100	pendent					
18	A-triple-consens	9	pa-006	perquè	110.25-117.75	clips/pa-006__perqu__110.25.wav	qa-clips/pa-006__perque__110_25_117_75.txt	qa-clips-json/pa-006__perqu__110_25.json	sí	113.450-114.130	0.2439	0.2439	perquè	I us aprofita la velocitat de l'aigua perquè les aletes que té total voltant de la roda, que no us veu ni aquí a la imatge.	sí	sí	sí	0.187	0.135	0.5561	-34.15	148.06	89.70	680.57	0.080	pendent					
19	A-triple-consens	9	pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	qa-clips/pa-007__a-veure__89_25_96_75.txt	qa-clips-json/pa-007__a-veure__89_25.json	sí	90.530-91.050	0.9934	0.9961	a veure	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	sí	sí	sí	0.318	0.403	0.6791	-27.99	291.20	45.84	1205.52	0.060	pendent					
20	A-triple-consens	9	pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	qa-clips/pa-007__clar__344_25_349_75.txt	qa-clips-json/pa-007__clar__344_25.json	sí	344.510-344.860	0.4951	0.4951	clar	és clar que els polítics, pel nombre de carrers dedicats,	sí	sí	sí	0.549	0.117	0.5292	-32.48	269.48	136.02	1453.08	0.260	pendent					
21	A-triple-consens	9	pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	qa-clips/pa-007__diguem__585_25_591_75.txt	qa-clips-json/pa-007__diguem__585_25.json	sí	586.460-586.670	0.7294	0.8476	diguem	per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.	sí	sí	sí	0.342	0.107	0.5772	-32.43	256.98	113.00	1413.32	0.080	pendent					
22	A-triple-consens	9	pa-007	doncs	59.25-66.75	clips/pa-007__doncs__59.25.wav	qa-clips/pa-007__doncs__59_25_66_75.txt	qa-clips-json/pa-007__doncs__59_25.json	sí	59.380-59.730	0.5996	0.5996	Doncs	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	sí	sí	sí	0.256	0.042	0.6604	-30.12	263.45	124.55	1236.76	0.060	pendent					
23	A-triple-consens	9	pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	qa-clips/pa-007__evidentment__778_25_783_75.txt	qa-clips-json/pa-007__evidentment__778_25.json	sí	782.330-783.130	0.9315	0.9633	evidentment	Els 2010 van passar a anomenar-se per motius polítics, evidentment,	sí	sí	sí	0.546	0.245	0.6131	-31.63	274.08	125.78	1236.03	0.060	pendent					
24	A-triple-consens	9	pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	qa-clips/pa-007__perque__101_25_107_75.txt	qa-clips-json/pa-007__perqu__101_25.json	sí	103.250-103.310	0.8509	0.8509	perquè	que res d'endorra, no sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això, no?	sí	sí	sí	0.240	0.263	0.4877	-35.17	269.39	131.55	1329.11	0.080	pendent					
25	A-triple-consens	9	pa-007	és a dir	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	qa-clips/pa-007__es-a-dir__684_25_687_75.txt	qa-clips-json/pa-007__s-a-dir__684_25.json	sí	684.250-685.420	0.0916	0.5689	és a dir	és a dir, canviar el nom de carrers,	sí	sí	sí	0.258	0.299	0.5747	-33.18	281.51	135.35	1524.88	0.120	pendent					
26	A-triple-consens	9	pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	qa-clips/pa-008__a-veure__668_25_673_75.txt	qa-clips-json/pa-008__a-veure__668_25.json	sí	670.160-670.890	0.9915	0.9953	a veure	tot això no té res a veure amb el que tres anys abans	sí	sí	sí	0.454	0.066	0.3832	-39.71	177.82	52.01	1542.08	0.060	pendent					
27	A-triple-consens	9	pa-008	bé	61.25-65.75	clips/pa-008__b__61.25.wav	qa-clips/pa-008__be__61_25_65_75.txt	qa-clips-json/pa-008__b__61_25.json	sí	63.140-63.270	0.4059	0.4059	bé	En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.	sí	sí	sí	0.111	0.116	0.6205	-31.29	178.84	38.08	1069.06	0.090	pendent					
28	A-triple-consens	9	pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	qa-clips/pa-008__clar__841_25_846_75.txt	qa-clips-json/pa-008__clar__841_25.json	sí	841.410-841.720	0.3522	0.3522	Clar	Clar, hem de pensar que els fallares que 87 van començar a tornar a cremar l'espai públic	sí	sí	sí	0.394	0.189	0.5328	-34.65	174.34	66.25	1280.12	0.060	pendent					
29	A-triple-consens	9	pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	qa-clips/pa-008__de-fet__799_25_804_75.txt	qa-clips-json/pa-008__de-fet__799_25.json	sí	801.690-801.940	0.7983	0.8963	de fet	que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.	sí	sí	sí	0.468	0.099	0.4307	-35.78	166.74	174.40	1213.49	0.070	pendent					
30	A-triple-consens	9	pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	qa-clips/pa-008__es-a-dir__1110_25_1114_75.txt	qa-clips-json/pa-008__s-a-dir__1110_25.json	sí	1112.550-1112.850	0.4791	0.8156	És a dir	a la festa o fer planter, no? És a dir,  quan els més grans s'hi implicen.	sí	sí	sí	0.325	0.074	0.5580	-34.34	167.05	118.17	1207.97	0.070	pendent					
