ordre	forma	categoria	rang	id_persona	interval_vtt	clip	text_asr	sha256	decisio_humana	observacio
1	Massana	territorial	1	pa-002	1126.000-1134.000	clips-formes-escasses/massana__pa-002__1.wav	La Massana potser era la parròquia més vinculada al Cindi,	363a08715889100314eaf6532a8911bae94d445ac5237de355dccfb4cc31727d	pendent	cua de revisió per cobertura escassa; ASR no confirmat
2	aiguats	territorial	1	pa-004	385.280-388.680	clips-formes-escasses/aiguats__pa-004__1.wav	que els Aiguats, que ja hem dit els forts Aiguats que van haver-hi,	120b74206463eb72f67e7a3fb75d558aa1a87d2bc0b55a863e6af86b68107950	pendent	cua de revisió per cobertura escassa; ASR no confirmat
3	andorrana	territorial	1	pa-001	62.640-66.680	clips-formes-escasses/andorrana__pa-001__1.wav	a un alt percentatge de la població d'Andorrana	205fb3d7e58e3a016aa2c36e63773032f54c94c96b6428886733b17c54deb2b7	pendent	cua de revisió per cobertura escassa; ASR no confirmat
4	aviam	discurs	1	pa-003	180.920-188.040	clips-formes-escasses/aviam__pa-003__1.wav	Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal,	dac67cbb394b5e360bd84a5e737e9c421c4c7339c663d63a0f1e9abea81427c9	pendent	cua de revisió per cobertura escassa; ASR no confirmat
5	comunal	territorial	1	pa-004	321.920-325.240	clips-formes-escasses/comunal__pa-004__1.wav	I després tenim també el molí comunal de Sant Julià de Lòria,	a5437f44689f866250bf131c8f5df36b7078f5033f341598930463e9572e3b4e	pendent	cua de revisió per cobertura escassa; ASR no confirmat
6	comunals	territorial	1	pa-005	71.880-76.360	clips-formes-escasses/comunals__pa-005__1.wav	Doncs veu demanar què és això dels hostals comunals.	3897ce7d22f018910aad19549e9886257071e5b25cdb36f4d37ec1cf7715d52c	pendent	cua de revisió per cobertura escassa; ASR no confirmat
7	coprínceps	territorial	1	pa-017	564.000-569.000	clips-formes-escasses/coprinceps__pa-017__1.wav	Clar, evidentment. I nosaltres no estallem aquí per matar els coprínceps.	7a448f350489cf02b21c8cafca41ce623a73092d47732b0c06736fd095b574db	pendent	cua de revisió per cobertura escassa; ASR no confirmat
8	padrí	territorial	1	pa-009	810.000-812.000	clips-formes-escasses/padri__pa-009__1.wav	qui era el desvegat d'esquena, el seu padrí,	a80e812990c8729c13baf174c02e28bbcb9bee86417245fa7f13ae5fca7d23f3	pendent	cua de revisió per cobertura escassa; ASR no confirmat
9	santuari	territorial	1	pa-009	322.000-327.000	clips-formes-escasses/santuari__pa-009__1.wav	Sent aquests, els més antics, les dues campanes del antic santuari de Melitxei,	8798ff01e17a9794fae79193a80e2774c446d806057d940d19d8930e07f56a72	pendent	cua de revisió per cobertura escassa; ASR no confirmat
10	veguer	territorial	1	pa-001	216.960-220.400	clips-formes-escasses/veguer__pa-001__1.wav	Hi havia una part que a mi em va manifestar el veguer francès	33bbdb87e337b26832aeefd7258c8dd7a4b2dac311ff4aadcbcc5a696d68217b	pendent	cua de revisió per cobertura escassa; ASR no confirmat
