segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
2	16.240	19.280	indeterminat	baixa	no hi ha senyal textual suficient	Fa un mes i mig sentíem per primera vegada noms com el de Gerard,	heurística textual; pendent d'audició
3	19.360	21.360	indeterminat	baixa	no hi ha senyal textual suficient	la Monique, l'Oliver o la Clara,	heurística textual; pendent d'audició
4	21.440	23.440	indeterminat	baixa	no hi ha senyal textual suficient	i ara ja formen part de les nostres vides.	heurística textual; pendent d'audició
5	23.520	26.880	indeterminat	baixa	no hi ha senyal textual suficient	Tots ells són els concursants d'Euphoria, el talent show de TV3,	heurística textual; pendent d'audició
6	26.960	30.880	indeterminat	baixa	no hi ha senyal textual suficient	que busca a l'artista 360 aquest cop per quarta temporada.	heurística textual; pendent d'audició
7	30.960	33.120	indeterminat	baixa	no hi ha senyal textual suficient	I entre tots aquests noms, un d'especial,	heurística textual; pendent d'audició
8	33.200	35.400	indeterminat	baixa	no hi ha senyal textual suficient	que en aquest país ha ressonat és en Jan Moye,	heurística textual; pendent d'audició
9	35.480	38.640	indeterminat	baixa	no hi ha senyal textual suficient	el primer endurran a aconseguir un lloc entre els 16 participants.	heurística textual; pendent d'audició
10	56.960	60.560	indeterminat	baixa	no hi ha senyal textual suficient	# En llaners d'escaldes engordant, canten anglès,	heurística textual; pendent d'audició
11	60.640	62.640	indeterminat	baixa	no hi ha senyal textual suficient	en català i ara ho sentim amb francès,	heurística textual; pendent d'audició
12	62.720	65.280	indeterminat	baixa	no hi ha senyal textual suficient	va començar en un cor d'Andorra i fa classes de can a nens petits.	heurística textual; pendent d'audició
13	65.360	67.360	indeterminat	baixa	no hi ha senyal textual suficient	Ara estudia producció musical a Girona	heurística textual; pendent d'audició
14	67.440	69.440	indeterminat	baixa	no hi ha senyal textual suficient	i el passat divendres 13 de febrer,	heurística textual; pendent d'audició
15	69.520	72.040	indeterminat	baixa	no hi ha senyal textual suficient	en una gala plena de sorpreses, també d'imprevistos,	heurística textual; pendent d'audició
16	72.120	74.120	indeterminat	baixa	no hi ha senyal textual suficient	va ser l'artista eliminat.	heurística textual; pendent d'audició
17	74.200	76.200	indeterminat	baixa	no hi ha senyal textual suficient	El quart d'aquesta edició, avui el tenim a l'estudi,	heurística textual; pendent d'audició
18	76.280	78.280	indeterminat	baixa	no hi ha senyal textual suficient	aconseguint-nos aquesta entrevista per primera vegada.	heurística textual; pendent d'audició
19	78.360	80.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ja en moia, benvingut. Hola, què tal?	heurística textual; pendent d'audició
20	80.960	83.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com estàs? Doncs molt bé, molt agraïda.	heurística textual; pendent d'audició
21	83.840	85.840	indeterminat	baixa	no hi ha senyal textual suficient	Podré tornar a casa i parlar amb vosaltres.	heurística textual; pendent d'audició
22	85.920	87.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	¿Com vas arribar aquí, a casa, en Dorre?	heurística textual; pendent d'audició
23	88.000	90.000	indeterminat	baixa	no hi ha senyal textual suficient	-Ai, a la nit. -Ai, a la nit, eh!	heurística textual; pendent d'audició
24	90.080	92.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Havies fet mai tants viatges a Barcelona, en Dorre?	heurística textual; pendent d'audició
25	92.840	94.840	indeterminat	baixa	no hi ha senyal textual suficient	Doncs mira, de fet, no n'estic fent tants,	heurística textual; pendent d'audició
