model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	per tant	5	42.280	48.640	0.4449	per tant, no demà, sinó el següent, a la Universitat Catalana d'Estiu.	candidat ASR; pendent d'audició
small	discurs	vull dir	9	60.840	64.240	0.3684	Tenim un quart d'hora, vull dir que no és molt temps, però intentem una mica...	candidat ASR; pendent d'audició
small	discurs	no?	10	64.240	70.240	0.3413	Després hi ha moltes potències, jo crec que al final la gent tindrà una idea molt clara de com som, no?	candidat ASR; pendent d'audició
small	discurs	bueno	12	75.240	81.120	0.1971	Sí. Bueno, jo crec que i precisament quan la sociologia,	candidat ASR; pendent d'audició
small	discurs	perquè	15	87.000	92.200	0.1860	Vull dir, són els factors per quals, perquè sí, hi ha persones que tenen...	candidat ASR; pendent d'audició
small	discurs	vull dir	15	87.000	92.200	0.1860	Vull dir, són els factors per quals, perquè sí, hi ha persones que tenen...	candidat ASR; pendent d'audició
small	discurs	doncs	16	92.280	97.240	0.2818	Doncs està en una situació diferent dins de la estructura social, no?	candidat ASR; pendent d'audició
small	discurs	no?	16	92.280	97.240	0.2818	Doncs està en una situació diferent dins de la estructura social, no?	candidat ASR; pendent d'audició
small	discurs	no?	17	97.320	103.040	0.4542	Ja poden ser factors que són endogàmics per com som, no?	candidat ASR; pendent d'audició
small	discurs	bueno	22	121.760	126.440	0.4096	Bueno, hi ha una de les més importants seria aquest, la part socioeconòmica.	candidat ASR; pendent d'audició
small	discurs	no?	23	126.520	128.040	0.4375	I després es barreja, no?	candidat ASR; pendent d'audició
small	discurs	bé	30	154.520	160.200	0.1900	Endorra ha tingut un model que en aquest sentit realment ha funcionat bé,	candidat ASR; pendent d'audició
small	discurs	bé	32	165.920	172.040	0.1590	doncs la censor social ha funcionat relativament bé i això ha atenuat, són petits,	candidat ASR; pendent d'audició
small	discurs	doncs	32	165.920	172.040	0.1590	doncs la censor social ha funcionat relativament bé i això ha atenuat, són petits,	candidat ASR; pendent d'audició
small	discurs	perquè	35	182.480	186.560	0.3350	perquè al final és el contrari, que ara per exemple necessita gent,	candidat ASR; pendent d'audició
small	discurs	no?	37	190.760	194.520	0.2725	Vull dir que hi ha uns factors que relativitzen, però existeixen, no?	candidat ASR; pendent d'audició
small	discurs	vull dir	37	190.760	194.520	0.2725	Vull dir que hi ha uns factors que relativitzen, però existeixen, no?	candidat ASR; pendent d'audició
small	discurs	perquè	39	199.280	202.840	0.4650	hem d'estendre la mà als nou vinguts perquè s'integrin	candidat ASR; pendent d'audició
small	discurs	clar	41	205.880	208.520	0.6759	Sí, clar, aquí és el...	candidat ASR; pendent d'audició
small	discurs	vull dir	43	211.800	215.400	0.2145	Vull dir que en Dorre ja és un país diferent,	candidat ASR; pendent d'audició
small	discurs	vull dir	46	223.480	227.480	0.1901	Vull dir, som una societat cosmopolita, hem de ser oberts,	candidat ASR; pendent d'audició
small	discurs	perquè	47	227.480	230.480	0.5011	perquè a part ens venen 8 o 9 milions de turistes.	candidat ASR; pendent d'audició
small	discurs	vull dir	48	230.480	234.480	0.3866	Vull dir que és una societat que, a més, tenim un estil de vida molt...	candidat ASR; pendent d'audició
small	discurs	no?	49	234.480	239.480	0.2265	quasi urbà, no? Més urbà que per per els hàbits que tenim.	candidat ASR; pendent d'audició
small	discurs	llavors	50	239.480	243.480	0.2262	Vull dir que llavors el... I amb la primera edat que tenim,	candidat ASR; pendent d'audició
small	discurs	vull dir	50	239.480	243.480	0.2262	Vull dir que llavors el... I amb la primera edat que tenim,	candidat ASR; pendent d'audició
small	discurs	perquè	52	249.160	256.240	0.0453	perquè al enviar-se a la població, simplement per reemplar les persones que s'han de jubilar,	candidat ASR; pendent d'audició
small	discurs	doncs	53	256.240	261.240	0.4113	doncs no tenim suficients fills, no? No tenim.	candidat ASR; pendent d'audició
small	discurs	no?	53	256.240	261.240	0.4113	doncs no tenim suficients fills, no? No tenim.	candidat ASR; pendent d'audició
small	discurs	clar	55	265.200	270.200	0.1038	Vull dir que és un procés irreversible. És clar, això, com passa també a altres ciutats europeus,	candidat ASR; pendent d'audició
small	discurs	vull dir	55	265.200	270.200	0.1038	Vull dir que és un procés irreversible. És clar, això, com passa també a altres ciutats europeus,	candidat ASR; pendent d'audició
small	discurs	clar	58	289.200	296.200	0.4164	Sí, sí, clar, quan parlem de desigualtat són molts factors, llavors el gènere és un dels factors.	candidat ASR; pendent d'audició
small	discurs	llavors	58	289.200	296.200	0.4164	Sí, sí, clar, quan parlem de desigualtat són molts factors, llavors el gènere és un dels factors.	candidat ASR; pendent d'audició
small	discurs	vull dir	60	303.200	306.200	0.3443	Vull dir que el gènere és important, però no és el mateix.	candidat ASR; pendent d'audició
small	discurs	doncs	61	306.200	318.200	0.2361	Doncs una senyora anantolla que està treballant de cuidadora o de netejar no que sigui, que en major part són dones.	candidat ASR; pendent d'audició
small	discurs	vull dir	62	318.200	324.200	0.3050	Vull dir que això és una desigualtat que no una persona que treballa a l'administració, que té un carrer cal i que és una dona.	candidat ASR; pendent d'audició
small	discurs	vull dir	63	324.200	328.680	0.0442	Vull dir que, realment, hi ha altres factors que determinen també.	candidat ASR; pendent d'audició
small	discurs	bueno	67	336.680	339.800	0.2503	Bueno, el sostre de vidre és un tema molt, molt interessant,	candidat ASR; pendent d'audició
small	discurs	perquè	68	339.800	342.680	0.6096	perquè en societats que, en principi,	candidat ASR; pendent d'audició
small	discurs	doncs	70	346.680	350.920	0.2629	com al nord europei i tal, doncs encarar el continuant tenint.	candidat ASR; pendent d'audició
small	discurs	clar	76	379.880	386.320	0.1048	doncs no tenen, o sigui, clar, els homes es poden dedicar a fer més hores,	candidat ASR; pendent d'audició
small	discurs	doncs	76	379.880	386.320	0.1048	doncs no tenen, o sigui, clar, els homes es poden dedicar a fer més hores,	candidat ASR; pendent d'audició
small	discurs	o sigui	76	379.880	386.320	0.1048	doncs no tenen, o sigui, clar, els homes es poden dedicar a fer més hores,	candidat ASR; pendent d'audició
small	discurs	no?	77	386.320	389.120	0.4179	el que sigui, al final això condiciona molt, no?	candidat ASR; pendent d'audició
small	discurs	clar	78	389.120	393.240	0.1559	Clar, la solució ha de passar per això, perquè tant els homes com les dones,	candidat ASR; pendent d'audició
small	discurs	perquè	78	389.120	393.240	0.1559	Clar, la solució ha de passar per això, perquè tant els homes com les dones,	candidat ASR; pendent d'audició
small	discurs	doncs	79	393.240	398.840	0.2235	doncs dediquem el mateix temps a la cura dels tres fills, no?	candidat ASR; pendent d'audició
small	discurs	no?	79	393.240	398.840	0.2235	doncs dediquem el mateix temps a la cura dels tres fills, no?	candidat ASR; pendent d'audició
small	discurs	bueno	81	403.960	414.920	0.1151	Sí, sí, sí, al final també és la, bueno, el monument feminista és una gran revolució que hem tingut.	candidat ASR; pendent d'audició
small	discurs	bé	82	414.920	422.280	0.3577	I el monument feminista ha passat i que està molt bé amb el fet que les dones podien fer les mateixes coses que els som a més.	candidat ASR; pendent d'audició
small	discurs	no?	83	422.280	426.920	0.2068	Però en el procés ara inversa, no? De les coses tradicionals que feien.	candidat ASR; pendent d'audició
small	discurs	o sigui	84	426.920	435.520	0.1641	O sigui, la paraquesta de cura en un sistema, que tot el que ens paga no es valora.	candidat ASR; pendent d'audició
small	discurs	vull dir	85	435.520	438.760	0.0390	Vull dir, nosaltres amb ella no hem assumit aquesta banda,	candidat ASR; pendent d'audició
small	discurs	bueno	87	441.720	446.000	0.3231	Bueno, això és el dilema.	candidat ASR; pendent d'audició
small	discurs	clar	88	446.000	449.240	0.2605	Clar, llavors dius que els homes no ho volen fer, no, és més complexe.	candidat ASR; pendent d'audició
small	discurs	llavors	88	446.000	449.240	0.2605	Clar, llavors dius que els homes no ho volen fer, no, és més complexe.	candidat ASR; pendent d'audició
small	discurs	vull dir	89	449.240	451.880	0.4796	Vull dir que també el sistema també no dificulta.	candidat ASR; pendent d'audició
small	discurs	vull dir	90	451.880	456.400	0.2104	Dificulta, vull dir que segurament cada cop ja en més països	candidat ASR; pendent d'audició
small	discurs	clar	97	476.440	479.480	0.3398	Clar. No, no, és que la solució no és que diguis...	candidat ASR; pendent d'audició
small	discurs	bé	99	485.200	489.120	0.0816	I està molt bé que sigui tradicionalment que hi hagi les dones	candidat ASR; pendent d'audició
small	discurs	vull dir	106	520.520	528.200	0.3461	Tinc la sensació, això és collita pròpia, de que ho tenim tots plegats i tots plegats, vull dir, homes i dones, molt interioritzats.	candidat ASR; pendent d'audició
small	discurs	no?	107	528.200	536.840	0.1053	-Sí. -Jo he conegut dones que no et donen ni peu, no? No, no, això m'encarrego jo, no?	candidat ASR; pendent d'audició
small	discurs	bueno	108	536.840	542.000	0.0776	Bueno, perquè és perquè ja és clar, això ja ve de la costum, no?	candidat ASR; pendent d'audició
small	discurs	clar	108	536.840	542.000	0.0776	Bueno, perquè és perquè ja és clar, això ja ve de la costum, no?	candidat ASR; pendent d'audició
small	discurs	no?	108	536.840	542.000	0.0776	Bueno, perquè és perquè ja és clar, això ja ve de la costum, no?	candidat ASR; pendent d'audició
small	discurs	perquè	108	536.840	542.000	0.0776	Bueno, perquè és perquè ja és clar, això ja ve de la costum, no?	candidat ASR; pendent d'audició
small	discurs	o sigui	109	542.360	549.600	0.2930	I ja veig, o sigui, el fet d'aquesta vegada, o sigui, el que es tracta és que es valori aquesta feina.	candidat ASR; pendent d'audició
small	discurs	no?	110	549.600	557.840	0.1584	És com si tens un fill i una filla i abans la filla és la que es cuidava de la que ajudava la mare, que això està fatal, no?	candidat ASR; pendent d'audició
