forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	17	13	sí	small	-A nivell de batxillerat. -A nivell de batxillerat.	A nivell de xillerat.	0.2762	0.8233	0.0449	0.4888	lead-rtva-025__01__a-nivell.wav	458920	461080	ASR textual; atribució i audició pendents
a veure	discurs	30	27	sí	small	A veure ja la verga, gràcies per acompanyar-nos avui	A veure, ja la ver, gràcies per acompanyar-nos avui i a memòria d'un país.	0.2198	0.8074	0.1495	0.7200	lead-rtva-025__02__a-veure.wav	47440	50440	ASR textual; atribució i audició pendents
aleshores	discurs	28	10	sí	small	I aleshores, miri si els nostres pares els haguessin assegurat	a la escola normal de Lleida, i aleshores,	0.0812	0.8008	0.2480	0.6549	lead-rtva-025__03__aleshores.wav	183720	188640	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	5	2	sí	small	Bueno, mira, penso que a nosaltres, a la meva joventut,	Bueno, hi havia de tot, perquè el tema de la construcció	0.2419	0.6884	0.2940	0.7858	lead-rtva-025__05__bueno.wav	224480	226760	ASR textual; atribució i audició pendents
bé	discurs	17	20	sí	small	I després, bé, quan el senyor Puig Uriol,	-Bé, tampoc hi ha una precisió exacta	0.6005	0.8933	0.1365	0.7829	lead-rtva-025__06__b.wav	300400	304640	ASR textual; atribució i audició pendents
clar	discurs	15	14	sí	small	Clar.	Clar, vostè, de tot manera, va anar a una escola.	0.7084	0.7108	0.1109	0.6723	lead-rtva-025__07__clar.wav	249680	251200	ASR textual; atribució i audició pendents
de fet	discurs	2	1	sí	small	De fet, vostès va casar amb la Palmyra, que també és de Cal.	De fet, vostè es va casar amb la pelmira que també és de Cal...	0.4018	0.7592	0.1924	0.6517	lead-rtva-025__08__de-fet.wav	106480	109640	ASR textual; atribució i audició pendents
diguem	discurs	3	3	sí	small	o això ha canviat no precisament cap a bé, diguem-ne.	o això ha canviat no precisament cap a bé, diguem-ne.	0.5126	0.8813	0.3069	0.7909	lead-rtva-025__09__diguem.wav	361200	367120	ASR textual; atribució i audició pendents
doncs	discurs	8	4	sí	small	doncs era la primera època, sí,	doncs se'n faci una idea de tota la seva trajectòria,	0.1813	0.7835	0.5997	0.8747	lead-rtva-025__10__doncs.wav	490320	492160	ASR textual; atribució i audició pendents
evidentment	discurs	3	3	sí	small	Evidentment.	Evidentment.	0.7745	0.9296	0.5443	0.8137	lead-rtva-025__11__evidentment.wav	161880	163000	ASR textual; atribució i audició pendents
llavors	discurs	2	4	sí	small	Llavors no cobraven res.	I, durant poqu i llavors, quan una telègida és clar,	0.4336	0.8699	0.0512	0.5418	lead-rtva-025__12__llavors.wav	926360	928880	ASR textual; atribució i audició pendents
no?	discurs	28	32	sí	small	però tampoc se n'anava massa dolgats, no?	Veu, la gent avui si reconeixen que ara amb això o no?	0.2774	0.7534	0.2441	0.7392	lead-rtva-025__13__no.wav	180800	183640	ASR textual; atribució i audició pendents
o sigui	discurs	33	31	sí	small	O sigui, no podem oblidar que sortíem de no ser una guerra mundial,	i per no, o sigui, els que vam viure aquesta època a l'important,	0.6520	0.9054	0.0437	0.5910	lead-rtva-025__14__o-sigui.wav	163120	167280	ASR textual; atribució i audició pendents
per tant	discurs	14	18	sí	small	S'ensenya poc, per tant, la història d'Andorra?	S'ensenya poc, per tant, la història d'endorn.	0.6445	0.9321	0.4517	0.8379	lead-rtva-025__15__per-tant.wav	438360	440640	ASR textual; atribució i audició pendents
perquè	discurs	51	57	sí	small	perquè els uns ho pronuncien d'una manera i els altres de una altra.	perquè els uns ho posen en una manera i els altres de una altra.	0.1472	0.7732	0.0226	0.6455	lead-rtva-025__16__perqu.wav	80080	83960	ASR textual; atribució i audició pendents
vull dir	discurs	9	0	no	small	Vull dir, el tema des de jardineria fins als orts,		0.3483	0.7873			lead-rtva-025__17__vull-dir.wav	237280	241560	ASR textual; atribució i audició pendents
és a dir	discurs	1	1	sí	small	És a dir, vostè, si avui li diguessin com tantes vegades li van dir	Aquesta enginya técnica gariula que tinga el davant és a dir vostè.	0.0229	0.7329	0.1290	0.5753	lead-rtva-025__18__s-a-dir.wav	2848720	2852760	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	2	3	sí	small	Teníem els dos grans quarts que eren d'Oro i Escaldes,	Tenim els dos grans quarts que rendorra i escaldes,	0.0693	0.6315	0.1184	0.6698	lead-rtva-025__20__escaldes.wav	569960	572840	ASR textual; atribució i audició pendents
Massana	territorial	4	2	sí	small	nascut al mas derriba feta de la Massana.	n'escuta el mas de ribafeta de la massana.	0.2848	0.7985	0.1828	0.7422	lead-rtva-025__21__massana.wav	19760	22360	ASR textual; atribució i audició pendents
Ordino	territorial	0	1	no	base		sobretot a la maçana i ordino.			0.1449	0.7105	lead-rtva-025__22__ordino.wav	562320	563800	ASR textual; atribució i audició pendents
Sant Julià	territorial	1	0	no	small	La parròquia de Sant Julià encara conserven el nom dels quarts,		0.2109	0.8068			lead-rtva-025__23__sant-juli.wav	575880	579480	ASR textual; atribució i audició pendents
aiguats	territorial	0	1	no	base		I el tema del gas, amb els aiguats al demassant hi vien centredem botellament i d'estocats i de gas.			0.0929	0.6447	lead-rtva-025__24__aiguats.wav	3196440	3202120	ASR textual; atribució i audició pendents
andorrana	territorial	1	1	sí	small	Realment, un coneixement de l'administració andorrana,	per l'Àfà, perquè hi ha d'haver autoritat pines i d'Andorrana,	0.4155	0.8753	0.0810	0.5489	lead-rtva-025__25__andorrana.wav	688280	692520	ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	1	1	sí	small	Totes les parts altes estaven reservades a les zones comunals.	perquè totes les parts altes estan reservades a les zones comunals.	0.3702	0.8328	0.2569	0.8144	lead-rtva-025__27__comunals.wav	541560	545160	ASR textual; atribució i audició pendents
comuns	territorial	1	1	sí	small	Els altres volen la desaparició dels comuns.	Els altres voldrà en la desaparició dels comuns.	0.5692	0.9068	0.5146	0.8775	lead-rtva-025__28__comuns.wav	1777720	1780240	ASR textual; atribució i audició pendents
comú	territorial	1	1	sí	small	començant pel cònsul menó i pràcticament tots els membres del comú,	començant pel console menor i, praticamente, tots els membres del comú,	0.2779	0.8080	0.2329	0.7214	lead-rtva-025__29__com.wav	1001000	1004960	ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	5	5	sí	small	que després van acabar amb separació de parròquia.	que després van acabar amb ser parecido de parròquia.	0.3840	0.8048	0.1954	0.7084	lead-rtva-025__33__parr-quia.wav	572960	575760	ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
educació	societat	3	2	sí	small	perquè depenia directament del Ministeri d'Educació Espanyola,	Té més de sanitat, té més educació.	0.3624	0.8400	0.2534	0.7258	lead-rtva-025__36__educaci.wav	284160	287320	ASR textual; atribució i audició pendents
escola	societat	3	2	sí	small	Vostè, de tota manera, va anar a una escola,	Clar, vostè, de tot manera, va anar a una escola.	0.3629	0.8198	0.1109	0.6723	lead-rtva-025__37__escola.wav	251320	254240	ASR textual; atribució i audició pendents
ensenyament	societat	1	1	sí	small	Vostè creu que l'ensenyament d'avui, no?	-I que creu que ara l'ensenyament d'avui, no?	0.3062	0.8211	0.0754	0.6727	lead-rtva-025__38__ensenyament.wav	355280	358520	ASR textual; atribució i audició pendents
alumne	societat	0	0	no											ASR textual; atribució i audició pendents
professor	societat	0	0	no											ASR textual; atribució i audició pendents
història	memòria	8	6	sí	small	i la història d'en Dorre no la coneixen,	i la història d'endorra no la coneixen.	0.5387	0.9157	0.2280	0.8566	lead-rtva-025__41__hist-ria.wav	386000	388000	ASR textual; atribució i audició pendents
cultura	cultura	0	0	no											ASR textual; atribució i audició pendents
museu	cultura	0	0	no											ASR textual; atribució i audició pendents
patrimoni	cultura	0	0	no											ASR textual; atribució i audició pendents
poble	societat	6	6	sí	small	dels ciutadans d'aquell poble.	d'aquí poble,	0.5000	0.9187	0.1408	0.6611	lead-rtva-025__45__poble.wav	539400	541440	ASR textual; atribució i audició pendents
família	societat	2	3	sí	small	I què li va dir la família? Que es complicava la vida o el van animar?	La família de Jimmy Stapp, tot és pràcticament de Rinsal,	0.1540	0.8625	0.0219	0.4116	lead-rtva-025__46__fam-lia.wav	1325680	1329400	ASR textual; atribució i audició pendents
Andorra	toponim	28	1	sí	small	amb temes d'història d'Andorra.	O sigui, el creixement d'Andorra	0.5869	0.8928	0.2547	0.8194	lead-rtva-025__47__andorra.wav	396440	398560	ASR textual; atribució i audició pendents
joventut	societat	3	0	no	small	Bueno, mira, penso que a nosaltres, a la meva joventut,		0.2419	0.6884			lead-rtva-025__48__joventut.wav	224480	226760	ASR textual; atribució i audició pendents
esports	esport	0	0	no											ASR textual; atribució i audició pendents
biblioteca	cultura	0	0	no											ASR textual; atribució i audició pendents
arxiu	cultura	0	0	no											ASR textual; atribució i audició pendents
federació	esport	0	0	no											ASR textual; atribució i audició pendents
ministres	institucions	0	0	no											ASR textual; atribució i audició pendents
Govern	institucions	10	8	sí	small	Un membre del govern, per exemple.	Un membre de govern, per exemple.	0.6493	0.9087	0.3352	0.7545	lead-rtva-025__54__govern.wav	818680	820680	ASR textual; atribució i audició pendents
conseller	institucions	6	4	sí	small	i després com a conseller general, fins a arribar a Síndic General.	i després, com a conseller General, fins arribar a síndig general.	0.2692	0.8106	0.1903	0.7698	lead-rtva-025__55__conseller.wav	33960	38400	ASR textual; atribució i audició pendents
consell	institucions	10	7	sí	small	Va ser responsable del servei d'agricultura del Consell General,	Va ser responsable del servei de agricultura del consell general,	0.6305	0.9177	0.2974	0.8306	lead-rtva-025__56__consell.wav	22440	26440	ASR textual; atribució i audició pendents
futbol	esport	0	0	no											ASR textual; atribució i audició pendents
bàsquet	esport	0	0	no											ASR textual; atribució i audició pendents
pavelló	esport	0	0	no											ASR textual; atribució i audició pendents
pavelló Toni Martí	esport	0	0	no											ASR textual; atribució i audició pendents
Comitè Olímpic	esport	0	0	no											ASR textual; atribució i audició pendents
Comú d’Andorra la Vella	institucions	0	0	no											ASR textual; atribució i audició pendents
Andorra la Vella	toponim	0	0	no											ASR textual; atribució i audició pendents
La Massana	toponim	4	2	sí	small	nascut al mas derriba feta de la Massana.	n'escuta el mas de ribafeta de la massana.	0.2848	0.7985	0.1828	0.7422	lead-rtva-025__64__la-massana.wav	19760	22360	ASR textual; atribució i audició pendents
Santa Coloma	toponim	0	0	no											ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
andorrans	gentilici	1	0	no	small	Clar, però en canvi, alguns bancs d'Andorrans...		0.2467	0.7895			lead-rtva-025__67__andorrans.wav	2276960	2279480	ASR textual; atribució i audició pendents
projecte	institucions	0	0	no											ASR textual; atribució i audició pendents
concessió	institucions	0	0	no											ASR textual; atribució i audició pendents
estadi	esport	0	0	no											ASR textual; atribució i audició pendents
esdeveniment	cultura	0	0	no											ASR textual; atribució i audició pendents
premis	cultura	0	0	no											ASR textual; atribució i audició pendents
Toni Martí	memòria	0	0	no											ASR textual; atribució i audició pendents
jocs	esport	0	0	no											ASR textual; atribució i audició pendents
festa	cultura	0	0	no											ASR textual; atribució i audició pendents
equip	esport	2	2	sí	small	Bé, era un equip molt jove,	Bé, era un equip molt jove, tot,	0.5691	0.9147	0.2265	0.7580	lead-rtva-025__76__equip.wav	998360	1000920	ASR textual; atribució i audició pendents
català	sociolingüística	1	3	sí	small	i de l'endemà a l'Òrnaven català,	i vostè, per tant, n'ha de català que diuen els consellers.	0.0110	0.3479	0.2047	0.7973	lead-rtva-025__77__catal.wav	1943360	1946440	ASR textual; atribució i audició pendents
francès	contacte	5	0	no	small	i, bàsicament, del copríncipe francès,		0.5114	0.9126			lead-rtva-025__78__franc-s.wav	1644960	1646720	ASR textual; atribució i audició pendents
castellà	contacte	0	0	no											ASR textual; atribució i audició pendents
hipermotion	esport	0	0	no											ASR textual; atribució i audició pendents
lliga	esport	0	0	no											ASR textual; atribució i audició pendents
comissió legislativa	institucions	0	0	no											ASR textual; atribució i audició pendents
