forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	9	13	sí	small	Aleshores, a nivell de sector, és a dir, sectors i geografia.	i per sectors temàtics. O és a nivell de sector...	0.1285	0.7932	0.4309	0.9397	lead-yt-035__01__a-nivell.wav	410320	415840	ASR textual; atribució i audició pendents
a veure	discurs	1	0	no	small	hi ha unes torres que t'impedeixen a veure la muntanya,		0.5966	0.9196			lead-yt-035__02__a-veure.wav	859920	863880	ASR textual; atribució i audició pendents
aleshores	discurs	21	6	sí	small	Aleshores, com a trajectòria, completament imprevista.	Aleshores, en vaig integrar el comú d'escol desengordant,	0.1892	0.7649	0.1262	0.5810	lead-yt-035__03__aleshores.wav	366640	370480	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	2	1	sí	small	Bueno, sortim de la Unió Europea, però ens mantenim amb el mercat comú i la gent d'allà.	que ja havia... Bueno, sortim de Unió Europea però ens mantenim amb el mercat comú i la gent de Llagón.	0.3523	0.8341	0.0970	0.6544	lead-yt-035__05__bueno.wav	2425360	2428320	ASR textual; atribució i audició pendents
bé	discurs	7	12	sí	small	I bé, m'agradaria començar a parlar una mica de tu	I bé, m'agradaria començar...	0.4926	0.9500	0.4310	0.8652	lead-yt-035__06__b.wav	89560	93600	ASR textual; atribució i audició pendents
clar	discurs	3	0	no	small	No teníem exacte tot clar com devíem de constituir,		0.3782	0.7380			lead-yt-035__07__clar.wav	935120	937600	ASR textual; atribució i audició pendents
de fet	discurs	4	3	sí	small	Això és superinteressant i com ve apuntaves, de fet, la meva pròpia pregunta anava això, no?	No, és interessant això que puntes, perquè de fet, agafant-li també una perspectiva més global,	0.3815	0.7865	0.1602	0.7543	lead-yt-035__08__de-fet.wav	684560	690360	ASR textual; atribució i audició pendents
diguem	discurs	0	0	no											ASR textual; atribució i audició pendents
doncs	discurs	23	48	sí	small	Doncs gràcies per tenir-me amb tu, Miquel,	és un país així, doncs, relativament, de minjar en petit,	0.2804	0.8369	0.3050	0.6652	lead-yt-035__10__doncs.wav	115960	118880	ASR textual; atribució i audició pendents
evidentment	discurs	4	5	sí	small	que evidentment aquests tenen més competències.	Però evidentment, aquestes noves estan fetes en decisions polítiques.	0.5030	0.9585	0.2858	0.7644	lead-yt-035__11__evidentment.wav	1564200	1570200	ASR textual; atribució i audició pendents
