candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-057-gabriel-lezkano	a veure	clips/lead-yt-047__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	aviam	clips/lead-yt-047__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	bueno	clips/lead-yt-047__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	bé	clips/lead-yt-047__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	clar	clips/lead-yt-047__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	doncs	clips/lead-yt-047__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	evidentment	clips/lead-yt-047__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	llavors	clips/lead-yt-047__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	no?	clips/lead-yt-047__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	o sigui	clips/lead-yt-047__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	per tant	clips/lead-yt-047__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	perquè	clips/lead-yt-047__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	és a dir	clips/lead-yt-047__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	Gabriel	clips/lead-yt-047__36__gabriel.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	músic	clips/lead-yt-047__37__m-sic.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	música	clips/lead-yt-047__38__m-sica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	cor	clips/lead-yt-047__39__cor.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	Galícia	clips/lead-yt-047__42__gal-cia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	gallec	clips/lead-yt-047__43__gallec.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	Barcelona	clips/lead-yt-047__44__barcelona.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	Suècia	clips/lead-yt-047__45__su-cia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	Andorra	clips/lead-yt-047__46__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	cultura	clips/lead-yt-047__48__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	lleure	clips/lead-yt-047__49__lleure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-057-gabriel-lezkano	oportunitat	clips/lead-yt-047__52__oportunitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
