categoria	forma	id_persona	ocurrencia	snippet	font	estat
discurs	a nivell	pa-001	1	és el mateix estar sobre la parada dels coprínciers, que d'un que tampoc sabem què xerar, i a nivell de representació internacional no ens hem d'enganyar al ves de França, és molt important. No	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a nivell	pa-001	2	es consellers o els quatre consellers designaven que havia de ser el substitut. I aleshores, a nivell de la maçana, a part que ho fes als consellers, jo vaig demanar que fes una reunió, no diré	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a nivell	pa-001	3	eshores em torno a trobar sentat a la cadira com a conseller i com a membre del constituent. A nivell de la maçana, pràcticament, diré que fèiem una reunió després de cada comissió tripartida, p	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a veure	pa-001	1	ls interessats va ser... a qui es va preocupar de filtrar-ho per fer una mica més depressió. A veure, jo penso que és un moment molt delicat, molt important, i a vegades, amb aquests pactes polí	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a veure	pa-001	2	.. Aleshores, cap d'endorra hi feu la Constitució, i, aleshores, aquella gent... de frente. A veure, tampoc l'hi sé de dimarts de citó, probablement tenen aquells checks del judici aquell, que	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	a veure	pa-001	3	autonomia, i ens podem equivocar, evidentment, però no reben cap classe de pregió política. A veure, quan has viscut el procés constituïent des del primer dia, hi ha certs moments que, quan el	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	aleshores	pa-001	1	marxes forçades, i el que eren institucions vàlides en aquell moment ja eren qüestionades. Aleshores, el que es tractava d'adaptar-ho a les circumstàncies el millor possible, no? I això ja come	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	aleshores	pa-001	2	s recursos en queixó, que ho podia fer tombar tot i modificar tot, no era massa benvinguda. Aleshores, el que es tractava de anar allimant tota una sèrie de coses. Perquè, per exemple, al moment	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	aleshores	pa-001	3	, és molt important. No és que el de la mitja no ho sigui, però és que l'altre ho és més. I, aleshores, tot això, amb la intenció de mantenir els coprínciers, que això ja està, jo penso que d'aquí	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	bueno	pa-001	1	"quemado los barcos de retorno"". ""Esto no tiene marcha atrás"". I aleshores, a partir d'aquí, bueno, van anar sortint els problemes del dia a dia, van anar sortint tota una sèrie de temes, però"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	bueno	pa-001	2	enllestit, i aquell esborrany un dia van pujar a Barcelona, i la demà sortia de la premsa. Bueno, a mi que es publiquen, com així, tampoc... A mi em va sàpiga greu amb el sentit que les rep	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	bé	pa-001	1	egar així. Canvis, sí, però continuïtat, són d'aquestes frases que tampoc entens massa, no? Bé, o sigui, això va anar evolucionant el que era la memòria i la reforma de les institucions j	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	bé	pa-001	2	edat... Finalment, tot això es va anar fent evolucionar i crec que finalment va acabar força bé. Però el part del servei del coprínciers frances de manera molt discreta, no com d'altres ha	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	bé	pa-001	3	"a lligar i no és fàcil. I aleshores, després d'emorrar tot el telèfon, la meva resposta és ""bé, deixa'm eu consultar amb el coixí i em tornes a trucar de mà i em parlarem"". Sí, sí, però é"	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	clar	pa-001	1	eu càrrec de coprínciers. Això, naturalment, amb alguns, encendre totes les alarmes. Perquè, clar, no és el mateix estar sobre la parada dels coprínciers, que d'un que tampoc sabem què xerar,	transcripcions/pa-001.txt	ASR; pendent d'audicio
discurs	clar	pa-001	2	c, que no havia passat mal i ens agafa a tots a contrapeu, totalment, i a mi el primer, però clar, el consell estava disolts, era dir-ho que el consell es subirà, hi havia la decisió presa,	transcripcions/pa-001.txt	ASR; pendent d'audicio
