model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	doncs	2	11.200	13.200	0.0000	Vinga, doncs ja hi som posats.	candidat ASR; pendent d'audició
small	discurs	doncs	6	19.520	21.520	0.0000	-Doncs sí, hola, bona tarda. -Com estàs?	candidat ASR; pendent d'audició
small	discurs	bé	7	21.600	23.600	0.0000	Molt bé, vosaltres.	candidat ASR; pendent d'audició
small	discurs	doncs	10	29.640	31.640	0.0000	-Tens fia cap escaldes? -Doncs no, no.	candidat ASR; pendent d'audició
small	territorial	Escaldes	10	29.640	31.640	0.0000	-Tens fia cap escaldes? -Doncs no, no.	candidat ASR; pendent d'audició
small	discurs	bé	11	31.720	33.720	0.0000	-Com estàs? -Molt bé, gràcies a vosaltres.	candidat ASR; pendent d'audició
small	discurs	bé	12	33.800	36.280	0.0000	Bé, contents, allò que tornes de vacances.	candidat ASR; pendent d'audició
small	discurs	clar	15	40.920	42.920	0.0000	Però t'arriben. Algun dia, sí, clar.	candidat ASR; pendent d'audició
small	discurs	clar	19	49.240	51.240	0.0000	Clar, el Julió diu moltes coses.	candidat ASR; pendent d'audició
small	discurs	a veure	21	53.400	57.400	0.0000	Ara em deies, Mireia, a veure, festa major, una cosa o una altra,	candidat ASR; pendent d'audició
small	discurs	bueno	22	57.480	59.800	0.0000	què està present? Sí, bueno, evidentment...	candidat ASR; pendent d'audició
small	discurs	evidentment	22	57.480	59.800	0.0000	què està present? Sí, bueno, evidentment...	candidat ASR; pendent d'audició
small	discurs	evidentment	24	61.960	63.960	0.0000	Durant aquests darrers anys, evidentment,	candidat ASR; pendent d'audició
small	discurs	bé	30	75.960	79.800	0.0000	o, bé, l'estiu, amb temporada alta, tant Julió el com l'agost,	candidat ASR; pendent d'audició
small	discurs	perquè	38	103.000	105.000	0.0000	Perquè a vegades la gent pensa...	candidat ASR; pendent d'audició
small	discurs	bé	39	105.080	107.080	0.0000	"""No, té un càrrec polític i que bé que viu i tal."""	candidat ASR; pendent d'audició
small	discurs	evidentment	43	115.320	118.760	0.0000	Hem d'estar tot l'equip i fem un bon equip tots plegats, evidentment.	candidat ASR; pendent d'audició
small	discurs	bé	45	121.800	124.360	0.0000	Sí, però bé, és una feina que t'agrada.	candidat ASR; pendent d'audició
small	discurs	per tant	46	124.440	126.760	0.0000	Per tant, ho fas amb moltes ganes.	candidat ASR; pendent d'audició
small	discurs	doncs	49	131.080	134.200	0.0000	Doncs, escolta, que estic molt content que ens visitis avui.	candidat ASR; pendent d'audició
small	discurs	a veure	55	146.440	149.240	0.0000	Parlen una mica d'aquestes visites, a veure què podrà veure la gent.	candidat ASR; pendent d'audició
