id_persona	categoria	forma	index_token	context	estat
pa-001	pronom_en_candidat	en	12	el que eren institucions vàlides en aquell moment ja eren qüestionades	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_ho_candidat	ho	24	el que es tractava d'adaptar ho a les circumstàncies el millor	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va dir	72	de canvis i dillò ens va dir en paraules textuals la	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	74	i dillò ens va dir en paraules textuals la manca de	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	90	continuïté què vol dir no en tinc ni idea però ens	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	van gegar	97	ni idea però ens la van gegar així canvis sí però	candidat textual ASR; revisió auditiva pendent
pa-001	negacio_lexical_candidat	tampoc	108	continuïtat són d'aquestes frases que tampoc entens massa no bé o	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va anar	116	no bé o sigui això va anar evolucionant el que era	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	133	les institucions ja havia quedat en certa manera també desfasada perquè	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	144	el que no es veia en bons ulls a un alt	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	175	la famosa figura dels recursos en queixó que ho podia fer	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_ho_candidat	ho	178	dels recursos en queixó que ho podia fer tombar tot i	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_hi_candidat	hi	209	per exemple al moment donat hi havia una teoria de que	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va anar	236	quedat finalment tot això es va anar fent evolucionar i crec	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va acabar	244	evolucionar i crec que finalment va acabar força bé però el	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	van fer	265	no com d'altres han fet van fer més endavant a bomba	candidat textual ASR; revisió auditiva pendent
pa-001	possessius_candidat	seva	296	la manera de legalitzar la seva situació es veu obligat a	candidat textual ASR; revisió auditiva pendent
pa-001	possessius_candidat	seu	304	veu obligat a renunciar al seu càrrec de coprínciers això naturalment	candidat textual ASR; revisió auditiva pendent
pa-001	negacio_lexical_candidat	tampoc	331	dels coprínciers que d'un que tampoc sabem què xerar i a	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_ho_candidat	ho	360	el de la mitja no ho sigui però és que l'altre	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_ho_candidat	ho	366	sigui però és que l'altre ho és més i aleshores tot	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_hi_candidat	hi	395	ja estàvem tots interessats establir hi aquest principi de democràcia parlamentària	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va veure	443	d'aquí jo penso que tothom va veure que això havia d'anar	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_hi_candidat	hi	454	per aquí o sigui que hi havia gent reàcia segurament i	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_hi_candidat	hi	475	el que anava a estar hi en joc era el futur	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_en_candidat	en	476	que anava a estar hi en joc era el futur del	candidat textual ASR; revisió auditiva pendent
pa-001	pronom_hi_candidat	hi	489	penso el tema constitucional no hi va haver cap problema durant	candidat textual ASR; revisió auditiva pendent
pa-001	perifrasi_past_candidata	va haver	490	el tema constitucional no hi va haver cap problema durant la	candidat textual ASR; revisió auditiva pendent
pa-001	possessius_candidat	nostres	504	inclús recorda que un dels nostres assessors després de la primera	candidat textual ASR; revisió auditiva pendent
