ordre	id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
1	pa-001	bé	clips/pa-001__b__49.17.wav	no	sí	no	C-un-model	i això va anar evolucionant el que era...	Bé, això van a evolucionar el que era...	i que es va fer a la resta de la gent.
2	pa-002	bé	clips/pa-002__b__348.25.wav	sí	sí	sí	A-tres-models	que ha signat el canvi.  Ara, el que ens dividiria bé,  òbviament, era el control de govern.	de tot canvi. Ara, el que ets llibre, el cop i a mena, era el control de cobert.	que ha sigut el canvi.  Ara el que ens dividiria bé, òbviament, era el control de govern.
3	pa-003	bé	clips/pa-003__b__0.00.wav	sí	no	sí	B-dos-models	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.	Bé, jo crec que de fet ens hem de situar en el context dels anys 80
4	pa-004	bé	clips/pa-004__b__319.61.wav	sí	sí	sí	A-tres-models	més o menys està bé allà i després...	Més o menys està bé allà, i després...	més o menys està bé allà i després...
5	pa-005	bé	clips/pa-005__b__51.09.wav	sí	sí	sí	A-tres-models	Si us sembla bé, farem un viatge en el temps, més precisament.	Si us sembla bé farem un viatge en el temps més precisament.	Si us sembla bé, farem un viatge en el temps més precisament.
6	pa-006	bé	clips/pa-006__b__151.25.wav	sí	no	sí	B-dos-models	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de les...
7	pa-007	bé	clips/pa-007__b__59.25.wav	sí	sí	sí	A-tres-models	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	Si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec.	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, proveu el grec!
8	pa-008	bé	clips/pa-008__b__61.25.wav	sí	no	no	C-un-model	En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.	En un pal, ja sigui de boix, ho vam veure amb una branca de mateix ves  i a l'avorar el que hem d'anar.	En un pal, ja sigui de boix o ve amb una branca del mateix ves  i elaborar el que hem de fer.
9	pa-009	bé	clips/pa-009__b__557.25.wav	sí	sí	sí	A-tres-models	i són campanes que sonen molt bé.	de corades i són campanes que sonen molt bé.	i són campanes que sonen molt bé.
10	pa-010	bé	clips/pa-010__b__24.65.wav	no	no	no	D-cap-model	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	d'una tipus mímia ruscusiólògics.  I doncs veia, vull com a coloració dins d'aquest ciclo  de cápsules d'història en termes de confinament.	d'un comínia ruscogeològics.  I doncs vei avui com a col·laboració dins d'aquest cicle de capsules d'història en temps de confinament.
11	pa-011	bé	clips/pa-011__b__185.57.wav	sí	sí	sí	A-tres-models	a l'exterior de la casa es va molt bé, doncs, a aquesta...	de la casa es va molt bé.	a l'exterior de la casa, o molt bé, a aquesta casa.
12	pa-012	bé	clips/pa-012__b__160.25.wav	sí	no	sí	B-dos-models	o bé algunes campanyes d'un campanar d'un poble.	o ve algunes campanets d'un campanat un poble.	o bé algunes campanes d'un campanat un poble.
13	pa-013	bé	clips/pa-013__b__196.65.wav	sí	sí	sí	A-tres-models	que em sofre i que va bé per la pell, pel sistema digestiu, i també té altres propietats.	que em sofre i que la ve per la pell, pel sistema digestiu, i també té altres propietats.	que em sofre i que va bé per la pell, pel sistema digestiu i també té altres propietats.  Propietats que...
14	pa-014	bé	clips/pa-014__b__165.65.wav	sí	sí	sí	A-tres-models	Bé, el resultat d'això va ser molt, molt bonic, perquè és a dir,  he conviscut amb gent, m'han explicat coses, m'han entrat,	Bé, el resultat de això va ser molt bonic, perquè és a dir com viscut amb gent m'han explicat coses, m'han errat i	Bé, el resultat d'això va ser molt bonic, perquè...  És a dir, he conviscut amb gent, m'han explicat coses,  m'han entrat i...
15	pa-015	bé	clips/pa-015__b__42.25.wav	sí	no	sí	B-dos-models	i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	B, hem de pensar que és una família prou rellevant en aquesta situació.	15. Bé, hem de pensar que és una família prou rellevant en aquest
16	pa-016	bé	clips/pa-016__b__170.05.wav	sí	no	sí	B-dos-models	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."
17	pa-017	bé	clips/pa-017__b__112.25.wav	no	no	no	D-cap-model	d'acord. A partir d'aquí va començar la paraula de missió, de missió, de missió.	d'acord, i a partir d'aquí va començar a veure la paraula  de missió, de missió, de missió,  i tot va ser.	i va començar a veure la paraula de missió, de missió, de missió.
18	pa-018	bé	clips/pa-018__b__210.65.wav	no	no	no	D-cap-model	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar,	dins de l'UCPA, quan es va formar.
19	pa-019	bé	clips/pa-019__b__195.25.wav	sí	sí	sí	A-tres-models	i buscàvem qui era la fórmula que ens encaixava més bé.	i buscàvem la fórmula que ens encaixava més bé.	i buscàvem qui era la fórmula que ens encaixava més bé.
20	pa-020	bé	clips/pa-020__b__146.37.wav	sí	sí	sí	A-tres-models	en aquell moment potser no eren ben bé del mateix equip.	En aquell moment potser no eren ben bé del mateix equip,  però...	i els consuls, en aquell moment, potser no eren ben bé del mateix equip,
21	pa-021	bé	clips/pa-021__b__257.61.wav	sí	sí	no	B-dos-models	És ben veritat que, com es diu,	És ben veritat que, com has diu, un error.	és ben veritat que, com es diu,
22	pa-022	bé	clips/pa-022__b__270.45.wav	sí	sí	no	B-dos-models	A part que ja feia anys que es venia empenyent amb el canvi i també...	que es venien en peñen amb el canvi i també.	i que no es poden fer per fer-ho.
23	pa-023	bé	clips/pa-023__b__409.37.wav	sí	sí	no	B-dos-models	i un bombé que prenia les mides.	i un bon bé que prenieix les mites i el debòns.	i un bomber que preni les mides.
24	pa-024	bé	clips/pa-024__b__175.29.wav	no	no	no	D-cap-model	A partir de l'anàlisi de l'antirrègim és molt greu.	d'alguns de l'antigraig i d'alguns de l'antigraig.	i per partits, diguéssim, de l'antirrègic,
25	pa-025	bé	clips/pa-025__b__1023.77.wav	no	no	no	D-cap-model	Tenia directe el que s'estava fent i com ho estàvem fent, perquè era molt clop.	que se estaven fent i com m'ho estàvem fent perquè m'ho clau.	Tenia directe el que s'estava fent i com ho estàvem fent, perquè era molt clau.
26	pa-026	bé	clips/pa-026__b__99.97.wav	sí	sí	no	B-dos-models	Va bé? Doncs aquí és el mateix.	Molt bé, perquè és l'omateix.	Vale? Doncs aquí és el mateix.
27	pa-027	bé	clips/pa-027__b__30.97.wav	no	sí	sí	B-dos-models	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	Com se n'està parlant de molt públic.  M'agradaria molt públic i va bé, vull dir-s'hi.	i ara la meva escritlla està parlant molt públic.  M'agradaria molt públic i va bé, bullíssim.
28	pa-028	bé	clips/pa-028__b__182.49.wav	sí	sí	no	B-dos-models	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	Continuem com estàvem que m'han estat molt bé fins ara.	i que no hi hagi una altra.
29	pa-029	bé	clips/pa-029__b__42.97.wav	no	no	no	D-cap-model	i això plenava molt sobre... sense que es digui...	i això plenava molt sobre les seves digues.	i això plenava molt sense que es digui.
30	pa-030	bé	clips/pa-030__b__436.45.wav	sí	no	no	C-un-model	a la llibertat de l'Estat o a la llibertat de l'Estat o a la llibertat de l'Estat.	No hi hagi una mena d'aquestes que podria haver-ho d'explicar.	per a la vida.
31	pa-031	bé	clips/pa-031__b__329.13.wav	no	no	no	D-cap-model	A la llarga, sí, no la veia, mala sort, però...	A la llarga sí, no la veia, amb la sort, però...	A la llarga, sí, no la veia, mala sort, però...
32	pa-032	bé	clips/pa-032__b__270.41.wav	sí	sí	no	B-dos-models	Aquí, aquí, els pasos perduts, el cas que aniva bé, un...	Aquí, aquí, aquí, els patos per duts, el cas que li va bé un...	Aquí, aquí, aquí, els pasos perduts, el cas d'eniva ve un...
