id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-001	spk-001	5	bé,clar,de fet,doncs,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-002	4	de fet,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-003	5	a veure,bé,clar,de fet,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-004	2	bé,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-005	7	a veure,bé,clar,doncs,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-006	5	bueno,bé,clar,doncs,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-007	7	a veure,bueno,bé,clar,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-008	6	a veure,bueno,de fet,doncs,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-009	5	bé,clar,de fet,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-010	4	a veure,bé,doncs,llavors	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-011	6	bueno,bé,de fet,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-014	4	a veure,bé,clar,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-015	4	clar,de fet,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-016	7	a veure,bueno,clar,doncs,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-017	6	a veure,bé,de fet,doncs,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-018	7	a veure,bé,clar,doncs,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-019	4	bé,de fet,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-020	3	bé,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-022	4	bé,clar,doncs,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-024	5	a veure,clar,de fet,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-025	3	bé,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-026	7	a veure,bé,clar,de fet,evidentment,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-027	2	bueno,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-028	6	a veure,bé,clar,doncs,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-029	3	de fet,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-030	3	bé,doncs,llavors	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-031	5	a veure,bueno,doncs,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-033	5	a veure,clar,de fet,doncs,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-034	2	doncs,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-035	4	clar,de fet,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-036	3	bé,doncs,llavors	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-037	6	bueno,bé,clar,doncs,llavors,perquè	candidat RTVA; consens ASR textual; pendent d’audició
lead-rtva-001	spk-038	6	a veure,bueno,bé,clar,evidentment,perquè	candidat RTVA; consens ASR textual; pendent d’audició
