candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-048-ander-mirambell	a nivell	clips/lead-yt-048__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	a veure	clips/lead-yt-048__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	bueno	clips/lead-yt-048__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	bé	clips/lead-yt-048__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	clar	clips/lead-yt-048__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	doncs	clips/lead-yt-048__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	llavors	clips/lead-yt-048__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	no?	clips/lead-yt-048__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	o sigui	clips/lead-yt-048__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	per tant	clips/lead-yt-048__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	perquè	clips/lead-yt-048__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	és a dir	clips/lead-yt-048__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	comú	clips/lead-yt-048__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	esport	clips/lead-yt-048__36__esport.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	esports	clips/lead-yt-048__37__esports.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	esportista	clips/lead-yt-048__38__esportista.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	atleta	clips/lead-yt-048__40__atleta.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	Jocs Olímpics	clips/lead-yt-048__41__jocs-ol-mpics.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	Jocs Paralímpics	clips/lead-yt-048__42__jocs-paral-mpics.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	medalla	clips/lead-yt-048__43__medalla.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	competició	clips/lead-yt-048__44__competici.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	entrenament	clips/lead-yt-048__45__entrenament.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	Andorra	clips/lead-yt-048__46__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	família	clips/lead-yt-048__49__fam-lia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	fundació	clips/lead-yt-048__50__fundaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	joves	clips/lead-yt-048__51__joves.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-048-ander-mirambell	neu	clips/lead-yt-048__52__neu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
