id_persona	segment	inici_s	final_s	token_baix	probabilitats_baixes	n_tokens_baixos	text_segment_asr	formes_cobertes	clips_coberts	llindar	estat
pa-001	2	5.000	7.280	a | mar | xes	0.3483 | 0.4822 | 0.5137	3	Andorra estava canviant a marxes forçades,			p < 0.55	pendent d'audició
pa-001	3	7.360	9.200	el | v	0.4070 | 0.4990	2	i el que eren institucions vàlides			p < 0.55	pendent d'audició
pa-001	6	12.960	16.360	el	0.3315	1	a les circumstàncies el millor possible, no?	aleshores	clips/pa-001__aleshores__10.13.wav	p < 0.55	pendent d'audició
pa-001	8	18.680	22.400	i | acaba | de	0.4618 | 0.5165 | 0.4989	3	i acaba amb la proposta del 78 de reforma de les institucions.			p < 0.55	pendent d'audició
pa-001	9	22.480	27.520	cop | G | sten | c	0.3246 | 0.5394 | 0.4133 | 0.4406	4	Recorda la visita del copríncep Giscard d'Estenc,			p < 0.55	pendent d'audició
pa-001	10	27.600	29.600	a	0.4885	1	i aquí, a la plaça del poble,			p < 0.55	pendent d'audició
pa-001	11	29.680	33.240	d	0.5418	1	quan tant es parlava de canvis i dillò,			p < 0.55	pendent d'audició
pa-001	12	33.320	36.440	en | la	0.5349 | 0.0789	2	ens va dir en paraules textuals la manca de gravades.			p < 0.55	pendent d'audició
pa-001	13	36.520	39.040	us | ore | l | e | ange | ment | de | continu | t	0.2041 | 0.1651 | 0.0790 | 0.3565 | 0.3007 | 0.4343 | 0.4627 | 0.4065 | 0.4168	9	"""Vusore l'eixangement de la continuïté""."			p < 0.55	pendent d'audició
pa-001	14	39.120	44.240	però | ens | la | van | geg	0.5246 | 0.4027 | 0.3573 | 0.2337 | 0.2771	5	Què vol dir? No en tinc ni idea, però ens la van gegar així.			p < 0.55	pendent d'audició
pa-001	17	49.920	53.600	o	0.2697	1	Bé, o sigui, això va anar evolucionant	bé;o sigui	clips/pa-001__b__49.17.wav;clips/pa-001__o-sigui__49.17.wav	p < 0.55	pendent d'audició
pa-001	18	53.680	56.920	i	0.2966	1	el que era la memòria i la reforma de les institucions	bé;o sigui	clips/pa-001__b__49.17.wav;clips/pa-001__o-sigui__49.17.wav	p < 0.55	pendent d'audició
pa-001	19	57.000	60.240	en | també	0.3353 | 0.4085	2	ja havia quedat en certa manera també desfasada,	perquè	clips/pa-001__perqu__59.57.wav	p < 0.55	pendent d'audició
pa-001	20	60.320	62.560	en	0.4436	1	perquè el que no es veia en bons ulls	perquè	clips/pa-001__perqu__59.57.wav	p < 0.55	pendent d'audició
pa-001	21	62.640	66.680	a | d | And | r	0.4472 | 0.3590 | 0.4248 | 0.4789	4	a un alt percentatge de la població d'Andorrana	perquè	clips/pa-001__perqu__59.57.wav	p < 0.55	pendent d'audició
pa-001	22	66.760	69.160	que | ci	0.4556 | 0.3664	2	és que els coprínciers tinguessin tots els poders,	de fet	clips/pa-001__de-fet__68.49.wav	p < 0.55	pendent d'audició
pa-001	24	71.320	74.680	recursos | ix | ó	0.5089 | 0.3592 | 0.4604	3	I la famosa figura dels recursos en queixó,	de fet	clips/pa-001__de-fet__68.49.wav	p < 0.55	pendent d'audició
pa-001	25	74.760	77.240	podia | fer | tomb	0.5068 | 0.1867 | 0.4642	3	que ho podia fer tombar tot i modificar tot,			p < 0.55	pendent d'audició
pa-001	27	79.240	82.560	A | de | anar	0.2644 | 0.3679 | 0.5347	3	Aleshores, el que es tractava de anar allimant			p < 0.55	pendent d'audició
pa-001	28	82.640	84.240	tota	0.4671	1	tota una sèrie de coses.			p < 0.55	pendent d'audició
pa-001	29	84.320	87.080	al	0.3490	1	Perquè, per exemple, al moment donat hi havia una teoria			p < 0.55	pendent d'audició
pa-001	30	87.160	90.000	de | d | un	0.4257 | 0.5500 | 0.4119	3	de que darrere un país molt petit			p < 0.55	pendent d'audició
pa-001	31	90.080	93.240	And | rans	0.2210 | 0.4454	2	i que la policia no podia quedar amb Andorrans,			p < 0.55	pendent d'audició
pa-001	32	93.320	94.640	havia	0.3005	1	que havia quedat...			p < 0.55	pendent d'audició
pa-001	33	94.720	98.000	Final	0.2709	1	Finalment, tot això es va anar fent evolucionar	crec	clips/pa-001__crec__97.33.wav	p < 0.55	pendent d'audició
pa-001	34	98.080	100.200	final	0.4785	1	i crec que finalment va acabar força bé.	crec	clips/pa-001__crec__97.33.wav	p < 0.55	pendent d'audició
pa-001	35	100.280	104.920	Però | el | del | ers | fr	0.4491 | 0.4525 | 0.4235 | 0.1804 | 0.3373	5	Però el part del servei del coprínciers frances	crec	clips/pa-001__crec__97.33.wav	p < 0.55	pendent d'audició
pa-001	36	105.000	107.560	han	0.2451	1	de manera molt discreta, no com d'altres han fet,			p < 0.55	pendent d'audició
pa-001	37	107.640	110.680	Bomb | sense	0.0791 | 0.3855	2	van fer més endavant, a Bomba i Platillo, sense dir...			p < 0.55	pendent d'audició
pa-001	38	110.760	114.120	Es | oll	0.2776 | 0.2683	2	Escolteu, no farem serolls,			p < 0.55	pendent d'audició
pa-001	39	114.200	117.000	més | ter | ren	0.1400 | 0.2972 | 0.5325	3	però el coprínciers més terreny té un problema.			p < 0.55	pendent d'audició
pa-001	42	126.520	130.440	en | cend	0.1078 | 0.4239	2	Això, naturalment, amb alguns, encendre totes les alarmes.	clar	clips/pa-001__clar__129.77.wav	p < 0.55	pendent d'audició
pa-001	43	130.520	133.760	par	0.0548	1	Perquè, clar, no és el mateix estar sobre la parada dels coprínciers,	clar	clips/pa-001__clar__129.77.wav	p < 0.55	pendent d'audició
pa-001	44	133.840	136.040	d | x | er	0.4607 | 0.4991 | 0.2636	3	que d'un que tampoc sabem què xerar,	a nivell;clar	clips/pa-001__clar__129.77.wav;clips/pa-001__a-nivell__135.37.wav	p < 0.55	pendent d'audició
pa-001	46	138.360	141.160	al | ves	0.3842 | 0.5296	2	no ens hem d'enganyar al ves de França, és molt important.	a nivell	clips/pa-001__a-nivell__135.37.wav	p < 0.55	pendent d'audició
pa-001	47	141.240	144.680	de | mit | ja	0.5091 | 0.1837 | 0.4315	3	No és que el de la mitja no ho sigui, però és que l'altre ho és més.			p < 0.55	pendent d'audició
pa-001	48	144.760	149.920	al	0.5457	1	I, aleshores, tot això, amb la intenció de mantenir els coprínciers,			p < 0.55	pendent d'audició
pa-001	49	150.000	154.400	jo | d | un | ja	0.3032 | 0.3488 | 0.3831 | 0.5484	4	que això ja està, jo penso que d'aquí un moment ja estàvem tots interessats,			p < 0.55	pendent d'audició
pa-001	50	154.480	161.040	ir | hi | princip	0.1093 | 0.3228 | 0.4902	3	establir-hi aquest principi de democràcia parlamentària,			p < 0.55	pendent d'audició
pa-001	51	161.120	165.880	una | de | dir | conv | ul | que	0.4774 | 0.3847 | 0.3714 | 0.3798 | 0.2316 | 0.4536	6	que una espècie de dir-li convulguis que els coprínciers			p < 0.55	pendent d'audició
pa-001	52	165.960	168.320	guts	0.5166	1	tot són actes de guts,			p < 0.55	pendent d'audició
pa-001	53	168.400	172.160	i | que | el | govern | emp | nen	0.1757 | 0.2505 | 0.1450 | 0.4927 | 0.1555 | 0.2479	6	i que el govern emprenomànen els tínims associats			p < 0.55	pendent d'audició
pa-001	54	172.240	175.680	que | ens | è | on | aquest	0.4080 | 0.5444 | 0.5322 | 0.5307 | 0.2352	5	amb els constructats internacionals que també ens convèiem on s'arriba aquest.			p < 0.55	pendent d'audició
pa-001	57	183.040	185.840	vol | ha | ure	0.0803 | 0.1207 | 0.1399	3	i alguns potser no t'ho vols haurem manifestat,			p < 0.55	pendent d'audició
pa-001	58	185.920	190.280	és | jo	0.3573 | 0.4892	2	però és que el que anava a estar-hi en joc era el futur del país, jo penso.			p < 0.55	pendent d'audició
pa-001	59	190.360	193.800	durant | f	0.2867 | 0.3118	2	El tema constitucional no hi va haver cap problema durant la primera fàcil,			p < 0.55	pendent d'audició
pa-001	60	193.880	195.920	incl | ús | que	0.4155 | 0.3240 | 0.3636	3	i, inclús, recorda que un dels nostres assessors			p < 0.55	pendent d'audició
pa-001	62	198.840	201.320	i | parl | parl | ant	0.4693 | 0.4865 | 0.4481 | 0.4437	4	i parlàvem, parlant-me amb Castellà,			p < 0.55	pendent d'audició
pa-001	63	201.400	205.280	h | hab | quem	0.3298 | 0.2333 | 0.2081	3	"em va dir ""hoy habéis quemado los barcos de retorno""."			p < 0.55	pendent d'audició
pa-001	64	205.360	207.680	march	0.5301	1	"""Esto no tiene marcha atrás""."	bueno	clips/pa-001__bueno__207.01.wav	p < 0.55	pendent d'audició
pa-001	65	207.760	212.240	esh | bueno	0.5417 | 0.2662	2	I aleshores, a partir d'aquí, bueno, van anar sortint els problemes del dia a dia,	bueno	clips/pa-001__bueno__207.01.wav	p < 0.55	pendent d'audició
