forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	5	7	sí	small	És un debat que té a veure amb el que va passar a l'Estat d'Ajuntament,	El que té a veure és que la Bèl·la Europea					lead-rtva-012__02__a-veure.wav	541280	545440	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	2	3	sí	small	Sí, la més llarga, bueno, va començar a la Seu d'Urgell.	T'hi trobes, dit-ho, bueno, l'emperador de Japó va ser una mica especial,					lead-rtva-012__05__bueno.wav	279000	281560	ASR textual; atribució i audició pendents
bé	discurs	16	19	sí	small	Bé, això s'ha de dir que quan ell va arribar en d'hora,	van demanar una persona i van agafar 3, de fet, que va anar molt bé.					lead-rtva-012__06__b.wav	107840	110480	ASR textual; atribució i audició pendents
clar	discurs	15	21	sí	small	Va ser molt clar que tota la família balancà	És clar, resulta que el meu pare era advocat i, lògicament,					lead-rtva-012__07__clar.wav	170440	174440	ASR textual; atribució i audició pendents
de fet	discurs	15	20	sí	small	De fet, aquest edifici el va fer el meu padri,	Aquesta edifició, sí, de fet, aquesta edifició va fer el meu Padrí,					lead-rtva-012__08__de-fet.wav	152880	155760	ASR textual; atribució i audició pendents
diguem	discurs	2	0	no	small	I llavors, diguem-ne, si no ho ha de aprovar,						lead-rtva-012__09__diguem.wav	679480	681480	ASR textual; atribució i audició pendents
doncs	discurs	5	6	sí	small	Doncs per què es va decidir vostè a fer dreta per a Soledad?	Doncs per què es va decidir vostè fer dreta per solar-la?					lead-rtva-012__10__doncs.wav	242960	245200	ASR textual; atribució i audició pendents
evidentment	discurs	1	1	sí	small	Ara va ser un moment difícil, per mi, evidentment, però clar.	Ara va ser un moment difícil, per mi, evidentment.					lead-rtva-012__11__evidentment.wav	744920	747480	ASR textual; atribució i audició pendents
