forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	1	sí	small	Home, la situació de la dona...A nivell cultural.	-Home, la situació de l'on. -A nivell cultural.					lead-rtva-010__01__a-nivell.wav	2951360	2954080	ASR textual; atribució i audició pendents
a veure	discurs	5	7	sí	small	A veure, aquests mestres volien que jo estudies,	Sí, sí. A veure, aquests mestres volien que jo estudies.					lead-rtva-010__02__a-veure.wav	575800	580480	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	15	14	sí	small	Bueno, els nens tenien una altra llibertat que no teníem les nenes.	Bueno, no ho sé, amb la forma de caràcter, no ho sé...					lead-rtva-010__05__bueno.wav	107960	113680	ASR textual; atribució i audició pendents
bé	discurs	25	27	sí	small	Per bé?Ha canviat per bé.	Per bé. Ha canviat per bé.					lead-rtva-010__06__b.wav	115840	117840	ASR textual; atribució i audició pendents
clar	discurs	3	3	sí	small	dintre del que hi havia en aquell moment, clar.	Però els meus pares no tenien clar,					lead-rtva-010__07__clar.wav	464960	469760	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	Perquè, de fet, tot el que es diu en anglès es pot ingatalar perfectament, no?	De fet, igualtat i igualtat al 100% mai no serà,					lead-rtva-010__08__de-fet.wav	1174360	1178280	ASR textual; atribució i audició pendents
diguem	discurs	2	2	sí	small	o, diguem-ne, era una condició a banda d'indispensable	o, diguem-ne, era una condició abana d'indispensable					lead-rtva-010__09__diguem.wav	691000	696640	ASR textual; atribució i audició pendents
doncs	discurs	10	9	sí	small	doncs sempre teníem cura dels germans més petits,	doncs sempre teníem cura dels germans més pedits,					lead-rtva-010__10__doncs.wav	101240	105400	ASR textual; atribució i audició pendents
evidentment	discurs	14	12	sí	small	encara hi és, evidentment,	encara hi és, evidentment, en el passant de gens propietaris,					lead-rtva-010__11__evidentment.wav	321240	326120	ASR textual; atribució i audició pendents
llavors	discurs	4	1	sí	small	ens hi dirigim en castellà, i llavors la conversa a vegades continua així, no?	Quan hi ha una petita, i llavors per Nadal també es feia pa coca, coca de Nadal,					lead-rtva-010__12__llavors.wav	1359480	1364520	ASR textual; atribució i audició pendents
no?	discurs	36	24	sí	small	però veig que ni queda molta per fer encara, no?	És com hi ha una fotografia d'ordi, no?					lead-rtva-010__13__no.wav	56000	58480	ASR textual; atribució i audició pendents
o sigui	discurs	4	3	sí	small	O sigui, no només gallines, eh? Vaques.	parlant d'una llengua plena de barbarismes, o sigui,					lead-rtva-010__14__o-sigui.wav	267880	270360	ASR textual; atribució i audició pendents
per tant	discurs	2	3	sí	small	I, per tant, amb projectes que vostè vol portar a la realitat,	Aquí estem amb ganes de fer-la, solut i, per tant,					lead-rtva-010__15__per-tant.wav	69200	76720	ASR textual; atribució i audició pendents
perquè	discurs	37	34	sí	small	Avui lluita perquè al principi d'Andorra	Avui he lluita perquè el principi d'endorria hi hagi un centre					lead-rtva-010__16__perqu.wav	33720	35960	ASR textual; atribució i audició pendents
vull dir	discurs	5	5	sí	small	Vull dir, va ser una experiència pels nens	Bueno, jo no vull dir què, però la gent que em coneix,					lead-rtva-010__17__vull-dir.wav	971680	977240	ASR textual; atribució i audició pendents
és a dir	discurs	0	0	no											ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	1	0	no	small	S'ha fet escaldes, han tornat a reviure'l,						lead-rtva-010__20__escaldes.wav	1031520	1035440	ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
