forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	6	8	sí	small	I realment, bueno, a nivell personal,	Sí, és a nivell vam començar l'escola.	0.3546	0.8059	0.1442	0.6733	lead-rtva-026__01__a-nivell.wav	1900000	1903640	ASR textual; atribució i audició pendents
a veure	discurs	6	3	sí	small	Jo, fer un diagnòstic, t'adarant a veure...	Ja ho feia un dia nostre que t'ha d'anar a veure amb algun dia nostre,	0.0952	0.5296	0.0653	0.5997	lead-rtva-026__02__a-veure.wav	383400	385960	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	26	26	sí	small	Doncs, bueno, vull dir, tenir la empatia,	I, bueno, ja espero que hem moltes coses,	0.5099	0.8074	0.4022	0.8065	lead-rtva-026__05__bueno.wav	499560	502800	ASR textual; atribució i audició pendents
bé	discurs	57	53	sí	small	i, bé, doncs, clar, estava tot el dia avui d'allà de les infermeres,	I, bé, poscats, estava tot el dia per al redaire d'altres infermeres,	0.0681	0.6901	0.0186	0.5243	lead-rtva-026__06__b.wav	85040	89120	ASR textual; atribució i audició pendents
clar	discurs	39	37	sí	small	i, bé, doncs, clar, estava tot el dia avui d'allà de les infermeres,	veiem vaig atrevir d'entrar a qui no fan, perquè, clar, no sabia què era.	0.0681	0.6901	0.0660	0.6007	lead-rtva-026__07__clar.wav	85040	89120	ASR textual; atribució i audició pendents
de fet	discurs	1	2	sí	small	Perquè, de fet, abans d'haver el metge,	Perquè de fet, abans de veure el metge,	0.6005	0.8872	0.0966	0.7197	lead-rtva-026__08__de-fet.wav	795240	797560	ASR textual; atribució i audició pendents
diguem	discurs	9	6	sí	small	vull dir, començar amb el sistema, diguem, públic, endorra,	voldria començar a posar al sistema, diguem, pública, en Dorra,	0.3185	0.7389	0.1496	0.6357	lead-rtva-026__09__diguem.wav	263400	266680	ASR textual; atribució i audició pendents
doncs	discurs	22	7	sí	small	i, bé, doncs, clar, estava tot el dia avui d'allà de les infermeres,	que potser és algo serat, doncs, de metge.	0.0681	0.6901	0.1071	0.5476	lead-rtva-026__10__doncs.wav	85040	89120	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
