forma	segment	inici_s	final_s	text_asr	estat
perquè	11	28.240	32.280	perquè la pròxima carrera és el set i no tenim massa temps per badar.	candidat ASR; pendent d'audició
doncs	22	65.960	70.000	però que ara surti en els fruits, doncs és genial,	candidat ASR; pendent d'audició
bueno	26	77.200	79.000	i bueno, s'està notant molt.	candidat ASR; pendent d'audició
bé	27	79.080	83.000	Bé, fes 44 punts en aquestes dues dutgens places	candidat ASR; pendent d'audició
no?	29	84.680	87.800	El fet de no estar sol, a més, encara és un plus, no?	candidat ASR; pendent d'audició
o sigui	30	87.880	92.200	Això és brutal, o sigui, ja no només tiràvem-ho individualment,	candidat ASR; pendent d'audició
a veure	32	94.360	96.480	A veure, amb l'Aracan li tinc una relació boníssima,	candidat ASR; pendent d'audició
per tant	38	111.080	114.600	Per tant, l'Aracan ha estat excel·lent,	candidat ASR; pendent d'audició
perquè	46	137.160	139.160	perquè un dels grans objectius de la temporada	candidat ASR; pendent d'audició
perquè	50	148.480	151.120	Com estàveu? Perquè jo et veig veure una mica diferent	candidat ASR; pendent d'audició
bé	53	155.520	157.800	Sí, ho has dit molt bé. Un amic el resum és aquest.	candidat ASR; pendent d'audició
bueno	60	175.960	180.040	i, bueno, no vaig poder acabar malauradament les manes,	candidat ASR; pendent d'audició
bé	62	182.200	185.200	tenia una premsa afegida de, com has comentat molt bé,	candidat ASR; pendent d'audició
per tant	65	190.640	192.640	Per tant, aquesta primera mà negada dalt de dia,	candidat ASR; pendent d'audició
evidentment	67	195.280	197.280	No ho assegura, evidentment,	candidat ASR; pendent d'audició
perquè	68	197.360	199.360	perquè estàs comparant amb els millors del món	candidat ASR; pendent d'audició
evidentment	71	207.160	211.200	i, evidentment, si et guardes una mica és impossible,	candidat ASR; pendent d'audició
clar	79	230.480	233.800	guanyant a tothom amb clar avantatge,	candidat ASR; pendent d'audició
a veure	89	260.720	263.320	Una bona estona, a veure. Vaig remontar 16 posicions	candidat ASR; pendent d'audició
doncs	90	263.400	267.320	i més o menys són dos minuts per corredor, doncs mitja oreta.	candidat ASR; pendent d'audició
