id_persona	forma	clip	interval_escolta	token_intervals_absolute	token_prob_min	token_prob_mean	veu_proporcio	evidencia
pa-010	crec	clips/pa-010__crec__1033.25.wav	1033.25-1036.75	1033.640-1034.010	0.8283	0.8283	0.4138	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	264.25-271.75	265.460-266.250	0.9947	0.9948	0.6310	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-004	bé	clips/pa-004__b__319.61.wav	319.61-322.59	320.890-321.150	0.9828	0.9828	0.1284	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	522.93-528.15	526.850-526.900	0.9676	0.9793	0.1615	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-005	bé	clips/pa-005__b__51.09.wav	51.09-56.07	52.610-53.090	0.9921	0.9921	0.0645	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	373.33-379.95	376.930-377.390	0.8872	0.9370	0.0182	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-006	bé	clips/pa-006__b__151.25.wav	151.25-159.75	154.600-154.850	0.8041	0.8041	0.6108	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	285.25-291.75	286.520-287.320	0.8407	0.9182	0.5772	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	89.25-96.75	90.530-91.050	0.9934	0.9961	0.6791	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	778.25-783.75	782.330-783.130	0.9315	0.9633	0.6131	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-007	perquè	clips/pa-007__perqu__101.25.wav	101.25-107.75	103.250-103.310	0.8509	0.8509	0.4877	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	668.25-673.75	670.160-670.890	0.9915	0.9953	0.3832	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-009	bé	clips/pa-009__b__557.25.wav	557.25-561.75	560.310-560.680	0.9969	0.9969	0.5312	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-009	clar	clips/pa-009__clar__99.25.wav	99.25-105.75	102.480-102.770	0.9195	0.9195	0.5154	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	947.25-951.75	948.250-948.990	0.9520	0.9711	0.5402	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-010	clar	clips/pa-010__clar__334.85.wav	334.85-339.35	338.130-338.350	0.9866	0.9866	0.5580	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-011	bé	clips/pa-011__b__185.57.wav	185.57-189.31	188.490-188.510	0.9983	0.9983	0.7849	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-013	perquè	clips/pa-013__perqu__433.89.wav	433.89-442.03	436.160-436.530	0.9497	0.9497	0.7094	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-014	crec	clips/pa-014__crec__153.25.wav	153.25-160.55	153.560-153.970	0.9940	0.9940	0.7418	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	28.65-37.55	31.830-31.980	0.8709	0.9327	0.6577	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-014	perquè	clips/pa-014__perqu__105.85.wav	105.85-115.75	108.240-108.660	0.8193	0.8193	0.7024	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-015	doncs	clips/pa-015__doncs__83.25.wav	83.25-87.75	84.380-84.780	0.8466	0.9220	0.9554	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-016	bé	clips/pa-016__b__170.05.wav	170.05-177.19	175.990-176.330	0.9990	0.9990	0.6545	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-016	clar	clips/pa-016__clar__175.69.wav	175.69-180.35	177.330-177.680	0.9439	0.9439	0.5862	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-016	perquè	clips/pa-016__perqu__79.77.wav	79.77-85.39	81.960-82.630	0.8479	0.8479	0.6214	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-017	clar	clips/pa-017__clar__34.45.wav	34.45-42.35	38.350-38.580	0.9757	0.9757	0.5584	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-017	doncs	clips/pa-017__doncs__459.25.wav	459.25-464.75	460.590-460.880	0.9049	0.9520	0.5255	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-018	crec	clips/pa-018__crec__7.49.wav	7.49-12.83	8.550-8.940	0.9969	0.9969	0.6316	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-018	perquè	clips/pa-018__perqu__91.09.wav	91.09-96.47	92.160-92.850	0.9663	0.9663	0.6045	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	122.25-127.75	125.600-126.080	0.9056	0.9516	0.6168	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
pa-019	bé	clips/pa-019__b__195.25.wav	195.25-201.75	200.660-200.850	0.9932	0.9932	0.6821	triple ASR + tokens QA amb p mínima >= 0,80; pendent d'audició
