ordre_triple	rang	prioritat_triple	id_persona	forma	interval_escolta	clip	token_prob_min	small	base	greedy	forma_en_qa	consens_dos_asr	text_qa	text_greedy	justificacio	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
1	1	A-triple-token-fort	pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	0.9995	sí	sí	sí	sí	sí	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	El coprincipat ens ha vingut molt bé i pensàvem que aquest havia de continuar.	tres models i probabilitat de token >= 0,80	pendent					
2	1	A-triple-token-fort	pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	0.9983	sí	sí	sí	sí	sí	a l'exterior de la casa es va molt bé, doncs, a aquesta...	a l'exterior de la casa, o molt bé, a aquesta casa.	tres models i probabilitat de token >= 0,80	pendent					
3	1	A-triple-token-fort	pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	0.9981	sí	sí	sí	sí	sí	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Bé, jo crec que l'atac de nacionalisme que ens va moure...	tres models i probabilitat de token >= 0,80	pendent					
4	1	A-triple-token-fort	pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	0.9976	sí	sí	sí	sí	sí	en aquell moment potser no eren ben bé del mateix equip.	i els consuls, en aquell moment, potser no eren ben bé del mateix equip,	tres models i probabilitat de token >= 0,80	pendent					
5	1	A-triple-token-fort	pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	0.9969	sí	sí	sí	sí	sí	i són campanes que sonen molt bé.	i són campanes que sonen molt bé.	tres models i probabilitat de token >= 0,80	pendent					
6	1	A-triple-token-fort	pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	0.9969	sí	sí	sí	sí	sí	i després jo crec que el problema que hi ha dels 78 és que...	i després jo crec que el problema que hi ha del 78 és que...	tres models i probabilitat de token >= 0,80	pendent					
7	1	A-triple-token-fort	pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	0.9956	sí	sí	sí	sí	sí	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però realment jo crec que l'esperit de la gent no hi ha ni per a la gent.	tres models i probabilitat de token >= 0,80	pendent					
8	1	A-triple-token-fort	pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	0.9952	sí	sí	sí	sí	sí	que el va callar, jo crec que has tallat el pernil.  Sí.	i el va callar. Jo crec que has tallat el pernil.	tres models i probabilitat de token >= 0,80	pendent					
9	1	A-triple-token-fort	pa-064	a veure	587.61-591.67	clips/pa-064__a-veure__587.61.wav	0.9952	sí	sí	sí	sí	sí	No s'ha tornat a veure amb els anys.	No s'ha tornat a veure amb els anys.	tres models i probabilitat de token >= 0,80	pendent					
10	1	A-triple-token-fort	pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	0.9951	sí	sí	sí	sí	sí	l'objectiu tenia molt clar que s'hi jugava molt.	que el seu objectiu tenia molt clar que es jugava molt.	tres models i probabilitat de token >= 0,80	pendent					
