candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-054-francesc-solana	a veure	clips/lead-yt-047__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	bueno	clips/lead-yt-047__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	bé	clips/lead-yt-047__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	clar	clips/lead-yt-047__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	diguem	clips/lead-yt-047__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	doncs	clips/lead-yt-047__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	evidentment	clips/lead-yt-047__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	llavors	clips/lead-yt-047__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	no?	clips/lead-yt-047__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	o sigui	clips/lead-yt-047__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	per tant	clips/lead-yt-047__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	perquè	clips/lead-yt-047__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	vull dir	clips/lead-yt-047__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	bàsquet	clips/lead-yt-047__36__b-squet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	equip	clips/lead-yt-047__38__equip.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	jugadors	clips/lead-yt-047__39__jugadors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	partit	clips/lead-yt-047__40__partit.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	victòria	clips/lead-yt-047__41__vict-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	lliga	clips/lead-yt-047__42__lliga.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	Andorra	clips/lead-yt-047__44__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	joves	clips/lead-yt-047__46__joves.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	Palència	clips/lead-yt-047__48__pal-ncia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	Burgos	clips/lead-yt-047__49__burgos.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-054-francesc-solana	treball	clips/lead-yt-047__51__treball.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
