forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	1	19	sí	small	Si m'ho endeu a veure, per exemple, m'imagino que era problegació.	i no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a veure que no hi va haver d'anar a	0.0568	0.6755	0.0229	0.8734	lead-rtva-032__02__a-veure.wav	173080	177280	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	4	3	sí	small	Aviam com es diu.	la Macta, Simfreu, la Aviam, la Martina...	0.3784	0.7927	0.1079	0.6337	lead-rtva-032__04__aviam.wav	1469440	1471360	ASR textual; atribució i audició pendents
bueno	discurs	7	3	sí	small	Bueno, l'Andorra es llegeix igual de poc, suposo, eh,	Bueno, això potar-te un extrem molesties, molesties, no?	0.0592	0.8304	0.1047	0.7026	lead-rtva-032__05__bueno.wav	433560	437800	ASR textual; atribució i audició pendents
bé	discurs	19	19	sí	small	una mica emprenyador, que també ens estava bé.	Una mica emprenyador, que també hi ens estava bé.	0.4968	0.8712	0.4675	0.7570	lead-rtva-032__06__b.wav	296000	298560	ASR textual; atribució i audició pendents
clar	discurs	12	7	sí	small	que, tenint molt clar,	No s'ha aprofitat la pusa, clar.	0.3931	0.7944	0.0906	0.5807	lead-rtva-032__07__clar.wav	1816600	1819800	ASR textual; atribució i audició pendents
de fet	discurs	3	1	sí	small	I, de fet, senyora Ribaraigua,	I de fet, senyora Rivera Iwa, la pousa és un insecte	0.1404	0.7571	0.1003	0.6274	lead-rtva-032__08__de-fet.wav	340760	342880	ASR textual; atribució i audició pendents
diguem	discurs	0	1	no	base		Diguem, el quim té a la tauleta de nit.			0.0503	0.5928	lead-rtva-032__09__diguem.wav	1463760	1465920	ASR textual; atribució i audició pendents
doncs	discurs	15	10	sí	small	Doncs la veritat és que...	Doncs la veritat és que...	0.6908	0.9281	0.3459	0.7697	lead-rtva-032__10__doncs.wav	128800	130200	ASR textual; atribució i audició pendents
evidentment	discurs	1	2	sí	small	I, evidentment, jo espero que de vegades,	acostat i, evidentment, que jo espero que, de vegades,	0.4942	0.8441	0.2225	0.7077	lead-rtva-032__11__evidentment.wav	2152440	2155960	ASR textual; atribució i audició pendents
llavors	discurs	20	7	sí	small	Llavors, jo sempre hi visc tot en voltada de llibres.	Llavors, jo sempre he viscut en voltades de llibres.	0.1235	0.8337	0.3718	0.7783	lead-rtva-032__12__llavors.wav	123080	125400	ASR textual; atribució i audició pendents
no?	discurs	45	33	sí	small	"a dir, ""Escolta, i per què no ho provem, no?"	perquè no ho provem, no?	0.3166	0.7756	0.4417	0.7893	lead-rtva-032__13__no.wav	138280	141080	ASR textual; atribució i audició pendents
o sigui	discurs	16	12	sí	small	O sigui, no s'aprofitava, per dir-ho d'alguna manera, eh?	O sigui, no s'han aprofitat per dir-ho d'alguna manera, eh?	0.4205	0.9004	0.3605	0.8135	lead-rtva-032__14__o-sigui.wav	364640	367960	ASR textual; atribució i audició pendents
per tant	discurs	9	11	sí	small	Per tant, la venta per internet era una realitat,	Però adaptant-se al moment la societat el que passava, per tant,	0.4419	0.8778	0.1795	0.8115	lead-rtva-032__15__per-tant.wav	609200	613120	ASR textual; atribució i audició pendents
perquè	discurs	73	66	sí	small	perquè al principi, si no s'experimenta l'ofici, no n'ets conscient.	perquè el principi, si no s'esperi mental o fissi, no en ets conscient.	0.4594	0.8722	0.0941	0.6912	lead-rtva-032__16__perqu.wav	78640	82680	ASR textual; atribució i audició pendents
vull dir	discurs	4	2	sí	small	Em vull dir, fa 20 anys pensava que no pot ser l'has d'eligir,	Em vull dir fa 20 anys pensava no pot ser les de llibre,	0.1502	0.7877	0.2327	0.6732	lead-rtva-032__17__vull-dir.wav	1544480	1549440	ASR textual; atribució i audició pendents
és a dir	discurs	0	0	no											ASR textual; atribució i audició pendents
Canillo	territorial	1	0	no	small	perquè jo em passejo per Andorra i te'n vagis a Canillo.		0.4278	0.8712			lead-rtva-032__19__canillo.wav	3620600	3624000	ASR textual; atribució i audició pendents
Escaldes	territorial	0	1	no	base		fins que és d'endorre la vella fins escaldes.			0.2289	0.7548	lead-rtva-032__20__escaldes.wav	3045520	3047920	ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	0	0	no											ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	6	3	sí	small	L'escola Andorrana, quan va néixer, potser va trencar...	s'alimentava de tot de lo que ens embultava de la societat andorrana,	0.0642	0.7968	0.0926	0.7434	lead-rtva-032__25__andorrana.wav	1708760	1713360	ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	1	0	no	small	I aquesta organització del territori que ho han fet els comuns,		0.6189	0.9169			lead-rtva-032__28__comuns.wav	2973200	2976880	ASR textual; atribució i audició pendents
comú	territorial	1	2	sí	small	I vam fer un referèndum, es va organitzar al Comú,	I vam fer un referèndum es va organitzar el comú	0.4742	0.8956	0.4470	0.8472	lead-rtva-032__29__com.wav	2818080	2820840	ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	0	0	no											ASR textual; atribució i audició pendents
