forma	clip	small	base	greedy	text_greedy	estat
a veure	clips/dj-neura__a-veure__33.00.wav	1	2	sí	de fet, i jo ens portem una diferència d'edat bastant significativa a veure els cuidants i mig.	tercera ASR greedy; pendent d'audició
aleshores	clips/dj-neura__aleshores__50.00.wav	4	3	no	i els nens no ho han fet.	tercera ASR greedy; pendent d'audició
bueno	clips/dj-neura__bueno__39.00.wav	4	4	sí	i, bueno, que ell era més gran que jo i quan ell va començar a sortir de festa, doncs la música al·legal.	tercera ASR greedy; pendent d'audició
bé	clips/dj-neura__b__44.00.wav	7	7	no	i va començar a sortir de festa, la música electrònica va ser un millor moment, els anys 90. Aleshores, clar,	tercera ASR greedy; pendent d'audició
clar	clips/dj-neura__clar__50.00.wav	3	3	no	i els nens no ho han fet.	tercera ASR greedy; pendent d'audició
doncs	clips/dj-neura__doncs__44.00.wav	15	13	no	i va començar a sortir de festa, la música electrònica va ser un millor moment, els anys 90. Aleshores, clar,	tercera ASR greedy; pendent d'audició
no?	clips/dj-neura__no__44.00.wav	3	4	no	i va començar a sortir de festa, la música electrònica va ser un millor moment, els anys 90. Aleshores, clar,	tercera ASR greedy; pendent d'audició
perquè	clips/dj-neura__perqu__416.76.wav	2	2	sí	intentar posar-me lo menos nerviós possible perquè tot ja així, amb els anys que hi porto punxant,	tercera ASR greedy; pendent d'audició
de fet	clips/dj-neura__de-fet__33.00.wav	1	0	sí	de fet, i jo ens portem una diferència d'edat bastant significativa a veure els cuidants i mig.	tercera ASR greedy; pendent d'audició
o sigui	clips/dj-neura__o-sigui__394.08.wav	1	0	sí	que el país encara estancava les mateixes actes. O sigui que si fiquem com a exemple això, el demà no cal dir-los més.	tercera ASR greedy; pendent d'audició
