forma	id_persona	interval_escolta	clip	sha256	transcripcio_qa	forma_en_qa	text_qa	estat
bé	pa-001	49.17-54.35	clips/pa-001__b__49.17.wav	e30d5df251638f7c7f0edd9cc400f8c4eea5af967862abd6906dad2785fe1670	qa-clips/pa-001__be__49_17_54_35.txt	no	i això va anar evolucionant el que era...	pendent-audicio
bé	pa-002	348.25-355.75	clips/pa-002__b__348.25.wav	4e31cb66ba3c12e600dd20dfe1255aa214a465a49eb98dce47e2b589649517b8	qa-clips/pa-002__be__348_25_355_75.txt	sí	que ha signat el canvi.  Ara, el que ens dividiria bé,  òbviament, era el control de govern.	pendent-audicio
bé	pa-003	0.00-7.19	clips/pa-003__b__0.00.wav	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	qa-clips/pa-003__be__0_00_7_19.txt	sí	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	pendent-audicio
bé	pa-004	319.61-322.59	clips/pa-004__b__319.61.wav	df7d24cb4e6e4fad2990bb079bddcc77304bfd0271739dcac0bfd3c31fc3d9f8	qa-clips/pa-004__be__319_61_322_59.txt	sí	més o menys està bé allà i després...	pendent-audicio
bé	pa-005	51.09-56.07	clips/pa-005__b__51.09.wav	705d6cb898f2bf5527351d34b6efec68717e495cf43064cdd8b8546d677dda0f	qa-clips/pa-005__be__51_09_56_07.txt	sí	Si us sembla bé, farem un viatge en el temps, més precisament.	pendent-audicio
bé	pa-006	151.25-159.75	clips/pa-006__b__151.25.wav	8ecb14864a2cbc485956de412094aeebb300609ce9ce7058fe118bb9d3351ed9	qa-clips/pa-006__be__151_25_159_75.txt	sí	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	pendent-audicio
bé	pa-007	59.25-66.75	clips/pa-007__b__59.25.wav	7bcafbd2c7cfcd294fc5f3127d39c12303eba4ce1e54675fd5e7be02556993a9	qa-clips/pa-007__be__59_25_66_75.txt	sí	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	pendent-audicio
bé	pa-008	61.25-65.75	clips/pa-008__b__61.25.wav	2ba6447522d9e1a68ddefe23659bbbb2019f14d192b88b5d3c76ec9645fd7d72	qa-clips/pa-008__be__61_25_65_75.txt	sí	En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.	pendent-audicio
bé	pa-009	557.25-561.75	clips/pa-009__b__557.25.wav	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	qa-clips/pa-009__be__557_25_561_75.txt	sí	i són campanes que sonen molt bé.	pendent-audicio
bé	pa-010	24.65-31.67	clips/pa-010__b__24.65.wav	309b173e7d6f30301d9e7648b7163fb5f2d33aa940f2eaa4129fa4ee34282ff2	qa-clips/pa-010__be__24_65_31_67.txt	no	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	pendent-audicio
bé	pa-011	185.57-189.31	clips/pa-011__b__185.57.wav	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	qa-clips/pa-011__be__185_57_189_31.txt	sí	a l'exterior de la casa es va molt bé, doncs, a aquesta...	pendent-audicio
bé	pa-012	160.25-164.75	clips/pa-012__b__160.25.wav	ae20200d9709a8bf8fe19b27833a765647c898f29d383731fc285c0fbecbc187	qa-clips/pa-012__be__160_25_164_75.txt	sí	o bé algunes campanyes d'un campanar d'un poble.	pendent-audicio
bé	pa-013	196.65-203.47	clips/pa-013__b__196.65.wav	4be0dce49624a07cf218029bdefa30dac94a6d0f63074f1550a6c4d46f76cc72	qa-clips/pa-013__be__196_65_203_47.txt	sí	que em sofre i que va bé per la pell, pel sistema digestiu, i també té altres propietats.	pendent-audicio
bé	pa-014	165.65-181.55	clips/pa-014__b__165.65.wav	84e592b342e07ed19da4d3591c763ba3a1106e7f5f6a38d75ad4fe0154e52775	qa-clips/pa-014__be__165_65_181_55.txt	sí	Bé, el resultat d'això va ser molt, molt bonic, perquè és a dir,  he conviscut amb gent, m'han explicat coses, m'han entrat,	pendent-audicio
bé	pa-015	42.25-48.75	clips/pa-015__b__42.25.wav	9d687504f670441620fcf71087d8c7ead97a5676a33cc55c5d782287307ad378	qa-clips/pa-015__be__42_25_48_75.txt	sí	i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	pendent-audicio
bé	pa-016	170.05-177.19	clips/pa-016__b__170.05.wav	3114a077311c96bb91a613edf7f8772cf1201008f33c622cc6d733e2d72bd791	qa-clips/pa-016__be__170_05_177_19.txt	sí	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	pendent-audicio
bé	pa-017	112.25-118.15	clips/pa-017__b__112.25.wav	185a7b75ebc42147af7b53be580161cf6a37b6e1386ca1e1047404849d1dcd76	qa-clips/pa-017__be__112_25_118_15.txt	no	d'acord. A partir d'aquí va començar la paraula de missió, de missió, de missió.	pendent-audicio
bé	pa-018	210.65-215.47	clips/pa-018__b__210.65.wav	faa0207a3ea1c2e6fa89296a70c6705003e1991e64fef1964f8695d02b9023d8	qa-clips/pa-018__be__210_65_215_47.txt	no	dintre de l'UCPA, quan es va formar.	pendent-audicio
bé	pa-019	195.25-201.75	clips/pa-019__b__195.25.wav	baca99f8f5fc8e98cc25c4c717d198785f470a2547be4a6579e579dbed79980a	qa-clips/pa-019__be__195_25_201_75.txt	sí	i buscàvem qui era la fórmula que ens encaixava més bé.	pendent-audicio
bé	pa-020	146.37-152.31	clips/pa-020__b__146.37.wav	5038754b1feaf6561e715b580dbcb16e056fb406fda76ee42616555e4a2cdd07	qa-clips/pa-020__be__146_37_152_31.txt	sí	en aquell moment potser no eren ben bé del mateix equip.	pendent-audicio
bé	pa-021	257.61-263.59	clips/pa-021__b__257.61.wav	1099f23456a12240f6264e7c6ccf06849e0002d5f845209d206c73d48af120a4	qa-clips/pa-021__be__257_61_263_59.txt	sí	És ben veritat que, com es diu,	pendent-audicio
bé	pa-022	270.45-275.35	clips/pa-022__b__270.45.wav	2a0bb5a666bded8fb4b9efd227432e84cee69baabbd831c6b0c5338443159342	qa-clips/pa-022__be__270_45_275_35.txt	sí	A part que ja feia anys que es venia empenyent amb el canvi i també...	pendent-audicio
bé	pa-023	409.37-413.47	clips/pa-023__b__409.37.wav	33c26058d9915691b86d8d6c945a3532d840afe96691661568cc1693dbff5dfc	qa-clips/pa-023__be__409_37_413_47.txt	sí	i un bombé que prenia les mides.	pendent-audicio
bé	pa-024	175.29-180.79	clips/pa-024__b__175.29.wav	7ff0e44ad22568f52fcae0c2797499c6bc50b1e7a4a1d90736c0467b9a88ccc8	qa-clips/pa-024__be__175_29_180_79.txt	no	A partir de l'anàlisi de l'antirrègim és molt greu.	pendent-audicio
bé	pa-025	1023.77-1027.67	clips/pa-025__b__1023.77.wav	9e360170ebd3186c4ce3da3fc91d1f3b1fd226a47d76b4c8d530d36695e31f4f	qa-clips/pa-025__be__1023_77_1027_67.txt	no	Tenia directe el que s'estava fent i com ho estàvem fent, perquè era molt clop.	pendent-audicio
bé	pa-026	99.97-103.47	clips/pa-026__b__99.97.wav	3a8194a3a67fdc205826ec52089924e2899e14e33d1dc8d0f7405916efd9401e	qa-clips/pa-026__be__99_97_103_47.txt	sí	Va bé? Doncs aquí és el mateix.	pendent-audicio
bé	pa-027	30.97-36.55	clips/pa-027__b__30.97.wav	7ebff0507fbda5ef34795127464479092bbe4b9b0524f45963d6493e990f80fe	qa-clips/pa-027__be__30_97_36_55.txt	no	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	pendent-audicio
bé	pa-028	182.49-187.39	clips/pa-028__b__182.49.wav	5ae58c23f4052ae6cec4c027ae68a73d8815470c74464f804e71b0333fa4c75c	qa-clips/pa-028__be__182_49_187_39.txt	sí	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	pendent-audicio
bé	pa-029	42.97-46.79	clips/pa-029__b__42.97.wav	446ec5b2d51a02a0ef8a699502b7eb63ec5109afb9ef33a0b01ff6bb6845ab73	qa-clips/pa-029__be__42_97_46_79.txt	no	i això plenava molt sobre... sense que es digui...	pendent-audicio
