forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	1	sí	small	però no només a nivell de població en general,	Hi ha un gran desconeixement, però no només a nivell de població en general,	0.6221	0.9330	0.3868	0.8465	lead-rtva-027__01__a-nivell.wav	1067280	1069520	ASR textual; atribució i audició pendents
a veure	discurs	7	8	sí	small	A veure, un historiador, el que fa és agafar documentació,	i ara anem a veure un conflicte que ara no hi entrarem,	0.3906	0.8657	0.0197	0.4967	lead-rtva-027__02__a-veure.wav	1155160	1157720	ASR textual; atribució i audició pendents
aleshores	discurs	1	0	no	small	I, aleshores, ens tenien que acceptar,		0.1994	0.7863			lead-rtva-027__03__aleshores.wav	2283760	2286280	ASR textual; atribució i audició pendents
aviam	discurs	1	0	no	small	I aviam si ho m'ho vaig passar a morir a la milia.		0.2036	0.6277			lead-rtva-027__04__aviam.wav	202080	204400	ASR textual; atribució i audició pendents
bueno	discurs	7	6	sí	small	Bueno, és una història que passaré molt per sobre.	Bueno, és una història que passaria molt per sobre,	0.3508	0.8207	0.3217	0.6933	lead-rtva-027__05__bueno.wav	132160	134640	ASR textual; atribució i audició pendents
bé	discurs	12	14	sí	small	molt modest, és una experiència que està molt bé.	amb molt modes, és una experiència que està molt bé.	0.3920	0.8442	0.0742	0.6835	lead-rtva-027__06__b.wav	80720	84240	ASR textual; atribució i audició pendents
clar	discurs	11	14	sí	small	Sí, home, clar, que preocupa.	però ja no hi quedava ningú de la meva època, clar.	0.6166	0.8345	0.2356	0.7842	lead-rtva-027__07__clar.wav	308240	310040	ASR textual; atribució i audició pendents
de fet	discurs	2	1	sí	small	De fet, era un llibre fàcil de llegir,	i de fet, ara, aquests últims temps, no hem pogut viatjar tant.	0.8261	0.9647	0.3195	0.7920	lead-rtva-027__08__de-fet.wav	1186560	1188680	ASR textual; atribució i audició pendents
diguem	discurs	1	0	no	small	Que no han llegit tampoc la història, diguem-ne.		0.5569	0.8191			lead-rtva-027__09__diguem.wav	3052720	3054720	ASR textual; atribució i audició pendents
doncs	discurs	6	11	sí	small	doncs vam anar a néixer a casa de l'àvia, a ripoll,	doncs vam anar aixecar a casa de l'àvia del ripoll,	0.3152	0.7867	0.2099	0.7275	lead-rtva-027__10__doncs.wav	125000	127320	ASR textual; atribució i audició pendents
evidentment	discurs	3	3	sí	small	Escriure-la, evidentment,	Ah, escriure-la, evidentment,	0.3245	0.8475	0.2432	0.8190	lead-rtva-027__11__evidentment.wav	73880	76400	ASR textual; atribució i audició pendents
llavors	discurs	8	6	sí	small	"i llavors li van dir ""no et casis amb la meva mare"","	Llavors li van dir no et casis amb la meva mare,	0.4191	0.8708	0.2638	0.7448	lead-rtva-027__12__llavors.wav	142760	145560	ASR textual; atribució i audició pendents
no?	discurs	26	28	sí	small	Buster i el seu germà, Eudal, un reconegut arqueòleg, no?	el dalt, un reconegut arqueòleg, no?	0.1435	0.8624	0.3136	0.7218	lead-rtva-027__13__no.wav	98640	105520	ASR textual; atribució i audició pendents
o sigui	discurs	1	0	no	small	o sigui, un esforç notable.		0.2790	0.8554			lead-rtva-027__14__o-sigui.wav	1278800	1280600	ASR textual; atribució i audició pendents
per tant	discurs	13	17	sí	small	Per tant, vam enfocar cap aquí.	I per tant, em crea centra de ciències de la terra	0.7103	0.8794	0.1981	0.7273	lead-rtva-027__15__per-tant.wav	960600	962680	ASR textual; atribució i audició pendents
