id_persona	forma	interval_escolta	clip	sha256	transcripcio_greedy	text_greedy	forma_en_greedy
pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	ca690daf51e87de33d499f3db006bcb84f1b27f14b8eefcb926b80072829b220	qa-clips-forts-greedy/pa-010__crec__1033_25_1036_75.txt	és Joan Grumines i que crec que és prou encertada.	sí
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	30c9b43017918ddcd0935a3e0ad2948d48f28c4fa80779af4c8f54decb491b14	qa-clips-forts-greedy/pa-041__vull-dir__264_25_271_75.txt	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.	sí
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	df7d24cb4e6e4fad2990bb079bddcc77304bfd0271739dcac0bfd3c31fc3d9f8	qa-clips-forts-greedy/pa-004__be__319_61_322_59.txt	més o menys està bé allà i després...	sí
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	f55e29919d590c73fed4a0a8d149750111fc97e3c65a84379c0b6f017a42626a	qa-clips-forts-greedy/pa-004__evidentment__522_93_528_15.txt	i doncs provaria aigua suficient, evidentment, i el...	sí
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	705d6cb898f2bf5527351d34b6efec68717e495cf43064cdd8b8546d677dda0f	qa-clips-forts-greedy/pa-005__be__51_09_56_07.txt	Si us sembla bé, farem un viatge en el temps més precisament.	sí
pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	e012a0a257dc06ff00777d412bdd6a5e595872f15519fd8daf177f55d9e63550	qa-clips-forts-greedy/pa-005__o-sigui__373_33_379_95.txt	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.	sí
pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	8ecb14864a2cbc485956de412094aeebb300609ce9ce7058fe118bb9d3351ed9	qa-clips-forts-greedy/pa-006__be__151_25_159_75.txt	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de les...	sí
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	1bf772774bb8043b9f1f91446680ac19da3b91704a57ad5bee82b37b0b9ac226	qa-clips-forts-greedy/pa-006__de-fet__285_25_291_75.txt	i el que és un molit de blat és que, de fet,  només hi ha una sola peça al moviment.	sí
pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	2e33ec4258f16610796effef83c0b15f586de483c9feea9356e66c28bcb48f98	qa-clips-forts-greedy/pa-007__a-veure__89_25_96_75.txt	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	sí
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	d32a68b87812d899b0dbf2cb121f620532107d367553232e74d4a867f9e37369	qa-clips-forts-greedy/pa-007__evidentment__778_25_783_75.txt	i els 2010 van passar a nominar-se per motius polítics, evidentment,  però potser també...	sí
pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	8adbcbe949e214503a8ac8893a4ebed08f3735f6e7e851f441dc210aa4575174	qa-clips-forts-greedy/pa-007__perque__101_25_107_75.txt	que res d'endorra. No sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això.	sí
pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	b8ec0ea035f80dc7781e0482c5309e8d1c8801ed3c891425c324353862e4f9ea	qa-clips-forts-greedy/pa-008__a-veure__668_25_673_75.txt	tot això no té res a veure amb el que tres anys abans	sí
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	qa-clips-forts-greedy/pa-009__be__557_25_561_75.txt	i són campanes que sonen molt bé.	sí
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	efed7fab4d7e4e83e12e0fb597746b1ac7679d593a53f6d51461db5b4e90905d	qa-clips-forts-greedy/pa-009__clar__99_25_105_75.txt	que hi havia el mestre campaner al poble.	no
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	1b7aa96e46a8e0f9f97e04d9c5fd52a7612d816ec981baae45d556914c293227	qa-clips-forts-greedy/pa-009__evidentment__947_25_951_75.txt	l'hora de venir, evidentment, si era l'estiu o era l'hivern, tant que ha de	sí
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	5f880ecdc700d1894c240df5b3ff38246092008085ba9b90f26ff09bd4540f4e	qa-clips-forts-greedy/pa-010__clar__334_85_339_35.txt	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	sí
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	qa-clips-forts-greedy/pa-011__be__185_57_189_31.txt	a l'exterior de la casa, o molt bé, a aquesta casa.	sí
pa-013	perquè	433.89-442.03	clips/pa-013__perqu__433.89.wav	0aa03038c99007d9249ce58a724a195f4f86c1bc4d2099383396de3531e1f431	qa-clips-forts-greedy/pa-013__perque__433_89_442_03.txt	perquè us sabem, doncs perquè es conserven múltiples testimonis fotogràfics  gràcies a Josep Elzina.	sí
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	d1adf9ea570bf83162f04b831acc72834c8b1e91470390a2278090d158bb4bd9	qa-clips-forts-greedy/pa-014__crec__153_25_160_55.txt	i jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	sí
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	e2cb865bc7e09464c8f948268e765f5492b45c0bd13ca62d55176c73d3abec1e	qa-clips-forts-greedy/pa-014__evidentment__28_65_37_55.txt	per a l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de	no
pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	55393fbc618c75d97938a8322291a70144c4bdbc594f681ca01cf3577a1f664c	qa-clips-forts-greedy/pa-014__perque__105_85_115_75.txt	per quin motiu?  Perquè en el seu moment,  es va tenir una sèrie de dubtes,  més que dubtes,  vaig començar a buscar.	sí
pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	2f666e1eff8fed57c0a6be7a4e79f9d130981b91570781073aa7d5de5609591b	qa-clips-forts-greedy/pa-015__doncs__83_25_87_75.txt	"és important. Doncs per ""és important"" per una senzilla rau."	sí
pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	3114a077311c96bb91a613edf7f8772cf1201008f33c622cc6d733e2d72bd791	qa-clips-forts-greedy/pa-016__be__170_05_177_19.txt	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."	sí
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	53417c5937ebd77eea674c73a53a00c5def89cc1388d4d9ba7af2c08352a5321	qa-clips-forts-greedy/pa-016__clar__175_69_180_35.txt	Tenim un objectiu molt clar i l'hem de solit.	sí
pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	63ff86102f02e1c79131c26c271b764dcf2fee00757ceb1742483bf13b84d8aa	qa-clips-forts-greedy/pa-016__perque__79_77_85_39.txt	a mi em posava moltíssim, perquè a més era al principi,  i pensava que m'havia de fer una cosa.	sí
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	af312c7026f7ee8277a947a1f0ee4eae5b3cc637ce0450d40bf05c79ba88bd85	qa-clips-forts-greedy/pa-017__clar__34_45_42_35.txt	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	sí
pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	88468d412a21fe20d4f5f076302a7cc9b4e3d98f87e2f3e7c3089cbe5a6a7c2d	qa-clips-forts-greedy/pa-017__doncs__459_25_464_75.txt	i perfecte.  Doncs a partir d'aquí, sempre ja que et dubte,  desapigué, és que...	sí
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	892fa937d3f28d1abb2e8634864fdad187b0fb5c9380fa33c4086189c763f430	qa-clips-forts-greedy/pa-018__crec__7_49_12_83.txt	i després jo crec que el problema que hi ha del 78 és que...	sí
pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	26189b0a263714ef40ca0fe1cde356c2818cdb993a4fba5c05348fc3e0037b55	qa-clips-forts-greedy/pa-018__perque__91_09_96_47.txt	i resòria, perquè no podíem acabar mai de decidir que una cosa...	sí
pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	bfbb6fbfec9bb2459306cba449dc2ad4694b256a0b9276b3e49813b7e8ba9b99	qa-clips-forts-greedy/pa-019__a-nivell__122_25_127_75.txt	i la Constitució és un qualsevol tema que entre a nivell de comissions.	sí
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	baca99f8f5fc8e98cc25c4c717d198785f470a2547be4a6579e579dbed79980a	qa-clips-forts-greedy/pa-019__be__195_25_201_75.txt	i buscàvem qui era la fórmula que ens encaixava més bé.	sí
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	240696e84b931381e9f59809c8a1c3951ea15eaa8e9b10125861402ce54f8d7a	qa-clips-forts-greedy/pa-019__crec__27_25_31_75.txt	i en aquell moment jo crec que en Dorre necessitava.	sí
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	d6cc52cc133929929579dc7615f84bd18a4b38c989acd3d848c7c49c41c4d42e	qa-clips-forts-greedy/pa-019__diguem__109_25_113_75.txt	i va haver una certa... diguem-ne, un bon feeling, no?	sí
pa-019	llavors	422.25-427.75	clips/pa-019__llavors__422.25.wav	11f80fb011244ef741e3376e5f8494c7a3893876378c983f6d6f5585d71f4aaa	qa-clips-forts-greedy/pa-019__llavors__422_25_427_75.txt	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.	sí
