id_global	sessio	persona	forma	categoria	clip	prioritat	prob_min	text_small	text_base	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	guia_observacio	estat
canon::pa-036::bé::1	sessio-01	pa-036	bé	discurs	clips/pa-036__b__69.45.wav	A-triple-token-fort	0.9995	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	En nosaltres, el que no volia veure l'institució del co-principat, el co-principat ens ha vingut molt bé i pensàvem que aquest avi de continuar, i així ens ha sigut, no?,	264.50	174.81	0.050	429.12	1609.59	2396.21	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-011::bé::2	sessio-01	pa-011	bé	discurs	clips/pa-011__b__185.57.wav	A-triple-token-fort	0.9983	a l'exterior de la casa es va molt bé, doncs, a aquesta...	a moment de la família. El exterior de la casa es va molt bé, doncs a aquestes juntes, a aquesta manera com va creixer la casa.	218.51	78.83	0.090	798.21	1751.95	3114.63	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-038::crec::3	sessio-01	pa-038	crec	morfosintaxi	clips/pa-038__crec__220.69.wav	A-triple-token-fort	0.9981	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Jo crec que l'attaque de nacionalisme, que ens va moure, en aquell moment, acabar amb aquest espèràctiques,	200.57	110.59	0.100	613.07	2476.79	3117.34	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-020::bé::4	sessio-01	pa-020	bé	discurs	clips/pa-020__b__146.37.wav	A-triple-token-fort	0.9976	en aquell moment potser no eren ben bé del mateix equip.	Hi havia... hi havia els consos, els consos. En aquell moment potser no eren ben bé del mateix equip, però, finalment, vam discutar d'aquesta deponeta	172.86	14.09	0.130	418.16	1749.66	2333.66	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-009::bé::5	sessio-01	pa-009	bé	discurs	clips/pa-009__b__557.25.wav	A-triple-token-fort	0.9969	i són campanes que sonen molt bé.	Va fondre una vintena de campanes delicioses, són les campanes que són profundament decorades de corades i són campanes que sonen molt bé. El mestre Marsegués, Joan Boyer,	185.08	40.09	0.100	358.21	1745.11	2534.70	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-018::crec::6	sessio-01	pa-018	crec	morfosintaxi	clips/pa-018__crec__7.49.wav	A-triple-token-fort	0.9969	i després jo crec que el problema que hi ha dels 78 és que...	El 78 del mèrit d'obril debat i després jo crec que el problema que hi ha del 78 és que, internament,	268.93	43.02	0.070	280.86	1944.35	2432.62	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-031::crec::7	sessio-01	pa-031	crec	morfosintaxi	clips/pa-031__crec__87.01.wav	A-triple-token-fort	0.9956	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però, realment, jo crec que l'esprit de la gent no hi ha ni per fer una constitució.	238.59	128.02	0.120	1238.68	1994.62	3171.76	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-062::crec::8	sessio-01	pa-062	crec	morfosintaxi	clips/pa-062__crec__1037.89.wav	A-triple-token-fort	0.9952	que el va callar, jo crec que has tallat el pernil. Sí.	Jo crec que m'agradaria que no s'hagien d'explicar.	171.10	30.76	0.080	643.61	1391.02	3033.20	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-064::a veure::9	sessio-01	pa-064	a veure	discurs	clips/pa-064__a-veure__587.61.wav	A-triple-token-fort	0.9952	No s'ha tornat a veure amb els anys.	i els presentava així, perquè, per això, hi agradava. -Això t'ho ha anat a veure, amb els anys? -Ja faig les d'aví d'aví de segons.	223.51	105.30	0.110	499.50	1347.08	2590.44	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-022::clar::10	sessio-01	pa-022	clar	discurs	clips/pa-022__clar__107.73.wav	A-triple-token-fort	0.9951	l'objectiu tenia molt clar que s'hi jugava molt.	I aquest va ser l'objectiu. Teniu molt clar que ets i jugar al món. Perquè si no s'arriba a fer la Constitució	237.39	161.06	0.080	657.85	1267.06	2548.47	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
