id_persona	forma	interval_escolta	clip	sha256	coincidencia_small	coincidencia_base	consens_textual	text_small	text_base
pa-001	bé	49.17-54.35	clips/pa-001__b__49.17.wav	e30d5df251638f7c7f0edd9cc400f8c4eea5af967862abd6906dad2785fe1670	no	sí	no	i això va anar evolucionant el que era...	Bé, això van a evolucionar el que era...
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	4e31cb66ba3c12e600dd20dfe1255aa214a465a49eb98dce47e2b589649517b8	sí	sí	sí	que ha signat el canvi.  Ara, el que ens dividiria bé,  òbviament, era el control de govern.	de tot canvi. Ara, el que ets llibre, el cop i a mena, era el control de cobert.
pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	sí	no	no	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	df7d24cb4e6e4fad2990bb079bddcc77304bfd0271739dcac0bfd3c31fc3d9f8	sí	sí	sí	més o menys està bé allà i després...	Més o menys està bé allà, i després...
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	705d6cb898f2bf5527351d34b6efec68717e495cf43064cdd8b8546d677dda0f	sí	sí	sí	Si us sembla bé, farem un viatge en el temps, més precisament.	Si us sembla bé farem un viatge en el temps més precisament.
pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	8ecb14864a2cbc485956de412094aeebb300609ce9ce7058fe118bb9d3351ed9	sí	no	no	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	7bcafbd2c7cfcd294fc5f3127d39c12303eba4ce1e54675fd5e7be02556993a9	sí	sí	sí	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	Si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec.
pa-008	bé	61.25-65.75	clips/pa-008__b__61.25.wav	2ba6447522d9e1a68ddefe23659bbbb2019f14d192b88b5d3c76ec9645fd7d72	sí	no	no	En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.	En un pal, ja sigui de boix, ho vam veure amb una branca de mateix ves  i a l'avorar el que hem d'anar.
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	sí	sí	sí	i són campanes que sonen molt bé.	de corades i són campanes que sonen molt bé.
pa-010	bé	24.65-31.67	clips/pa-010__b__24.65.wav	309b173e7d6f30301d9e7648b7163fb5f2d33aa940f2eaa4129fa4ee34282ff2	no	no	no	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	d'una tipus mímia ruscusiólògics.  I doncs veia, vull com a coloració dins d'aquest ciclo  de cápsules d'història en termes de confinament.
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	sí	sí	sí	a l'exterior de la casa es va molt bé, doncs, a aquesta...	de la casa es va molt bé.
pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav	ae20200d9709a8bf8fe19b27833a765647c898f29d383731fc285c0fbecbc187	sí	no	no	o bé algunes campanyes d'un campanar d'un poble.	o ve algunes campanets d'un campanat un poble.
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	4be0dce49624a07cf218029bdefa30dac94a6d0f63074f1550a6c4d46f76cc72	sí	sí	sí	que em sofre i que va bé per la pell, pel sistema digestiu, i també té altres propietats.	que em sofre i que la ve per la pell, pel sistema digestiu, i també té altres propietats.
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	84e592b342e07ed19da4d3591c763ba3a1106e7f5f6a38d75ad4fe0154e52775	sí	sí	sí	Bé, el resultat d'això va ser molt, molt bonic, perquè és a dir,  he conviscut amb gent, m'han explicat coses, m'han entrat,	Bé, el resultat de això va ser molt bonic, perquè és a dir com viscut amb gent m'han explicat coses, m'han errat i
pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav	9d687504f670441620fcf71087d8c7ead97a5676a33cc55c5d782287307ad378	sí	no	no	i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	B, hem de pensar que és una família prou rellevant en aquesta situació.
pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	3114a077311c96bb91a613edf7f8772cf1201008f33c622cc6d733e2d72bd791	sí	no	no	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...
pa-017	bé	112.25-118.15	clips/pa-017__b__112.25.wav	185a7b75ebc42147af7b53be580161cf6a37b6e1386ca1e1047404849d1dcd76	no	no	no	d'acord. A partir d'aquí va començar la paraula de missió, de missió, de missió.	d'acord, i a partir d'aquí va començar a veure la paraula  de missió, de missió, de missió,  i tot va ser.
pa-018	bé	210.65-215.47	clips/pa-018__b__210.65.wav	faa0207a3ea1c2e6fa89296a70c6705003e1991e64fef1964f8695d02b9023d8	no	no	no	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar,
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	baca99f8f5fc8e98cc25c4c717d198785f470a2547be4a6579e579dbed79980a	sí	sí	sí	i buscàvem qui era la fórmula que ens encaixava més bé.	i buscàvem la fórmula que ens encaixava més bé.
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	5038754b1feaf6561e715b580dbcb16e056fb406fda76ee42616555e4a2cdd07	sí	sí	sí	en aquell moment potser no eren ben bé del mateix equip.	En aquell moment potser no eren ben bé del mateix equip,  però...
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	1099f23456a12240f6264e7c6ccf06849e0002d5f845209d206c73d48af120a4	sí	sí	sí	És ben veritat que, com es diu,	És ben veritat que, com has diu, un error.
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	2a0bb5a666bded8fb4b9efd227432e84cee69baabbd831c6b0c5338443159342	sí	sí	sí	A part que ja feia anys que es venia empenyent amb el canvi i també...	que es venien en peñen amb el canvi i també.
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	33c26058d9915691b86d8d6c945a3532d840afe96691661568cc1693dbff5dfc	sí	sí	sí	i un bombé que prenia les mides.	i un bon bé que prenieix les mites i el debòns.
pa-024	bé	175.29-180.79	clips/pa-024__b__175.29.wav	7ff0e44ad22568f52fcae0c2797499c6bc50b1e7a4a1d90736c0467b9a88ccc8	no	no	no	A partir de l'anàlisi de l'antirrègim és molt greu.	d'alguns de l'antigraig i d'alguns de l'antigraig.
pa-025	bé	1023.77-1027.67	clips/pa-025__b__1023.77.wav	9e360170ebd3186c4ce3da3fc91d1f3b1fd226a47d76b4c8d530d36695e31f4f	no	no	no	Tenia directe el que s'estava fent i com ho estàvem fent, perquè era molt clop.	que se estaven fent i com m'ho estàvem fent perquè m'ho clau.
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	3a8194a3a67fdc205826ec52089924e2899e14e33d1dc8d0f7405916efd9401e	sí	sí	sí	Va bé? Doncs aquí és el mateix.	Molt bé, perquè és l'omateix.
pa-027	bé	30.97-36.55	clips/pa-027__b__30.97.wav	7ebff0507fbda5ef34795127464479092bbe4b9b0524f45963d6493e990f80fe	no	sí	no	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	Com se n'està parlant de molt públic.  M'agradaria molt públic i va bé, vull dir-s'hi.
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	5ae58c23f4052ae6cec4c027ae68a73d8815470c74464f804e71b0333fa4c75c	sí	sí	sí	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	Continuem com estàvem que m'han estat molt bé fins ara.
pa-029	bé	42.97-46.79	clips/pa-029__b__42.97.wav	446ec5b2d51a02a0ef8a699502b7eb63ec5109afb9ef33a0b01ff6bb6845ab73	no	no	no	i això plenava molt sobre... sense que es digui...	i això plenava molt sobre les seves digues.
pa-030	bé	436.45-441.63	clips/pa-030__b__436.45.wav	a2c22fe4e653269b64a3b7ec83b036a7c3abd3365f8c7cc42117f002eafa0952	sí	no	no	a la llibertat de l'Estat o a la llibertat de l'Estat o a la llibertat de l'Estat.	No hi hagi una mena d'aquestes que podria haver-ho d'explicar.
pa-031	bé	329.13-333.07	clips/pa-031__b__329.13.wav	c680c63dfdd7c2d74eb0878c279ea82bb0eb55725c0691e749bf3a8bcd42792f	no	no	no	A la llarga, sí, no la veia, mala sort, però...	A la llarga sí, no la veia, amb la sort, però...
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	88e847eb334de667032cb557c02e66845e7087862b7c33cae06edb1efa1b65e3	sí	sí	sí	Aquí, aquí, els pasos perduts, el cas que aniva bé, un...	Aquí, aquí, aquí, els patos per duts, el cas que li va bé un...
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	725afb8868c8e1569d935fba4ca043d834faa1535a5b5f66a934de8f1a3ff987	sí	sí	sí	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	que ja estem bé com estem i no ho trobem,  que tot es fa mal bé, i l'hi també hi va ser.
