forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	2	3	sí	small	A nivell de formació de persones,	que té l'esport a nivell de formació de persones					lead-rtva-015__01__a-nivell.wav	1581040	1584280	ASR textual; atribució i audició pendents
a veure	discurs	1	0	no	small	a veure el llit, a la tauleta de neu.						lead-rtva-015__02__a-veure.wav	1858760	1861640	ASR textual; atribució i audició pendents
aleshores	discurs	12	3	sí	small	al primer equip. Aleshores, els 52 es van ser elevats als Jocs Olímpics d'Oslo	Aleshores, els 52 es van ser a l'eval dels Jocs Olímpics de Oslo.					lead-rtva-015__03__aleshores.wav	250600	257800	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	15	10	sí	small	Bueno, jo...Què hi feia vostè, aquí?	Sí, bueno, entre...					lead-rtva-015__05__bueno.wav	208760	211280	ASR textual; atribució i audició pendents
bé	discurs	15	26	sí	small	Bé, efectivament, durant aquests 4 anys,	Va ser lluís molt bé i el francés vit la demà.					lead-rtva-015__06__b.wav	482960	486800	ASR textual; atribució i audició pendents
clar	discurs	3	5	sí	small	Clar, des de llavors, Andorra n'ha fallat a cap situlímpica, no?	Clar. Clar.					lead-rtva-015__07__clar.wav	1368120	1371960	ASR textual; atribució i audició pendents
de fet	discurs	0	0	no											ASR textual; atribució i audició pendents
diguem	discurs	1	1	sí	small	És la caixa, diguem-ne, de les pensions endolanes, no?	La cas, la caixa endurant a la sort de social, és la caixa diguem-ne de les pensions, endurant-s'ho.					lead-rtva-015__09__diguem.wav	2690560	2693440	ASR textual; atribució i audició pendents
doncs	discurs	11	3	sí	small	Elles doncs voldria fer, potser, una mica de memòria del procés.	Doncs hi fos i d'uns cares, no?					lead-rtva-015__10__doncs.wav	83240	87520	ASR textual; atribució i audició pendents
evidentment	discurs	1	1	sí	small	Escolti, tot això, evidentment, podríem donar molts més detalls,	És que el dit tot això, evidentment, podríem donar molts més detalls,					lead-rtva-015__11__evidentment.wav	978640	981680	ASR textual; atribució i audició pendents
llavors	discurs	3	5	sí	small	I quantes en tenies, llavors? allò en teníem dos.	Llavors, el 45 es va crear l'esquí club en valirà.					lead-rtva-015__12__llavors.wav	643800	646280	ASR textual; atribució i audició pendents
no?	discurs	17	17	sí	small	Sí. Per cert, vostè esquiava aquella època o no?	Fins que llibis molt bé va tenir un accident greu, no?					lead-rtva-015__13__no.wav	399320	402120	ASR textual; atribució i audició pendents
o sigui	discurs	10	5	sí	small	o sigui que tenia les facultats plenes per fer les gestions	o sigui que tenia les facultats plenes per fer les gestions					lead-rtva-015__14__o-sigui.wav	519800	525480	ASR textual; atribució i audició pendents
per tant	discurs	0	3	no	base		i la Federació Francesa Piranes és, per tant, més a l'amplitud					lead-rtva-015__15__per-tant.wav	194440	199440	ASR textual; atribució i audició pendents
perquè	discurs	30	31	sí	small	Ho dic a memòria, eh, xis, perquè no tinc datos.	és perquè no tinc data, això ho he tret de retaig de prensa francesa,					lead-rtva-015__16__perqu.wav	126960	131560	ASR textual; atribució i audició pendents
vull dir	discurs	1	1	sí	small	"Quan digui ""independència"", vull dir que es crear l'estat d'Andorra."	Quan diguin dependència, vull dir que es crea l'estat d'endorra.					lead-rtva-015__17__vull-dir.wav	2405320	2409880	ASR textual; atribució i audició pendents
és a dir	discurs	0	0	no											ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	1	0	no	small	La seu d'aquest club era Escaldes.						lead-rtva-015__20__escaldes.wav	154400	157920	ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	4	2	sí	small	Vostè és de Calmicaló, de Surnas, on va néixer a Ordino,	que es sortia d'ordino al demotí i torneu a pujar al migdí					lead-rtva-015__22__ordino.wav	1728080	1731680	ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	0	no											ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	1	1	sí	small	que els comuns no podran donar servei	Ja t'ha anat seguida temes que els comuns no podrà endurà servei					lead-rtva-015__28__comuns.wav	2989920	2994080	ASR textual; atribució i audició pendents
comú	territorial	1	2	sí	small	des del comú d'ordina primer i després des del Consell General.	des del comú, tornin a primer,					lead-rtva-015__29__com.wav	43840	48440	ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	0	0	no											ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
olimpisme	esport	3	1	sí	small	per la seva trajectòria vinculada a l'Olimpisme Endurrà.	P, no, és per mi tres tècades d'olimpisme,					lead-rtva-015__36__olimpisme.wav	1164080	1168520	ASR textual; atribució i audició pendents
olímpic	esport	18	6	sí	small	President honorari del Comitè Olímpic-Andorra va ser la persona	del Comité Olímpic Internacional per tal que el Comité Olímpic					lead-rtva-015__37__ol-mpic.wav	10760	15120	ASR textual; atribució i audició pendents
