id_persona	n_clips	n_consens	n_divergents	formes_consens	formes_divergents	estat_font
pa-001	14	3	11	crec, evidentment, perquè	a nivell, a veure, aleshores, bueno, bé, clar, de fet, llavors, o sigui, vull dir, és a dir	analitzada-provisional-contextual
pa-003	14	7	7	a nivell, crec, de fet, evidentment, perquè, tirar endavant, és a dir	aleshores, aviam, bueno, bé, clar, diguem, ensenyança	analitzada-provisional-contextual
pa-002	13	6	7	a nivell, a veure, bé, crec, evidentment, perquè	bueno, clar, de fet, llavors, reformeta, vull dir, és a dir	analitzada-provisional-contextual
pa-004	6	5	1	bé, de fet, evidentment, perquè, vull dir	doncs	analitzada-provisional-contextual
pa-005	5	2	3	bé, doncs	clar, llavors, o sigui	analitzada-provisional-contextual
pa-006	10	2	8	aleshores, de fet	bé, clar, diguem, doncs, evidentment, llavors, o sigui, perquè	analitzada-provisional-contextual
pa-007	10	7	3	a veure, bé, clar, diguem, evidentment, llavors, perquè	bueno, doncs, és a dir	analitzada-provisional-contextual
pa-008	10	4	6	a veure, aleshores, clar, és a dir	bueno, bé, de fet, diguem, doncs, perquè	analitzada-provisional-contextual
pa-009	8	6	2	bé, clar, doncs, evidentment, o sigui, perquè	diguem, llavors	analitzada-provisional-contextual
pa-010	8	5	3	clar, de fet, doncs, llavors, és a dir	bé, crec, perquè	analitzada-provisional-contextual
pa-011	8	4	4	a veure, bé, de fet, és a dir	aleshores, doncs, evidentment, perquè	analitzada-provisional-contextual
pa-012	4	0	4		aleshores, bé, doncs, perquè	analitzada-provisional-contextual
pa-013	5	1	4	bé	doncs, evidentment, perquè, és a dir	analitzada-provisional-contextual
pa-014	13	6	7	bé, crec, evidentment, o sigui, perquè, vull dir	a veure, aleshores, aviam, clar, doncs, llavors, és a dir	analitzada-provisional-contextual
pa-015	5	2	3	doncs, perquè	bé, llavors, o sigui	analitzada-provisional-contextual
pa-016	15	5	10	a nivell, clar, doncs, evidentment, perquè	a veure, aviam, bueno, bé, crec, de fet, llavors, o sigui, vull dir, és a dir	analitzada-provisional-contextual
pa-017	11	6	5	a nivell, clar, doncs, perquè, vull dir, és a dir	bueno, bé, evidentment, llavors, tirar endavant	analitzada-provisional-contextual
pa-018	11	4	7	a nivell, crec, diguem, perquè	a veure, bueno, bé, clar, doncs, llavors, és a dir	analitzada-provisional-contextual
pa-019	11	5	6	a nivell, bé, crec, diguem, perquè	bueno, clar, doncs, evidentment, llavors, és a dir	analitzada-provisional-contextual
pa-020	11	4	7	aviam, bé, clar, perquè	a nivell, bueno, diguem, doncs, evidentment, tirar endavant, vull dir	analitzada-provisional-contextual
pa-021	11	5	6	bueno, bé, crec, doncs, vull dir	a veure, aleshores, clar, evidentment, perquè, és a dir	analitzada-provisional-contextual
pa-022	15	7	8	a veure, bé, clar, crec, evidentment, o sigui, reformeta	bueno, de fet, diguem, doncs, llavors, perquè, vull dir, és a dir	analitzada-provisional-contextual
pa-023	11	2	9	a veure, bé	a nivell, bueno, crec, de fet, diguem, llavors, perquè, vull dir, és a dir	analitzada-provisional-contextual
pa-024	13	4	9	a nivell, clar, crec, de fet	a veure, bueno, bé, doncs, evidentment, llavors, o sigui, perquè, és a dir	analitzada-provisional-contextual
pa-025	15	7	8	a veure, clar, crec, diguem, evidentment, perquè, reformeta	aleshores, bueno, bé, de fet, doncs, o sigui, vull dir, és a dir	analitzada-provisional-contextual
pa-026	13	3	10	bé, perquè, reformeta	a nivell, a veure, bueno, clar, doncs, evidentment, llavors, o sigui, vull dir, és a dir	analitzada-provisional-contextual
