model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	territorial	Escaldes	10	56.960	60.560	0.0767	# En llaners d'escaldes engordant, canten anglès,	candidat ASR; pendent d'audició
small	discurs	bé	20	80.960	83.760	0.4327	Com estàs? Doncs molt bé, molt agraïda.	candidat ASR; pendent d'audició
small	discurs	doncs	20	80.960	83.760	0.4327	Com estàs? Doncs molt bé, molt agraïda.	candidat ASR; pendent d'audició
small	discurs	de fet	25	92.840	94.840	0.3646	Doncs mira, de fet, no n'estic fent tants,	candidat ASR; pendent d'audició
small	discurs	doncs	25	92.840	94.840	0.3646	Doncs mira, de fet, no n'estic fent tants,	candidat ASR; pendent d'audició
small	discurs	perquè	26	94.920	96.920	0.4057	perquè, com ara m'he passat des del Nadal,	candidat ASR; pendent d'audició
small	discurs	o sigui	28	100.080	102.560	0.3139	Ah, d'acord, o sigui, tu t'has instal·lat a Barcelona,	candidat ASR; pendent d'audició
small	discurs	doncs	32	108.400	110.400	0.7221	Doncs molt bones.	candidat ASR; pendent d'audició
small	discurs	o sigui	33	110.480	114.480	0.1543	O sigui, la primera, per jo, que es pensa la gent que quan surts del programa,	candidat ASR; pendent d'audició
small	discurs	a veure	34	114.560	117.720	0.3099	Això potser més trista, més melancòlica, però res a veure,	candidat ASR; pendent d'audició
small	discurs	perquè	35	117.800	121.080	0.4355	perquè de la manera que vaig sortir vaig veure que vaig agradar moltíssima gent	candidat ASR; pendent d'audició
small	discurs	llavors	37	123.440	125.160	0.3777	Llavors la gent de la seva va ser molt positiva.	candidat ASR; pendent d'audició
small	discurs	doncs	43	137.360	139.160	0.8217	Doncs no, simplement és un orgull.	candidat ASR; pendent d'audició
small	discurs	doncs	48	151.040	153.480	0.6054	i ser el primer, doncs, això era una alegria.	candidat ASR; pendent d'audició
small	discurs	perquè	52	162.640	164.640	0.4072	o al contrari, et fan allunyar-te perquè dius,	candidat ASR; pendent d'audició
small	discurs	clar	57	174.800	177.280	0.2078	Ho tenia molt clar, però ho he de confirmar, com ve dius,	candidat ASR; pendent d'audició
small	discurs	vull dir	58	177.360	180.240	0.3327	i si és la confirmació de què vull dir Carme, això, de per vida.	candidat ASR; pendent d'audició
small	discurs	o sigui	59	180.320	183.320	0.4771	O sigui, tu ja tens aquesta decisió pres en 18 anys, eh?	candidat ASR; pendent d'audició
small	discurs	o sigui	63	190.040	193.000	0.0837	Ah, cort, o sigui, tu ja dius... i a quines portes et vas quedar?	candidat ASR; pendent d'audició
small	discurs	o sigui	65	195.040	197.040	0.2183	O sigui, és que ja la porta ha caigut d'entrar,	candidat ASR; pendent d'audició
small	discurs	llavors	68	201.280	208.120	0.2170	Estic en alguns, comencen a sortir i estic en buscar per fer molts, llavors sí, ja comencen.	candidat ASR; pendent d'audició
small	discurs	doncs	70	214.720	219.640	0.1050	Doncs mira, aquí en dos, l'auditori nacional m'agrada fer un concert com allà, això seria com un somni.	candidat ASR; pendent d'audició
small	discurs	a nivell	72	225.920	231.120	0.1120	I després, a nivell d'artista, jo et diria potser un art de triomf amb un praia de Barcelona o alguna cosa així,	candidat ASR; pendent d'audició
small	discurs	perquè	75	237.240	240.960	0.1691	es dit que és molt fort perquè fa just un mes que va ser la primera gala,	candidat ASR; pendent d'audició
small	discurs	a veure	77	245.400	249.160	0.5563	i que vas poder cantar aquesta cançó que estem escoltant ara. A veure, pugem-la.	candidat ASR; pendent d'audició
small	discurs	perquè	80	262.160	265.440	0.5649	perquè tu balles, cantes, mirades, fixa càmera,	candidat ASR; pendent d'audició
small	discurs	a nivell	81	265.520	268.080	0.4335	que és una actuació com per veure també a nivell visual.	candidat ASR; pendent d'audició
small	discurs	perquè	83	270.920	273.440	0.8014	Jo diria que sí, però perquè és la actuació	candidat ASR; pendent d'audició
small	discurs	o sigui	85	275.600	278.040	0.1363	"O sigui, quan em van dir que ja anava a cantar ""Logon Tons"","	candidat ASR; pendent d'audició
small	discurs	o sigui	86	278.120	281.120	0.0857	perquè no ho decidim, o sigui, ens donem ills a la Gala, ho vull dir,	candidat ASR; pendent d'audició
small	discurs	perquè	86	278.120	281.120	0.0857	perquè no ho decidim, o sigui, ens donem ills a la Gala, ho vull dir,	candidat ASR; pendent d'audició
small	discurs	vull dir	86	278.120	281.120	0.0857	perquè no ho decidim, o sigui, ens donem ills a la Gala, ho vull dir,	candidat ASR; pendent d'audició
small	discurs	perquè	87	281.200	284.160	0.2395	"va ser un despertar, perquè a ""Logon Tons""..."	candidat ASR; pendent d'audició
small	discurs	perquè	88	284.240	288.680	0.1594	És l'artista de la meva infància perquè la cultura francesa forma part de mi.	candidat ASR; pendent d'audició
small	discurs	llavors	89	289.080	292.480	0.1905	Llavors vam dir que cantaràs, ballaràs i cantaràs amb un francès.	candidat ASR; pendent d'audició
small	discurs	no?	92	297.080	299.720	0.2490	Al final és el que vull fer com artista, no?	candidat ASR; pendent d'audició
small	discurs	llavors	93	299.800	302.480	0.1771	Ballar, donar això, cantar, llavors va ser almenys.	candidat ASR; pendent d'audició
small	discurs	o sigui	95	306.240	308.480	0.2808	O sigui, això és... Què es va veure?	candidat ASR; pendent d'audició
small	discurs	doncs	100	318.040	320.040	0.8034	Doncs no m'hi veia tant.	candidat ASR; pendent d'audició
