segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
1	0.000	7.840	indeterminat	baixa	no hi ha senyal textual suficient	Gràcies, senyora sindica, senyores consellers i senyors consellers generals.	heurística textual; pendent d'audició
2	7.840	12.960	indeterminat	baixa	no hi ha senyal textual suficient	Comparé avui davant del Consell General per exposar un programa de govern	heurística textual; pendent d'audició
3	12.960	16.000	indeterminat	baixa	no hi ha senyal textual suficient	amb el qual espero obtenir la val d'aquesta càmera.	heurística textual; pendent d'audició
4	16.000	20.560	indeterminat	baixa	no hi ha senyal textual suficient	Un programa que és el fruit de dies i setmanes de treball intens	heurística textual; pendent d'audició
5	20.560	23.840	indeterminat	baixa	no hi ha senyal textual suficient	per acostar posicions entre diverses forces polítiques	heurística textual; pendent d'audició
6	23.840	28.000	indeterminat	baixa	no hi ha senyal textual suficient	i teixir així una majoria sòlida que ens permeti encarar els reptes	heurística textual; pendent d'audició
7	28.000	31.440	indeterminat	baixa	no hi ha senyal textual suficient	que en d'or reté plantejats per als propers 4 anys.	heurística textual; pendent d'audició
8	31.520	34.200	xavier-espot-probable	baixa	primera persona i resposta desenvolupada	Crec que és apropiat que comenci per referir-me	heurística textual; pendent d'audició
9	34.280	37.800	indeterminat	baixa	no hi ha senyal textual suficient	els resultats de les eleccions generals del passat 7 d'abril,	heurística textual; pendent d'audició
10	37.880	41.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè és en virtut d'aquells resultats que avui estem aquí	heurística textual; pendent d'audició
11	41.120	45.240	indeterminat	baixa	no hi ha senyal textual suficient	i que l'equilibri de forces al Consell General és el que és.	heurística textual; pendent d'audició
12	45.320	47.520	indeterminat	baixa	no hi ha senyal textual suficient	Ho deia la senyora Sindica General	heurística textual; pendent d'audició
13	47.600	49.680	indeterminat	baixa	no hi ha senyal textual suficient	en el Parlament que va adreçar a la Cambra	heurística textual; pendent d'audició
14	49.760	51.960	indeterminat	baixa	no hi ha senyal textual suficient	en el moment de ser escollida.	heurística textual; pendent d'audició
15	52.040	55.760	indeterminat	baixa	no hi ha senyal textual suficient	Les eleccions del 7 d'abril van dibuixar un nou escenari polític,	heurística textual; pendent d'audició
16	55.840	58.760	indeterminat	baixa	no hi ha senyal textual suficient	El gran nombre de forces representades a l'art parlamentari	heurística textual; pendent d'audició
17	58.760	61.760	indeterminat	baixa	no hi ha senyal textual suficient	demostra la pluralitat de la societat andorrana,	heurística textual; pendent d'audició
18	61.760	66.240	indeterminat	baixa	no hi ha senyal textual suficient	una societat que per diversa no pot deixar d'avançar com una de sola,	heurística textual; pendent d'audició
19	66.240	69.000	indeterminat	baixa	no hi ha senyal textual suficient	atenent les legítimes aspiracions de tothom	heurística textual; pendent d'audició
20	69.000	72.760	indeterminat	baixa	no hi ha senyal textual suficient	i trobant aquells elements que ens uneixen.	heurística textual; pendent d'audició
21	72.760	76.400	indeterminat	baixa	no hi ha senyal textual suficient	En efecte, els responsables polítics no podem fer altra cosa	heurística textual; pendent d'audició
22	76.400	80.800	indeterminat	baixa	no hi ha senyal textual suficient	que recollir, respectar i donar compliment a aquest mandat de pluralitat	heurística textual; pendent d'audició
23	80.800	84.440	indeterminat	baixa	no hi ha senyal textual suficient	i de recerca del consens que mana de la voluntat popular	heurística textual; pendent d'audició
24	84.440	87.480	indeterminat	baixa	no hi ha senyal textual suficient	d'expressar de les urnes el passat 7 d'abril.	heurística textual; pendent d'audició
25	87.560	91.400	indeterminat	baixa	no hi ha senyal textual suficient	Les endorranes i els endorrans ens han dit de forma clara	heurística textual; pendent d'audició
26	91.480	96.240	indeterminat	baixa	no hi ha senyal textual suficient	que volen un consell plural i, per tant, un govern plural.	heurística textual; pendent d'audició
27	96.320	99.640	indeterminat	baixa	no hi ha senyal textual suficient	Ens demanen que exercim les responsabilitats de govern	heurística textual; pendent d'audició
28	99.720	103.400	indeterminat	baixa	no hi ha senyal textual suficient	de manera col·legiada sent capaços d'integrar la diversitat	heurística textual; pendent d'audició
29	103.480	107.480	indeterminat	baixa	no hi ha senyal textual suficient	al tom d'un projecte comú en benefici de totes les persones.	heurística textual; pendent d'audició
30	108.560	111.480	indeterminat	baixa	no hi ha senyal textual suficient	És per això que, des de l'endemà mateix de les eleccions,	heurística textual; pendent d'audició
31	111.560	115.960	xavier-espot-probable	baixa	primera persona i resposta desenvolupada	el meu equip i jo ens van posar treballant la construcció d'aquesta pluralitat,	heurística textual; pendent d'audició
32	115.960	119.960	indeterminat	baixa	no hi ha senyal textual suficient	que és a la vegada un bandat popular i una necessitat.	heurística textual; pendent d'audició
