id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-002-ian-moya	spk-001	9	Escaldes,bé,clar,de fet,doncs,evidentment,llavors,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-002	12	a nivell,a veure,bé,clar,de fet,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-003	10	Escaldes,a veure,bé,clar,de fet,doncs,no?,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-004	4	bé,doncs,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-005	10	Escaldes,a veure,bé,clar,doncs,evidentment,llavors,no?,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-006	7	a veure,bé,clar,doncs,llavors,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-007	12	Escaldes,a nivell,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-008	8	a nivell,a veure,bé,de fet,doncs,llavors,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-009	9	Escaldes,a nivell,bé,clar,de fet,doncs,llavors,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-010	10	a nivell,a veure,bé,clar,doncs,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-011	9	Escaldes,a nivell,bé,de fet,evidentment,llavors,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-012	10	a nivell,a veure,bé,clar,doncs,llavors,no?,o sigui,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-013	3	clar,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-014	11	a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-015	11	bé,clar,de fet,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-016	12	Escaldes,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-017	9	a veure,bé,de fet,doncs,evidentment,no?,per tant,perquè,és a dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-018	11	Escaldes,a nivell,a veure,bé,clar,doncs,evidentment,llavors,no?,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-002-ian-moya	spk-019	8	Escaldes,bé,de fet,doncs,evidentment,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
