forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	0	no	small	O sigui, a nivell... Això el parlàvem de precedències.		0.1426	0.7950			lead-rtva-030__01__a-nivell.wav	2271680	2275160	ASR textual; atribució i audició pendents
a veure	discurs	7	3	sí	small	A veure si em trobes el bastó del Hércules Puero,	A veure, estàs a negociar dels 52,	0.2404	0.7706	0.0720	0.6785	lead-rtva-030__02__a-veure.wav	167200	170400	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	1	0	no	small	Aviam col·laborats junts en parts difícils.		0.5296	0.8751			lead-rtva-030__04__aviam.wav	656280	659080	ASR textual; atribució i audició pendents
bueno	discurs	6	7	sí	small	Bueno, a Andorra hi ha hagut, temps enrere,	Bueno, quan jo vaig entrar a...	0.1915	0.7763	0.3243	0.7169	lead-rtva-030__05__bueno.wav	542800	546040	ASR textual; atribució i audició pendents
bé	discurs	21	13	sí	small	I alguna cosa no va anar bé?	-Oh! I alguna cosa no va anar bé? -És fent, desòfers.	0.0993	0.7156	0.1459	0.6499	lead-rtva-030__06__b.wav	374320	378440	ASR textual; atribució i audició pendents
clar	discurs	10	8	sí	small	Però ell, i clar, el meu pare és la meva senyora d'aquí de la seu,	Però ell, i clar, a un pare o a més o a un senyor l'equip de la seva,	0.0280	0.6411	0.0602	0.5345	lead-rtva-030__07__clar.wav	432880	437520	ASR textual; atribució i audició pendents
de fet	discurs	2	0	no	small	De fet, tot estava per fer, com deia el Pueta,		0.3121	0.8702			lead-rtva-030__08__de-fet.wav	835880	838320	ASR textual; atribució i audició pendents
diguem	discurs	2	1	sí	small	d'una dòrrer, diguem, quasi ben medieval,	Això va anar a seguir, diguem-ho, no?	0.3009	0.7600	0.0379	0.4884	lead-rtva-030__09__diguem.wav	89080	94240	ASR textual; atribució i audició pendents
doncs	discurs	6	2	sí	small	Tinc, doncs, no ho sé, 150 o 160.	-Doncs li ver la dèria de col·leccionar llibres.	0.1081	0.6973	0.2208	0.6668	lead-rtva-030__10__doncs.wav	157520	159560	ASR textual; atribució i audició pendents
evidentment	discurs	1	0	no	small	evidentment no li van caure bé, eh?		0.2761	0.7781			lead-rtva-030__11__evidentment.wav	1400080	1402080	ASR textual; atribució i audició pendents
llavors	discurs	8	1	sí	small	Llavors, al casar-se, la família, la dona, va portar com a dot,	Llavors, jo em quedava a casa i si trocava un peixer és al senyor Alai.	0.3222	0.7832	0.1657	0.5909	lead-rtva-030__12__llavors.wav	228920	234000	ASR textual; atribució i audició pendents
no?	discurs	21	15	sí	small	Però em va canviar el sistema de funcionariat, no?	la 16 endavant, no? És un tòtat, això, no?	0.3241	0.8852	0.0357	0.7488	lead-rtva-030__13__no.wav	107040	111160	ASR textual; atribució i audició pendents
o sigui	discurs	3	0	no	small	O sigui que de pràctica... pràcticament no feia res allà.		0.3528	0.8340			lead-rtva-030__14__o-sigui.wav	604200	607600	ASR textual; atribució i audició pendents
per tant	discurs	2	1	sí	small	Vostè, per tant, es va formar a França...	Per tant, amb les cadencials,	0.4188	0.8987	0.0224	0.4250	lead-rtva-030__15__per-tant.wav	451440	453680	ASR textual; atribució i audició pendents
perquè	discurs	43	29	sí	small	perquè, si no, no ens hi cabrà, eh?	Perquè si no, no ens hi cabraré.	0.4762	0.8252	0.2627	0.6308	lead-rtva-030__16__perqu.wav	62120	64120	ASR textual; atribució i audició pendents
vull dir	discurs	2	0	no	small	Al moment d'anar-te'l, si vull dir, jo no puc fer...		0.1392	0.6828			lead-rtva-030__17__vull-dir.wav	961200	963760	ASR textual; atribució i audició pendents
és a dir	discurs	0	0	no											ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	0	0	no											ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	2	0	no	small	el que van dir després, l'Espana Andorrana.		0.2935	0.7366			lead-rtva-030__25__andorrana.wav	362720	364920	ASR textual; atribució i audició pendents
comunal	territorial	0	2	no	base		el 80% o 88% del terreny on donen d'orra és comunal.			0.1978	0.6359	lead-rtva-030__26__comunal.wav	2983040	2987600	ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	0	0	no											ASR textual; atribució i audició pendents
comú	territorial	0	1	no	base		Els Junqués ha fet una sesió al comú d'ordinó			0.2619	0.6531	lead-rtva-030__29__com.wav	2307800	2312840	ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	0	0	no											ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
educació	societat	0	0	no											ASR textual; atribució i audició pendents
escola	societat	4	2	sí	small	I què n'ha quedat d'aquella escola, avui?	I què n'ha quedat d'aquella escola avui?	0.4202	0.8862	0.0496	0.6645	lead-rtva-030__37__escola.wav	1884440	1886440	ASR textual; atribució i audició pendents
història	memòria	1	1	sí	small	Escolta, em podria dir 3 noms capdals de la història d'Andorra,	Em podria dir tres noms capdals de la història d'endorra	0.4973	0.8865	0.1454	0.7789	lead-rtva-030__38__hist-ria.wav	2200480	2204720	ASR textual; atribució i audició pendents
cultura	cultura	0	1	no	base		Jo era veterinari i secretari de l'Ajuntament de Cri Cultura.			0.0328	0.6539	lead-rtva-030__39__cultura.wav	869640	875480	ASR textual; atribució i audició pendents
patrimoni	cultura	0	0	no											ASR textual; atribució i audició pendents
tradició	cultura	3	1	sí	small	una família amb una tradició molt clara,	una família amb una tradició molt clara,	0.8263	0.9694	0.6345	0.9306	lead-rtva-030__41__tradici.wav	201040	204080	ASR textual; atribució i audició pendents
poble	societat	0	1	no	base		Tenien poble que jo em dedica...			0.2531	0.5645	lead-rtva-030__42__poble.wav	991800	993760	ASR textual; atribució i audició pendents
família	societat	3	2	sí	small	A la Cisco de Sants, endorra la vella, que regentava la seva família,	A la xisco de sants andorlabilla que regentava la seva família,	0.3888	0.8212	0.0342	0.5456	lead-rtva-030__43__fam-lia.wav	197880	200960	ASR textual; atribució i audició pendents
muntanya	territori	0	0	no											ASR textual; atribució i audició pendents
paisatge	territori	0	0	no											ASR textual; atribució i audició pendents
memòria	memòria	9	8	sí	small	per fer memòria d'un país.	I a poca gent a principi t'endorre que no hagi sentit a parlar de la persona que avui ens acompanya per fer memòria d'un país.	0.8597	0.9788	0.0924	0.7667	lead-rtva-030__46__mem-ria.wav	20840	22840	ASR textual; atribució i audició pendents
Andorra	toponim	24	4	sí	small	Que feia el trajecte d'Andorra a la seu,	Andorra hi havia una casa, que es deia casa de sants.	0.2336	0.7795	0.3083	0.7791	lead-rtva-030__47__andorra.wav	365000	368000	ASR textual; atribució i audició pendents
comerç	economia	2	1	sí	small	A l'època, a part de la venta dels animals, del comerç,	part de la venta dels animals, del comerç,	0.3437	0.8615	0.3576	0.7396	lead-rtva-030__48__comer.wav	2526160	2530600	ASR textual; atribució i audició pendents
empresa	economia	3	1	sí	small	En el Tom Cruise fa de Bogot, és una empresa de Bogots,	l'empresa aquesta, porti 2.000 anys d'existència	0.2767	0.6279	0.5141	0.7867	lead-rtva-030__49__empresa.wav	751240	755560	ASR textual; atribució i audició pendents
joventut	societat	0	0	no											ASR textual; atribució i audició pendents
esports	esport	0	0	no											ASR textual; atribució i audició pendents
museu	cultura	0	0	no											ASR textual; atribució i audició pendents
biblioteca	cultura	1	0	no	small	I jo la meva biblioteca no la tinc ordenada.		0.1598	0.7822			lead-rtva-030__53__biblioteca.wav	1585640	1588200	ASR textual; atribució i audició pendents
arxiu	cultura	0	0	no											ASR textual; atribució i audició pendents
federació	esport	0	0	no											ASR textual; atribució i audició pendents
ministres	institucions	1	0	no	small	Parla més de cíndics que de ministres.		0.7379	0.9281			lead-rtva-030__56__ministres.wav	2261080	2263080	ASR textual; atribució i audició pendents
Govern	institucions	10	6	sí	small	Això era abans que hi hagués govern?	Això era abans que hi hagués govern?	0.6075	0.9214	0.2267	0.7793	lead-rtva-030__57__govern.wav	730680	732680	ASR textual; atribució i audició pendents
conseller	institucions	6	5	sí	small	El meu pare va ser conseller de l'any 48 del 53.	El meu pare va ser conseller de l'any 1998 als 53.	0.2627	0.8417	0.2159	0.7135	lead-rtva-030__58__conseller.wav	1005560	1010240	ASR textual; atribució i audició pendents
consell	institucions	11	7	sí	small	I el consell va contractar un senyor...	Quina llera? Quan jo vaig entrar al consell.	0.5226	0.9059	0.1044	0.7054	lead-rtva-030__59__consell.wav	559720	565720	ASR textual; atribució i audició pendents
futbol	esport	0	0	no											ASR textual; atribució i audició pendents
bàsquet	esport	0	0	no											ASR textual; atribució i audició pendents
pavelló	esport	0	0	no											ASR textual; atribució i audició pendents
pavelló Toni Martí	esport	0	0	no											ASR textual; atribució i audició pendents
Comitè Olímpic	esport	0	0	no											ASR textual; atribució i audició pendents
Comú d’Andorra la Vella	institucions	0	0	no											ASR textual; atribució i audició pendents
Andorra la Vella	toponim	0	0	no											ASR textual; atribució i audició pendents
La Massana	toponim	0	0	no											ASR textual; atribució i audició pendents
Santa Coloma	toponim	0	0	no											ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
andorrans	gentilici	1	0	no	small	Més tard, van muntar-ho amb un grup d'Andorrans		0.2703	0.7361			lead-rtva-030__70__andorrans.wav	358040	361040	ASR textual; atribució i audició pendents
projecte	institucions	0	0	no											ASR textual; atribució i audició pendents
concessió	institucions	0	0	no											ASR textual; atribució i audició pendents
estadi	esport	0	0	no											ASR textual; atribució i audició pendents
esdeveniment	cultura	0	0	no											ASR textual; atribució i audició pendents
premis	cultura	0	0	no											ASR textual; atribució i audició pendents
Toni Martí	memòria	0	0	no											ASR textual; atribució i audició pendents
jocs	esport	0	0	no											ASR textual; atribució i audició pendents
festa	cultura	5	1	sí	small	Però un any per la feina, per la festa de fi d'any,	però un any, per fi, per la rebenya de la festa de fidany,	0.1964	0.7330	0.1833	0.4994	lead-rtva-030__78__festa.wav	1486240	1491840	ASR textual; atribució i audició pendents
equip	esport	0	1	no	base		Però ell, i clar, a un pare o a més o a un senyor l'equip de la seva,			0.0602	0.5345	lead-rtva-030__79__equip.wav	436960	441320	ASR textual; atribució i audició pendents
català	sociolingüística	0	1	no	base		Jo tinc un, mai rebel català, que la setmana passada per internet,			0.0421	0.6269	lead-rtva-030__80__catal.wav	1980880	1984440	ASR textual; atribució i audició pendents
francès	contacte	4	0	no	small	perquè vaig aprendre francès.		0.5176	0.8623			lead-rtva-030__81__franc-s.wav	456760	458760	ASR textual; atribució i audició pendents
castellà	contacte	0	0	no											ASR textual; atribució i audició pendents
hipermotion	esport	0	0	no											ASR textual; atribució i audició pendents
lliga	esport	0	0	no											ASR textual; atribució i audició pendents
comissió legislativa	institucions	0	0	no											ASR textual; atribució i audició pendents
