id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-003-dj-neura	spk-001	5	aleshores,bé,clar,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-002	7	a veure,aleshores,bueno,bé,clar,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-003	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-004	4	aleshores,bé,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-005	7	a veure,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-006	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-007	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-008	6	a veure,aleshores,bueno,bé,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-009	4	bé,clar,doncs,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-010	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-011	4	bueno,bé,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-012	7	a veure,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-013	3	clar,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-014	6	a veure,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-015	6	bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-016	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-017	6	a veure,aleshores,bé,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-018	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-019	4	bé,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-020	7	a veure,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-021	7	a veure,aleshores,bueno,bé,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-022	6	bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-023	2	bueno,doncs	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-003-dj-neura	spk-024	8	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
