forma	peces	parlants	comptatge_total	veredicte
bé	59	pa-001,pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-045,pa-046,pa-048,pa-049,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	409	candidat compartit
de fet	23	pa-001,pa-002,pa-003,pa-004,pa-006,pa-008,pa-010,pa-011,pa-016,pa-022,pa-023,pa-024,pa-025,pa-027,pa-028,pa-031,pa-033,pa-040,pa-051,pa-057,pa-060,pa-065,pa-066	39	candidat compartit
és a dir	40	pa-001,pa-002,pa-003,pa-007,pa-008,pa-010,pa-011,pa-013,pa-014,pa-016,pa-017,pa-018,pa-019,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-029,pa-030,pa-033,pa-034,pa-035,pa-039,pa-041,pa-043,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-062,pa-064,pa-065	176	candidat compartit
aleshores	20	pa-001,pa-003,pa-006,pa-008,pa-011,pa-012,pa-014,pa-021,pa-025,pa-030,pa-031,pa-032,pa-045,pa-046,pa-048,pa-049,pa-056,pa-060,pa-063,pa-065	88	candidat compartit
evidentment	36	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-009,pa-011,pa-013,pa-014,pa-016,pa-017,pa-019,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-030,pa-035,pa-036,pa-039,pa-040,pa-041,pa-045,pa-046,pa-049,pa-055,pa-056,pa-059,pa-061,pa-062,pa-064,pa-066	108	candidat compartit
diguem	25	pa-003,pa-006,pa-007,pa-008,pa-009,pa-018,pa-019,pa-020,pa-022,pa-023,pa-025,pa-027,pa-028,pa-029,pa-033,pa-034,pa-037,pa-038,pa-039,pa-046,pa-049,pa-057,pa-058,pa-060,pa-062	39	candidat compartit
crec	39	pa-001,pa-002,pa-003,pa-010,pa-014,pa-016,pa-018,pa-019,pa-021,pa-022,pa-023,pa-024,pa-025,pa-027,pa-030,pa-031,pa-034,pa-035,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-056,pa-058,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	232	candidat compartit
bueno	48	pa-001,pa-002,pa-003,pa-007,pa-008,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-041,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-065,pa-066	392	candidat compartit
clar	51	pa-001,pa-002,pa-003,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-014,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-055,pa-056,pa-057,pa-058,pa-059,pa-061,pa-062,pa-063,pa-064,pa-065	388	candidat compartit
vull dir	34	pa-001,pa-002,pa-004,pa-014,pa-016,pa-017,pa-020,pa-021,pa-022,pa-023,pa-025,pa-026,pa-027,pa-030,pa-031,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-041,pa-045,pa-048,pa-049,pa-055,pa-056,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-065	306	candidat compartit
