id_a	id_b	n_formes_compartides	formes	estat
lead-rtva-004-joan-mico	spk-001	7	bé,clar,de fet,doncs,llavors,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-002	11	bueno,bé,clar,comuns,de fet,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-003	8	bueno,bé,clar,de fet,doncs,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-004	4	bé,doncs,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-005	7	bueno,bé,clar,doncs,llavors,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-006	8	bueno,bé,clar,doncs,llavors,no?,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-007	9	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-008	7	bueno,bé,de fet,doncs,llavors,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-009	7	bé,clar,de fet,doncs,llavors,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-010	9	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-011	7	bueno,bé,de fet,llavors,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-012	9	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-013	3	clar,no?,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-014	8	bé,clar,doncs,llavors,no?,o sigui,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-015	12	bueno,bé,clar,comuns,de fet,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-016	10	bueno,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-017	6	bé,de fet,doncs,no?,per tant,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-018	9	bueno,bé,clar,doncs,llavors,no?,o sigui,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-019	7	bé,de fet,doncs,no?,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-020	10	bueno,bé,clar,comuns,de fet,doncs,llavors,no?,o sigui,perquè	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-021	9	bueno,bé,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-022	8	bueno,bé,clar,comuns,doncs,no?,perquè,vull dir	candidat RTVA; consens ASR textual; pendent d'audició
lead-rtva-004-joan-mico	spk-023	2	bueno,doncs	candidat RTVA; consens ASR textual; pendent d'audició
