id_persona	forma	interval_escolta	clip	json_small	n_matches	token_match	token_matches
pa-001	bé	49.17-54.35	clips/pa-001__b__49.17.wav	qa-cua-small-json/pa-001__b__49_17.json	0	no	[]
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	qa-cua-small-json/pa-002__b__348_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.800"",""local_end_s"":""3.950"",""absolute_start_s"":""352.050"",""absolute_end_s"":""352.200"",""prob_min"":""0.2970"",""text"":""bé""}]"
pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav	qa-cua-small-json/pa-003__b__0_00.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.100"",""local_end_s"":""0.400"",""absolute_start_s"":""0.100"",""absolute_end_s"":""0.400"",""prob_min"":""0.3207"",""text"":""Bé""}]"
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	qa-cua-small-json/pa-004__b__319_61.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.280"",""local_end_s"":""1.540"",""absolute_start_s"":""320.890"",""absolute_end_s"":""321.150"",""prob_min"":""0.9828"",""text"":""bé""}]"
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	qa-cua-small-json/pa-005__b__51_09.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.520"",""local_end_s"":""2.000"",""absolute_start_s"":""52.610"",""absolute_end_s"":""53.090"",""prob_min"":""0.9921"",""text"":""bé""}]"
pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	qa-cua-small-json/pa-006__b__151_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.350"",""local_end_s"":""3.600"",""absolute_start_s"":""154.600"",""absolute_end_s"":""154.850"",""prob_min"":""0.8041"",""text"":""bé""}]"
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	qa-cua-small-json/pa-007__b__59_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""0.670"",""local_end_s"":""0.930"",""absolute_start_s"":""59.920"",""absolute_end_s"":""60.180"",""prob_min"":""0.6477"",""text"":""bé""}]"
pa-008	bé	61.25-65.75	clips/pa-008__b__61.25.wav	qa-cua-small-json/pa-008__b__61_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""1.890"",""local_end_s"":""2.020"",""absolute_start_s"":""63.140"",""absolute_end_s"":""63.270"",""prob_min"":""0.4059"",""text"":""bé""}]"
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	qa-cua-small-json/pa-009__b__557_25.json	1	sí	"[{""occurrence"":1,""local_start_s"":""3.060"",""local_end_s"":""3.430"",""absolute_start_s"":""560.310"",""absolute_end_s"":""560.680"",""prob_min"":""0.9969"",""text"":""bé""}]"
pa-010	bé	24.65-31.67	clips/pa-010__b__24.65.wav	qa-cua-small-json/pa-010__b__24_65.json	0	no	[]
