id_a	id_b	n_formes_compartides	formes	estat
spk-001	spk-003	5	aleshores,bé,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-004	3	aleshores,bé,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-005	5	bé,clar,diguem,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-006	5	aleshores,bé,clar,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-007	6	aleshores,bé,clar,diguem,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-008	3	de fet,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-009	5	bé,clar,de fet,diguem,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-010	3	bé,doncs,o sigui	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-011	3	bé,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-014	4	bé,clar,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-015	4	clar,de fet,diguem,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-016	5	aleshores,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-017	4	bé,de fet,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-018	5	bé,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-019	3	bé,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-020	3	bé,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-022	5	bé,clar,diguem,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-024	6	aleshores,clar,de fet,diguem,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-026	4	bé,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-027	3	diguem,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-028	4	bé,clar,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-030	4	aleshores,bé,diguem,doncs	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-033	5	aleshores,clar,de fet,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-035	3	clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-036	3	bé,doncs,o sigui	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-037	5	bé,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-038	3	bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-040	3	clar,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-041	4	bé,clar,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-042	6	aleshores,bé,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-043	3	clar,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-044	6	bé,clar,de fet,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-046	3	bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-048	3	bé,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-049	4	bé,clar,de fet,doncs	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-050	5	bé,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-053	4	bé,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-054	5	bé,clar,doncs,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-055	3	bé,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-056	3	bé,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-057	4	bé,clar,o sigui,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-001	spk-059	4	clar,de fet,doncs,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-005	3	evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-007	4	crec,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-008	4	crec,de fet,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-009	3	de fet,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-011	5	crec,de fet,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-015	4	crec,de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-016	4	crec,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-017	3	de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-018	3	evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-019	3	de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-024	4	crec,de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-025	3	crec,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-026	5	crec,de fet,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-029	4	crec,de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-031	3	crec,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-033	3	crec,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-035	4	crec,de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-037	3	crec,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-038	3	crec,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-039	3	crec,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-040	3	crec,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-041	3	crec,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-043	3	evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-044	5	crec,de fet,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-045	3	crec,evidentment,llavors	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-046	4	crec,evidentment,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-053	4	crec,de fet,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-054	3	crec,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-057	3	crec,evidentment,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-002	spk-059	4	crec,de fet,llavors,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-004	3	aleshores,bé,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-005	5	a veure,bé,clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-006	4	aleshores,bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-007	5	a veure,aleshores,bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-008	4	a veure,de fet,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-009	5	bé,clar,de fet,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-010	3	a veure,bé,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-011	3	bé,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-014	5	a veure,bé,clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-015	4	clar,de fet,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-016	5	a veure,aleshores,clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-017	5	a veure,bé,de fet,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-018	4	a veure,bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-019	3	bé,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-022	3	bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-024	5	a veure,aleshores,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-026	5	a veure,bé,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-028	4	a veure,bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-030	3	aleshores,bé,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-031	3	a veure,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-033	5	a veure,aleshores,clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-035	3	clar,de fet,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-037	3	bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-038	4	a veure,bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-040	4	a veure,clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-041	3	bé,clar,perquè	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-042	5	aleshores,bé,clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
spk-003	spk-043	3	clar,perquè,és a dir	semblança textual small; no és relació dialectal; pendent d’audició
