forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	3	3	sí	small	El juliol comença la guerra civil del 36 i s'acaba a nivell espanyol general a l'abril del 39	i s'acabe a nivell espanyol general, a l'abril del 39.	0.4578	0.8988	0.2138	0.7417	lead-yt-050__01__a-nivell.wav	451280	459040	ASR textual; atribució i audició pendents
a veure	discurs	3	4	sí	small	anem a portar-nos a veure.	jo crec, per a mi, com és per a veure com a lectura d'història.	0.0839	0.7352	0.1041	0.5740	lead-yt-050__02__a-veure.wav	704420	706420	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	7	6	sí	small	I ens agrada que ens diguin, bueno, si no és històric, va ser mític.	Bueno, bueno, d'entrar de no la bona,	0.2880	0.9025	0.3046	0.7005	lead-yt-050__05__bueno.wav	17200	21120	ASR textual; atribució i audició pendents
bé	discurs	17	19	sí	small	Bé, doncs molt content d'estar aquí amb tu, aquí al programa.	Bé, doncs, molt content d'estar aquí amb tu, aquí al programa.	0.6946	0.8820	0.1446	0.7036	lead-yt-050__06__b.wav	31760	35760	ASR textual; atribució i audició pendents
clar	discurs	19	14	sí	small	Però, clar, al final és la meva feina, llavors.	a la massa d'abres, per fer aquest tocho. Però clar, al final és la meva feina, ja vols.	0.3593	0.8173	0.1292	0.6696	lead-yt-050__07__clar.wav	79120	81560	ASR textual; atribució i audició pendents
de fet	discurs	0	2	no	base		i que ara de fet, a Cal-Pal, que és la casa peirada de la família, a la cortinada,			0.0157	0.6298	lead-yt-050__08__de-fet.wav	985560	989000	ASR textual; atribució i audició pendents
diguem	discurs	0	0	no											ASR textual; atribució i audició pendents
doncs	discurs	21	26	sí	small	Bé, doncs molt content d'estar aquí amb tu, aquí al programa.	Bé, doncs, molt content d'estar aquí amb tu, aquí al programa.	0.6946	0.8820	0.1446	0.7036	lead-yt-050__10__doncs.wav	31760	35760	ASR textual; atribució i audició pendents
evidentment	discurs	22	21	sí	small	però també evidentment en Dorre per la proximitat, perquè al final es fem a 10 minuts en cotxe a dos quilòmetres	però també evidentment l'endorre per la proximitat,	0.1424	0.7679	0.2399	0.7995	lead-yt-050__11__evidentment.wav	149840	155440	ASR textual; atribució i audició pendents
llavors	discurs	9	4	sí	small	Però, clar, al final és la meva feina, llavors.	o al nord de França, llavors, evidentment un conflicte com a la guerra civil,	0.3593	0.8173	0.2363	0.7422	lead-yt-050__12__llavors.wav	79120	81560	ASR textual; atribució i audició pendents
no?	discurs	22	20	sí	small	Tenim una mica el que passa avui en dia, tot i que no sempre acabi lligant, no?	que no sempre acabi lligant, no?	0.0950	0.7141	0.0714	0.5344	lead-yt-050__13__no.wav	137520	141180	ASR textual; atribució i audició pendents
o sigui	discurs	0	0	no											ASR textual; atribució i audició pendents
per tant	discurs	18	11	sí	small	Per tant, clar, tot el que afecta l'Espanya, afecta encara més el país.	els mesos distiu. Per tant, clar,	0.1952	0.7856	0.2595	0.7224	lead-yt-050__15__per-tant.wav	249360	252360	ASR textual; atribució i audició pendents
perquè	discurs	40	31	sí	small	Això va ser històric. Això ens agrada. Per què? Perquè tots tenim cert ego.	Això ens agrada. Per què? Perquè tots tenim cert ego.	0.5559	0.9008	0.4315	0.7992	lead-yt-050__16__perqu.wav	12760	17200	ASR textual; atribució i audició pendents
vull dir	discurs	2	1	sí	small	i el que ens diuen doncs és una mica, no sé si com els metges, però vull dir que ho tractem amb tota la cura necessària en aquests temes	"No és una cosa en confiança i em diu, ""No, això no ho posi, jo, no n'hi mitges, jo, evidentment, doncs un mètode tinc un rigor i ho faré per tant a això m'expressar l'absoluta confiança, que sàpiguin que els finales historiadors tenim uns estudis, tenim un rigor, un mètode i el que ens diuen, doncs és una mica, no sé si com els metges, però vull dir que ho tractem amb tota la cura necessària, en aquests temes i més encara en temes tan esquinosos com el de la garrere civil""."	0.4633	0.9288	0.0273	0.6686	lead-yt-050__17__vull-dir.wav	1253100	1260100	ASR textual; atribució i audició pendents
és a dir	discurs	13	9	sí	small	és a dir, investigar, conèixer noves coses de la història,	Quan pesa això? Un kilo de papé. És a dir, no és gaire pràctic,	0.5383	0.9023	0.0864	0.6487	lead-yt-050__18__s-a-dir.wav	128480	131000	ASR textual; atribució i audició pendents
Canillo	territorial	1	0	no	small	a la parròquia d'Ordino, de Canillo, perdó,		0.1973	0.7727			lead-yt-050__19__canillo.wav	989100	993260	ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	1	0	no	small	a la parròquia d'Ordino, de Canillo, perdó,		0.1973	0.7727			lead-yt-050__22__ordino.wav	989100	993260	ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	1	no	base		Ara bé, la pràctica diguéssim com una entre la població andorrana			0.2436	0.8207	lead-yt-050__25__andorrana.wav	775920	780000	ASR textual; atribució i audició pendents
comunal	territorial	1	0	no	small	El síndic és francès cariat i freixer, el nom de Sant Doria, que havia sigut ja polític comunal, els comuns són com els municipis d'Andorra.		0.0826	0.7546			lead-yt-050__26__comunal.wav	612520	620220	ASR textual; atribució i audició pendents
comunals	territorial	0	1	no	base		que havien sigut ja polític comunals com els municipis d'Andorra,			0.0979	0.6724	lead-yt-050__27__comunals.wav	616600	620040	ASR textual; atribució i audició pendents
comuns	territorial	1	0	no	small	El síndic és francès cariat i freixer, el nom de Sant Doria, que havia sigut ja polític comunal, els comuns són com els municipis d'Andorra.		0.0826	0.7546			lead-yt-050__28__comuns.wav	612520	620220	ASR textual; atribució i audició pendents
comú	territorial	0	0	no											ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	1	1	sí	small	a la parròquia d'Ordino, de Canillo, perdó,	s'han tornat a la seva parròquia,	0.1973	0.7727	0.0683	0.5406	lead-yt-050__33__parr-quia.wav	989100	993260	ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
historiador	professió	1	1	sí	small	Quan comença la possibilitat que tu, un dia, home, com a historiador, segurament que ja ho tenies al cap des de fa molts temps,	home, com a historiador, segurament, que ja ho tenies	0.4180	0.8494	0.1825	0.7708	lead-yt-050__36__historiador.wav	91800	100800	ASR textual; atribució i audició pendents
història	cultura	15	13	sí	small	algú, alguna persona, digui, ostres, aquest programa té història, eh?	"alguna persona digui, ""Ostres, aquest programa té història"", eh?"	0.3236	0.7708	0.2025	0.6634	lead-yt-050__37__hist-ria.wav	8640	12760	ASR textual; atribució i audició pendents
Andorra	toponim	31	13	sí	small	Exacte, això clar. A l'estat del matí vam pujar a treballar, en mitja hora estem a la capital, estem a Andorra a Vella.	Bé, Andorra i la Guerra Civil Espanyola.	0.1149	0.7418	0.1641	0.7599	lead-yt-050__38__andorra.wav	171980	178060	ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
Guerra Civil	història	12	11	sí	small	L'has pesat en d'hora i la guerra civil espanyola, quan pesa això?	L'has pesat amb d'orra i la guerra civil espanyola.	0.1505	0.7248	0.1950	0.7622	lead-yt-050__40__guerra-civil.wav	52760	58760	ASR textual; atribució i audició pendents
Segona Guerra Mundial	història	4	2	sí	small	o un altre exemple que sempre posem, quan tractem càrrega civil, Segona Guerra Mundial.	en 25, ha lluitat a la Segona Guerra Mundial i en 26 ha sigut en català amb un camnàs.	0.0448	0.7443	0.0326	0.5935	lead-yt-050__41__segona-guerra-mundial.wav	1348380	1353420	ASR textual; atribució i audició pendents
arxiu	cultura	0	0	no											ASR textual; atribució i audició pendents
document	cultura	0	0	no											ASR textual; atribució i audició pendents
memòria	cultura	2	2	sí	small	T'ho dic de memòria, potser ja en frente a cotxes.	Tu digueu a memòria, potser ja em frente a cotxes.	0.0854	0.7830	0.1875	0.6118	lead-yt-050__44__mem-ria.wav	271360	274360	ASR textual; atribució i audició pendents
testimoni	història	2	2	sí	small	"""Avui és un bon testimoni, però parlo bo i parlo dolent""."	avui és un bon testimoni però parlo bo i parlo dolent.	0.1598	0.8757	0.5355	0.9445	lead-yt-050__45__testimoni.wav	1281900	1286300	ASR textual; atribució i audició pendents
població	societat	3	3	sí	small	Ara bé, la pràctica comuna entre la població endorrana és de bona cullida,	Ara bé, la pràctica diguéssim com una entre la població andorrana	0.2998	0.8462	0.2436	0.8207	lead-yt-050__46__poblaci.wav	775900	780900	ASR textual; atribució i audició pendents
habitants	societat	4	3	sí	small	En final, en d'orra és un país molt petit, que l'any 36 estem parlant aquest poc més de 4.000 habitants,	Sí, sí, sí. I aquells 4.000 habitants que té, com a sense aproximadament en Dorra,	0.2066	0.8386	0.2109	0.7491	lead-yt-050__47__habitants.wav	202280	208360	ASR textual; atribució i audició pendents
exili	història	3	3	sí	small	O quan parlavem de l'exili, recordo el cas d'una persona, un testimoni que m'explicava això,	quan parlem bé d'exili, recordo que és una persona,	0.1623	0.7925	0.1119	0.6151	lead-yt-050__48__exili.wav	1314340	1319420	ASR textual; atribució i audició pendents
frontera	territori	1	1	sí	small	és quan les tropes revels, les tropes franquistes arriben a la frontera del Torgellaman d'Orra	arriben a frontera de l'altre jo ja m'endorre	0.1641	0.7819	0.1785	0.6944	lead-yt-050__49__frontera.wav	431720	436680	ASR textual; atribució i audició pendents
francès	sociolingüística	3	1	sí	small	El síndic és francès cariat i freixer, el nom de Sant Doria, que havia sigut ja polític comunal, els comuns són com els municipis d'Andorra.	Segurament en 24 ha estat encat amb un cam de concentració francès.	0.0826	0.7546	0.1330	0.7688	lead-yt-050__50__franc-s.wav	612520	620220	ASR textual; atribució i audició pendents
català	sociolingüística	2	3	sí	small	que és el Perineu català, perquè s'ho troba el Turgei,	que és el Prínio català, l'alturgé i l'alturgé,	0.1308	0.6128	0.0330	0.6341	lead-yt-050__51__catal.wav	146480	149840	ASR textual; atribució i audició pendents
recerca	educació	1	1	sí	small	amb tota la gent que m'ha acompanyat en el procés de recerca, amb el Xavier Llovera,	en tota la gent que m'acompanyant de la recerca,	0.3231	0.8302	0.0207	0.6184	lead-yt-050__52__recerca.wav	1603040	1606440	ASR textual; atribució i audició pendents
llibre	cultura	40	37	sí	small	La felicitats i la satisfacció saps que recíproca perquè volem parlar d'un llibre...	perquè volem parlar d'un llibre.	0.5952	0.9357	0.4602	0.9159	lead-yt-050__53__llibre.wav	35760	40760	ASR textual; atribució i audició pendents
