id_persona	forma	clip	prob_small	text_small	text_base	forma_en_base	json_base	txt_base	estat
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	0.8911	evidentment	en Espanya Mècubuca, evidentment, però no...	sí	qa-equilibrada-base/pa-001__evidentment__1067_69.json	qa-equilibrada-base/pa-001__evidentment__1067_69.txt	pendent-audicio
pa-002	reformeta	clips/pa-002__reformeta__12.25.wav	0.3873	reformeta	Però no que s'hagués fet que s'havia de reformar-te.	no	qa-equilibrada-base/pa-002__reformeta__12_25.json	qa-equilibrada-base/pa-002__reformeta__12_25.txt	pendent-audicio
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	0.9889	evidentment	Però evidentment no hi havia d'altra forma.	sí	qa-equilibrada-base/pa-002__evidentment__205_25.json	qa-equilibrada-base/pa-002__evidentment__205_25.txt	pendent-audicio
pa-003	ensenyança	clips/pa-003__ensenyan-a__279.69.wav	0.6760	ensenyança	que s'integre amb una primera enseñanza de sistemes educatius estrangers.	no	qa-equilibrada-base/pa-003__ensenyan-a__279_69.json	qa-equilibrada-base/pa-003__ensenyan-a__279_69.txt	pendent-audicio
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	0.9453	tirar endavant	"per crear i tirar endavant un sistema educatiu propi.
 És a dir..."	sí	qa-equilibrada-base/pa-003__tirar-endavant__361_93.json	qa-equilibrada-base/pa-003__tirar-endavant__361_93.txt	pendent-audicio
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	0.9676	evidentment	"i doncs prohibiré aigua suficient, evidentment,
 i el que li va dir."	sí	qa-equilibrada-base/pa-004__evidentment__522_93.json	qa-equilibrada-base/pa-004__evidentment__522_93.txt	pendent-audicio
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	0.8872	O sigui	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.	no	qa-equilibrada-base/pa-005__o-sigui__373_33.json	qa-equilibrada-base/pa-005__o-sigui__373_33.txt	pendent-audicio
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	0.8407	de fet	de plat és que de fet només ja que una sola peça amui men i una sola peça	sí	qa-equilibrada-base/pa-006__de-fet__285_25.json	qa-equilibrada-base/pa-006__de-fet__285_25.txt	pendent-audicio
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	0.5916	Aleshores	Aleshores era molt fàcil a agafar i aprofitar la força de l'aigua a la ixant per l'entrada.	sí	qa-equilibrada-base/pa-006__aleshores__513_25.json	qa-equilibrada-base/pa-006__aleshores__513_25.txt	pendent-audicio
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	0.9934	a veure	"que he tingut a veure amb la història del nostre país
 i que vaig publicar a un dels meus llibres que tinc per aquí."	sí	qa-equilibrada-base/pa-007__a-veure__89_25.json	qa-equilibrada-base/pa-007__a-veure__89_25.txt	pendent-audicio
