forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	1	sí	small	que tenen gran reconeixement en la seva àrea a nivell internacional	en la seva àrea a nivell internacional	0.4813	0.9138	0.2751	0.7755	lead-rtva-009__01__a-nivell.wav	620360	625160	ASR textual; atribució i audició pendents
a veure	discurs	4	3	sí	small	a veure, desporta una certa satisfacció, no?	En cara d'enfegiria dos mesos, a veure.	0.2477	0.7871	0.1376	0.5487	lead-rtva-009__02__a-veure.wav	1115000	1118560	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	1	0	no	small	És massa llarg, però, bueno, té un...		0.2100	0.7567			lead-rtva-009__05__bueno.wav	1796600	1798760	ASR textual; atribució i audició pendents
bé	discurs	9	10	sí	small	fent bé les coses.	per seguits fem bé les coses.	0.9685	0.9838	0.2129	0.7048	lead-rtva-009__06__b.wav	633520	635040	ASR textual; atribució i audició pendents
clar	discurs	1	3	sí	small	Clar, tu, en la teva feina, et deus trobar persones de tota naturalesa,	les recles això ho han quedat molt més clar.	0.2237	0.8233	0.1540	0.7231	lead-rtva-009__07__clar.wav	1442560	1448320	ASR textual; atribució i audició pendents
de fet	discurs	2	1	sí	small	De fet, la psicologia que diu que no cal tenir múltiples personalitats	I, de fet, jo sovint quan entrem una sala de firmes...	0.0979	0.7907	0.1528	0.7443	lead-rtva-009__08__de-fet.wav	1096640	1101520	ASR textual; atribució i audició pendents
diguem	discurs	0	0	no											ASR textual; atribució i audició pendents
doncs	discurs	31	43	sí	small	Que un papa digui que Andorra és un miracle, doncs...	Que un papa digui que adentor res un miracle, doncs donat.	0.2981	0.8362	0.1597	0.7173	lead-rtva-009__10__doncs.wav	182880	187160	ASR textual; atribució i audició pendents
evidentment	discurs	5	4	sí	small	evidentment sí dels co-príncipes, però de cap poder exterior.	evidentment, sí dels coprinces, però de cap poder exterior.	0.3963	0.8223	0.2197	0.7648	lead-rtva-009__11__evidentment.wav	266200	270000	ASR textual; atribució i audició pendents
llavors	discurs	6	3	sí	small	que llavors eren els senyors sobirans,	llavors del generalíssim al meu camp,	0.6264	0.8768	0.4930	0.6958	lead-rtva-009__12__llavors.wav	300080	302200	ASR textual; atribució i audició pendents
no?	discurs	31	24	sí	small	I a moltes vegades són gent que jo conec, no?	Això és el que m'estat durant segles, no?	0.1143	0.8436	0.2502	0.7338	lead-rtva-009__13__no.wav	767440	770200	ASR textual; atribució i audició pendents
o sigui	discurs	8	5	sí	small	I fènet, fènet, o sigui, el que no sume...	No, perquè... o sigui, no ens enganyem.	0.1020	0.6732	0.4136	0.9447	lead-rtva-009__14__o-sigui.wav	856320	860640	ASR textual; atribució i audició pendents
per tant	discurs	9	9	sí	small	I, per tant, doncs, si això passa per seleccionar	I per tant, doncs, si això passa, doncs per seleccionar,	0.3789	0.8270	0.3290	0.7672	lead-rtva-009__15__per-tant.wav	541320	548560	ASR textual; atribució i audició pendents
perquè	discurs	21	18	sí	small	perquè el nostre convidat és amic i és persona admirada i estimada.	Perquè tens alguna reflexió molt interessant.	1.0000	1.0000	0.1794	0.7265	lead-rtva-009__16__perqu.wav	36520	40680	ASR textual; atribució i audició pendents
vull dir	discurs	1	2	sí	small	Però vull dir, el llenguatge no verbal,	Però vull dir, a l'inguatge no verbal,	0.4626	0.8273	0.1922	0.6268	lead-rtva-009__17__vull-dir.wav	2135000	2136800	ASR textual; atribució i audició pendents
és a dir	discurs	4	3	sí	small	És a dir, en termes de competitivitat,	És a dir, amb termes de competitivitat,	0.7785	0.9698	0.5002	0.8865	lead-rtva-009__18__s-a-dir.wav	483400	486320	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	0	0	no											ASR textual; atribució i audició pendents
Sant Julià	territorial	0	0	no											ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	0	no											ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	0	0	no											ASR textual; atribució i audició pendents
comú	territorial	0	0	no											ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	3	0	no	small	qualificada amb excel·lent cum laude i on analitza el paper dels coprínceps		0.3626	0.8108			lead-rtva-009__31__copr-nceps.wav	58160	64120	ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	0	0	no											ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
