forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	0	0	no											ASR textual; atribució i audició pendents
a veure	discurs	5	3	sí	small	i els ciutadans i les ciutadanes d'Andorra no tenen res a veure.	i dic bé de la guerra d'Ucraïna, per tant, d'un fenòmen en el qual el govern d'Andorra i els ciutadans i les ciutadanes d'Andorra no tenen res a veure.	0.7674	0.9679	0.1867	0.7745	lead-yt-036__02__a-veure.wav	647280	650200	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	0	0	no											ASR textual; atribució i audició pendents
bé	discurs	8	8	sí	small	Mira, per començar, si li sembla bé, m'agradaria demanar-li	Mira, per començar, si li sembla bé, m'agradaria demanar-li	0.6827	0.9386	0.1811	0.7945	lead-yt-036__06__b.wav	39000	42400	ASR textual; atribució i audició pendents
clar	discurs	1	1	sí	small	té molt clar que les grans prioritats seran aquestes.	té molt clar que les grans prioritats seran aquestes.	0.4189	0.9260	0.6701	0.9232	lead-yt-036__07__clar.wav	784480	787360	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	De fet, aquí també no és que amb la crisi energètica ens haguem adonat	De fet, aquí també no és que amb la crisi energètica ens haguem adonat	0.3473	0.8892	0.3678	0.8851	lead-yt-036__08__de-fet.wav	965880	970600	ASR textual; atribució i audició pendents
diguem	discurs	5	7	sí	small	diguem, a camp veint certa forma d'arribar a acords en altres parròquies.	"si diguem ""ponderada"" i ""objectiva"" de la situació cal fer un exercici de retrospectiva."	0.1849	0.8093	0.0426	0.7596	lead-yt-036__09__diguem.wav	439200	443440	ASR textual; atribució i audició pendents
doncs	discurs	18	31	sí	small	Doncs hi ha una certa vocació, una certa voluntat	doncs, en certa forma, que confien en tu, que demanen,	0.5177	0.9032	0.4799	0.7582	lead-yt-036__10__doncs.wav	64320	66760	ASR textual; atribució i audició pendents
evidentment	discurs	10	10	sí	small	Bé, per diversos factors, evidentment,	Per diversos factors, evidentment,	0.4358	0.8447	0.5451	0.8069	lead-yt-036__11__evidentment.wav	48000	51400	ASR textual; atribució i audició pendents
llavors	discurs	0	0	no											ASR textual; atribució i audició pendents
no?	discurs	0	10	no	base		Estencionarà i al final no crec que reiix així, no?			0.2872	0.6483	lead-yt-036__13__no.wav	288720	294320	ASR textual; atribució i audició pendents
o sigui	discurs	1	1	sí	small	o sigui un país més important, els reptes són molt similars.	Siguian d'orra o sigui un país més important,	0.5336	0.9279	0.2130	0.7404	lead-yt-036__14__o-sigui.wav	2368660	2371340	ASR textual; atribució i audició pendents
per tant	discurs	45	43	sí	small	Per tant, sobretot hi havia aquesta voluntat	Per tant, sobretot ja havia aquesta voluntat de poder culminar	0.4307	0.9301	0.1971	0.7581	lead-yt-036__15__per-tant.wav	85680	88120	ASR textual; atribució i audició pendents
perquè	discurs	36	37	sí	small	perquè sobretot si aquella persona que ha estat governant	perquè no s'havia de fer.	0.5416	0.8774	0.0109	0.1990	lead-yt-036__16__perqu.wav	142880	146080	ASR textual; atribució i audició pendents
vull dir	discurs	0	0	no											ASR textual; atribució i audició pendents
és a dir	discurs	12	10	sí	small	és a dir, hi ha tota una sèrie de gent,	És a dir, hi ha tot una serie de gent i a tot un grup de persones,	0.8745	0.9747	0.2174	0.7437	lead-yt-036__18__s-a-dir.wav	100440	102280	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	0	0	no											ASR textual; atribució i audició pendents
Ordino	territorial	2	3	sí	small	particularment en el cas d'Ordino i en Camp,	particularment en el cas d'ordino i en camp,	0.3664	0.8354	0.4028	0.7376	lead-yt-036__22__ordino.wav	395840	397640	ASR textual; atribució i audició pendents
Sant Julià	territorial	9	9	sí	small	i també del vial de Sant Julià i d'una altra banda, de l'AMASAN.	com projecte a Eliport, i també el vial de Sant Julià,	0.1496	0.7975	0.0477	0.6606	lead-yt-036__23__sant-juli.wav	1816980	1821860	ASR textual; atribució i audició pendents
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	0	no											ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
