origen	desti	relacio	pes	formes_compartides	evidencia
pa-004	pa-006	semblança textual provisional	5	bé,de fet,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-007	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-008	semblança textual provisional	4	bé,de fet,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-009	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-010	semblança textual provisional	4	bé,de fet,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-011	semblança textual provisional	4	bé,de fet,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-012	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-013	semblança textual provisional	3	doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-014	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-015	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-016	semblança textual provisional	6	bé,de fet,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-017	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-018	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-019	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-020	semblança textual provisional	4	bé,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-021	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-022	semblança textual provisional	5	bé,de fet,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-023	semblança textual provisional	4	bé,de fet,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-025	semblança textual provisional	6	bé,de fet,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-026	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-027	semblança textual provisional	6	bé,de fet,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-028	semblança textual provisional	4	bé,de fet,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-029	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-030	semblança textual provisional	4	bé,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-031	semblança textual provisional	4	bé,de fet,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-032	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-033	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-034	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-035	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-036	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-037	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-038	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-039	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-040	semblança textual provisional	5	bé,de fet,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-041	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-045	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-046	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-048	semblança textual provisional	3	bé,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-049	semblança textual provisional	4	bé,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-055	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-056	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-057	semblança textual provisional	4	bé,de fet,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-058	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-059	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-060	semblança textual provisional	5	bé,de fet,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-061	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-062	semblança textual provisional	5	bé,doncs,evidentment,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-063	semblança textual provisional	3	bé,doncs,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-064	semblança textual provisional	4	bé,doncs,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-065	semblança textual provisional	4	bé,doncs,perquè,vull dir	consens entre dos ASR; revisió auditiva pendent
pa-004	pa-066	semblança textual provisional	4	bé,de fet,evidentment,perquè	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-006	semblança textual provisional	3	bé,doncs,o sigui	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-007	semblança textual provisional	3	bé,clar,doncs	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-008	semblança textual provisional	3	bé,clar,doncs	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-009	semblança textual provisional	4	bé,clar,doncs,o sigui	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-010	semblança textual provisional	3	bé,clar,doncs	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-014	semblança textual provisional	4	bé,clar,doncs,o sigui	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-016	semblança textual provisional	3	bé,clar,doncs	consens entre dos ASR; revisió auditiva pendent
pa-005	pa-017	semblança textual provisional	3	bé,clar,doncs	consens entre dos ASR; revisió auditiva pendent
