forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	3	2	sí	small	van creure que a nivell educatiu l'Esaia estaria bé.	que a nivell de govern volien canviar la toponimia.	0.3337	0.9194	0.1621	0.7173	lead-rtva-018__01__a-nivell.wav	571560	576680	ASR textual; atribució i audició pendents
a veure	discurs	4	4	sí	small	A veure, els defensors del poble, el seu rival natural,	És a veure els defensors del poble, el seu rival natural.	0.2374	0.8076	0.2954	0.6265	lead-rtva-018__02__a-veure.wav	1092640	1096160	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	15	9	sí	small	Bueno, i després m'ha m'estàs 6 mesos amb el país tancat,	perquè, bueno, jo crec que era un problema de menjar,	0.3411	0.7952	0.4403	0.8856	lead-rtva-018__05__bueno.wav	471440	475840	ASR textual; atribució i audició pendents
bé	discurs	20	33	sí	small	Què tal? Com veu, vostè?Molt bé.	Molt bé, escolti, què és el que primer s'ha d'imposar	0.2723	0.7148	0.1214	0.7855	lead-rtva-018__06__b.wav	47680	50240	ASR textual; atribució i audició pendents
clar	discurs	20	19	sí	small	Sí, clar.	de tant en quan suposo que sigui clar, no?	0.1657	0.6368	0.3118	0.7207	lead-rtva-018__07__clar.wav	314480	315880	ASR textual; atribució i audició pendents
de fet	discurs	2	4	sí	small	-Ve de vinya. -De fet, s'hi van trobar vinyes patrificades.	Si no de carrera, si de fet,	0.0227	0.7041	0.4272	0.7603	lead-rtva-018__08__de-fet.wav	1919360	1922480	ASR textual; atribució i audició pendents
diguem	discurs	2	1	sí	small	M'ha dit que vostè és molt americà, diguem-ne.	És dir, és clar, havia passat, diguem-ne, la meva anterior vida,	0.2966	0.8296	0.1770	0.6638	lead-rtva-018__09__diguem.wav	376880	379960	ASR textual; atribució i audició pendents
doncs	discurs	3	4	sí	small	doncs el reunador creu i demana el Consell General,	I doncs no li va surgir aquesta pulsió periodística.	0.3251	0.7692	0.3782	0.7261	lead-rtva-018__10__doncs.wav	1048560	1051840	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
llavors	discurs	10	2	sí	small	I llavors per això emigraven i potser una mica em record	i a partir de llavors sempre hi ha hagut un segment de les altres vidres professionals	0.1991	0.7308	0.1596	0.7140	lead-rtva-018__12__llavors.wav	88520	93360	ASR textual; atribució i audició pendents
